t_s,level,n_active,n_vars,n_rows,status,objective,wall_s
0,lo,8,832,1075,optimal,2.4220776435981737,0.5049835410027299
150,lo,8,384,1085,optimal,2.527557377536952,0.014761124999495223
300,lo,8,384,1158,optimal,2.619589870748973,0.010412291012471542
450,lo,8,384,1263,optimal,2.6497012945199394,0.01208533400495071
600,lo,8,384,1379,optimal,2.7621624691986297,0.02234029199462384
750,lo,8,320,1483,optimal,2.9242566218225097,0.006253625004319474
900,lo,8,320,1586,optimal,3.0725478427795436,0.006205249999766238
1050,lo,8,320,1685,optimal,3.2460498065676604,0.00614720799785573
1200,lo,8,320,1790,optimal,3.459157989563448,0.006554709005285986
1350,lo,8,320,1914,optimal,3.676867673722133,0.006516458000987768
1500,lo,8,320,2048,optimal,3.894217340539929,0.007034750000457279
1650,lo,8,320,2194,optimal,4.1113360973352835,0.007417625005473383
1800,lo,16,1152,3205,optimal,7.426062476906092,0.07942254201043397
1950,lo,16,1024,3315,optimal,6.495540552191874,0.02908241600380279
2100,lo,15,984,3222,optimal,6.03103545474371,0.01867474999744445
2250,lo,15,984,3480,optimal,6.115611579972495,0.02028112499101553
2400,lo,15,984,3708,optimal,8.814116132271618,0.11289354199834634
2550,lo,15,792,3906,optimal,7.234643888931833,0.01820150000276044
2700,lo,13,712,3302,optimal,5.239242162596701,0.016228708991548046
2850,lo,13,712,3416,optimal,4.5792735731796705,0.016439500002888963
3000,lo,13,712,3551,optimal,7.726032402000618,0.07075045901001431
3150,lo,12,544,3382,optimal,6.646827556168665,0.01912449998781085
3300,lo,12,544,3471,optimal,6.339742744704025,0.014891958009684458
3450,lo,11,504,3238,optimal,5.803816044246041,0.015417374990647659
3600,lo,17,1256,3498,optimal,8.50274148158863,0.02245837500959169
3750,lo,17,1256,3683,optimal,6.346706560608511,0.02093541699287016
3900,lo,17,1256,3879,optimal,5.313281117546693,0.020649875004892237
4050,lo,17,1256,4058,optimal,3.747517792038904,0.02126525000494439
4200,lo,15,1176,3816,optimal,4.321323034827745,0.10677062500326429
4350,lo,15,1048,3970,optimal,3.049725803297882,0.02156362499226816
4500,lo,15,1048,4091,optimal,2.862203429215058,0.02081020899640862
4650,lo,15,1048,4212,optimal,1.9638507661765148,0.02002379100304097
4800,lo,15,1048,4260,optimal,8.299601038702482,0.18973691698920447
4950,lo,14,752,3982,optimal,7.585405754700171,0.019942833998356946
5100,lo,14,752,4087,optimal,6.999199152487236,0.021113999988301657
5250,lo,14,752,4123,optimal,6.698287696216583,0.02271616700454615
5400,lo,20,1504,4480,optimal,7.486723384040895,0.02601691600284539
5550,lo,20,1440,4518,optimal,6.082370741665662,0.023823707990231924
5700,lo,19,1400,4345,optimal,4.86536513916135,0.0259861669910606
5850,lo,19,1400,4387,optimal,4.105441752294848,0.025083999993512407
6000,lo,14,1200,3107,optimal,9.69703296820128,0.031252250002580695
6150,lo,14,944,3261,optimal,8.057231949326885,0.022915540990652516
6300,lo,13,904,3293,optimal,6.730856924735568,0.018278916002600454
6450,lo,13,904,3394,optimal,3.9030830756616135,0.02082608299679123
6600,lo,13,904,3451,optimal,5.780336780284112,0.09252074999676552
6750,lo,11,632,2829,optimal,4.349692001745532,0.013975499998196028
6900,lo,11,632,2899,optimal,4.5870191995711735,0.01466216699918732
7050,lo,11,632,2978,optimal,4.296417369514425,0.018576750007923692
7200,lo,18,1424,3671,optimal,8.771507491627506,0.11452537500008475
7350,lo,18,1232,3766,optimal,8.073197378968016,0.023461457996745594
7500,lo,18,1232,3862,optimal,7.792657696682283,0.024677583001903258
7650,lo,18,1232,3979,optimal,4.600637295160982,0.019213041989132762
7800,lo,14,1072,3361,optimal,8.545101610033623,0.2610933340038173
7950,lo,14,688,3414,optimal,9.103353738517152,0.018513582996092737
8100,lo,13,648,3042,optimal,8.640484116063552,0.017786292009986937
8250,lo,13,648,3051,optimal,7.148642807686701,0.020199958002194762
8400,lo,12,608,2808,optimal,8.006627307325834,0.019148500010487624
8550,lo,11,504,2662,optimal,7.320993189341208,0.015092000001459382
8700,lo,9,424,2360,optimal,6.1944246253533946,0.01232733299548272
8850,lo,8,384,2342,optimal,4.011670509391912,0.012353917001746595
9000,lo,15,1176,3179,optimal,8.478522123957735,0.06869600000209175
9150,lo,15,1048,3269,optimal,7.317951354928907,0.027836667009978555
9300,lo,14,1008,3206,optimal,6.389394418132754,0.036166707999655046
9450,lo,14,1008,3335,optimal,5.698369694772977,0.01893145799112972
9600,lo,13,968,3071,optimal,8.481082030874074,0.06823454199184198
9750,lo,13,840,3203,optimal,7.548034616427967,0.01890229099080898
9900,lo,13,840,3328,optimal,5.73808175701006,0.02340145800553728
10050,lo,12,800,2985,optimal,4.557289144379498,0.019396375006181188
10200,lo,12,800,3083,optimal,6.600096705993824,0.12058899999829009
10350,lo,12,608,3143,optimal,6.150417007967309,0.015959541997290216
10500,lo,10,528,2537,optimal,4.802164630783509,0.016991958997095935
10650,lo,10,528,2622,optimal,5.04468975648552,0.014954583995859139
10800,lo,17,1320,3196,optimal,7.630123471096238,0.07381658400117885
10950,lo,17,1192,3351,optimal,6.375687838683499,0.022586500010220334
11100,lo,16,1152,3275,optimal,4.832908563979224,0.021394416005932726
11250,lo,15,1112,3251,optimal,3.7224743572525947,0.019698333999258466
11400,lo,14,1072,3378,optimal,8.05695651946159,0.04387970799871255
11550,lo,13,968,3408,optimal,6.273696160741071,0.018390291996183805
11700,lo,13,968,3585,optimal,4.4826097355491425,0.02119558400590904
11850,lo,10,848,2779,optimal,2.157064009626791,0.018478749989299104
12000,lo,8,768,2135,optimal,6.8040169088978875,0.28410229198925663
12150,lo,8,512,2262,optimal,6.683495720830067,0.01618908300588373
12300,lo,8,512,2398,optimal,5.445876323900059,0.016589041013503447
12450,lo,8,512,2501,optimal,5.1925737185995855,0.018880999996326864
12600,lo,16,1344,3488,optimal,7.349309268667982,0.14808791600808036
12750,lo,15,1112,3442,optimal,6.711151371873008,0.027011708007194102
12900,lo,15,1112,3577,optimal,5.6479980678480945,0.02471841700025834
13050,lo,15,1112,3708,optimal,5.086934048974724,0.025701666992972605
13200,lo,14,1072,3555,optimal,7.462828786386256,0.036339125013910234
13350,lo,14,1008,3699,optimal,6.9008818740415245,0.02220708401000593
13500,lo,13,968,3558,optimal,3.93469110039994,0.019252458994742483
13650,lo,12,928,3440,optimal,2.3913189630935565,0.01808487500238698
13800,lo,12,928,3560,optimal,6.953449866640182,0.14681479199498426
13950,lo,12,608,3643,optimal,6.675174326299779,0.021373083000071347
14100,lo,11,568,3353,optimal,5.919199836138286,0.02080125000793487
14250,lo,10,528,3294,optimal,5.0659586014968,0.02265129100123886
14400,lo,7,408,2430,optimal,3.8190051406958396,0.021902790991589427
14550,lo,7,344,2524,optimal,2.8513576971797034,0.013008541005547158
14700,lo,6,304,2335,optimal,2.0747300779790843,0.01001533301314339
14850,lo,6,304,2352,optimal,1.6079860040298855,0.011890207999385893
15000,lo,5,264,2036,optimal,7.108614840159843,0.011259083999902941
15150,lo,5,200,1997,optimal,4.137236923195899,0.007182541987276636
15300,lo,3,120,1121,optimal,1.8099134050771937,0.005489292001584545
15450,lo,3,120,1096,optimal,0.9892842232004804,0.003980082998168655
15600,lo,2,80,722,optimal,0.4560589039861303,0.002629291993798688
15750,lo,1,40,349,optimal,0.0002158294603594418,0.001482334002503194
15900,lo,1,40,333,optimal,-0.0,0.0012955409911228344
16050,lo,1,40,317,optimal,-0.0,0.0013565419940277934
16200,lo,1,40,301,optimal,-0.0,0.001415250007994473
16350,lo,1,40,286,optimal,-0.0,0.0014349999983096495
16500,lo,1,40,269,optimal,-0.0,0.0020382910006446764
16650,lo,1,40,252,optimal,-0.0,0.001878874987596646
16800,lo,0,0,0,infeasible,0.0,1.8749997252598405e-06
