t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
0,0,8,2432,4200,optimal,7.05703383522209,1.4630115000181831
150,0,8,960,4438,optimal,6.746569557645442,0.029011083010118455
300,0,8,960,4748,optimal,6.340343417620494,0.026548583002295345
450,0,8,960,5098,optimal,5.898259326198477,0.034894874959718436
600,0,8,960,5464,optimal,5.392511979792868,0.024175957951229066
750,0,8,960,5834,optimal,4.846847186435879,0.023503499978687614
900,0,8,960,6197,optimal,4.305190033924156,0.02542329201241955
1050,0,8,960,6547,optimal,3.740474480411398,0.0262026249547489
1200,0,8,960,6890,optimal,3.160510869742856,0.024402291979640722
1350,0,8,960,7234,optimal,2.5247953458771937,0.024865040963049978
1500,0,5,600,4852,optimal,1.9366806432945292,0.01560687500750646
1650,0,5,600,5006,optimal,1.6430828248548877,0.021278415981214494
1800,0,13,3032,8883,optimal,5.982741661120075,2.2131085000000894
1950,0,13,1560,9198,optimal,5.907804590493707,0.04043962497962639
2100,0,13,1560,9576,optimal,5.6598752611842436,0.04044091695686802
2250,0,12,1440,9140,optimal,5.3527675801275825,0.038751665968447924
2400,0,11,1320,8563,optimal,5.076372697651033,0.03610483300872147
2550,0,11,1320,8913,optimal,4.780141017441836,0.041374584019649774
2700,0,11,1320,9171,optimal,4.362592488715679,0.03330641699722037
2850,0,11,1320,9381,optimal,3.950057256962314,0.036358832963742316
3000,0,11,1320,9629,optimal,3.5459329206644616,0.03975400002673268
3150,0,10,1200,8944,optimal,3.1825896849592787,0.03134504199260846
3300,0,10,1200,9100,optimal,2.764255969706429,0.03269762505078688
3450,0,10,1200,9229,optimal,2.3519756417501756,0.03568304202053696
3600,0,18,3632,12882,optimal,8.40588528805771,1.5175550419953652
3750,0,18,2160,13191,optimal,8.141244696428792,0.057444959005806595
3900,0,18,2160,13505,optimal,7.812875171236871,0.05682866700226441
4050,0,18,2160,13715,optimal,7.5466453881876205,0.06571337499190122
4200,0,17,2040,13027,optimal,7.257645942404587,0.051586167013738304
4350,0,17,2040,13127,optimal,6.726339628057404,0.04990662500495091
4500,0,17,2040,13110,optimal,6.097987285015059,0.0508627500385046
4650,0,16,1920,12231,optimal,5.531433582449122,0.05272820801474154
4800,0,16,1920,12171,optimal,4.87433945784957,0.04399191599804908
4950,0,16,1920,12145,optimal,4.126515312417269,0.04360325000016019
5100,0,16,1920,12117,optimal,3.285102971820437,0.042293749982491136
5250,0,15,1800,11253,optimal,2.4867184404031257,0.04005979100475088
5400,0,23,4232,14508,optimal,8.519608475904684,1.2921964160050265
5550,0,21,2520,13329,optimal,8.38668141182267,0.06440200004726648
5700,0,21,2520,13492,optimal,8.059436372046369,0.05833641701610759
5850,0,21,2520,13627,optimal,7.672724036583618,0.06216229096753523
6000,0,20,2400,12977,optimal,7.1302307824652305,0.06039170903386548
6150,0,19,2280,12657,optimal,6.473188114620174,0.058966957964003086
6300,0,19,2280,12828,optimal,5.79032455821648,0.05484808300388977
6450,0,19,2280,13003,optimal,5.068895484178698,0.05206262500723824
6600,0,18,2160,12193,optimal,4.321440840955545,0.0525124580017291
6750,0,18,2160,12324,optimal,3.5842769129507634,0.046045875002164394
6900,0,18,2160,12450,optimal,2.888795375210385,0.04776699998183176
7050,0,18,2160,12579,optimal,2.3036239574484476,0.04462966701248661
7200,0,26,4592,15716,optimal,8.606547649266302,1.5284918749821372
7350,0,26,3120,15993,optimal,8.245098679402307,0.07758554100291803
7500,0,25,3000,15863,optimal,7.726836418463597,0.06526479200692847
7650,0,24,2880,15082,optimal,7.30454062074946,0.07504450000124052
7800,0,22,2640,13894,optimal,6.757956494486405,0.06938258302398026
7950,0,20,2400,12505,optimal,6.093097361964504,0.051546917005907744
8100,0,19,2280,12261,optimal,5.434218255730768,0.049525959009770304
8250,0,19,2280,12573,optimal,4.849600421942599,0.0494333750102669
8400,0,19,2280,13021,optimal,4.25955743920823,0.05089212500024587
8550,0,19,2280,13416,optimal,3.6069936339202515,0.05240966600831598
