gs_rate_mbps,seed,scheduler,images_delivered,delivery_frac,utility,utility_quality,utility_tardy,utility_cost,u_min,jain,n_dropped,violation_frac,n_route_fallbacks,solve_wall_s,wall_s
0.75,42,mpc,12204090.4,0.9527,62.2349,62.2349,0.0,0.0,0.5371,0.9863,0,0.4375,0,17.53,18.76
0.75,42,greedy-adaptive,12809971.0,1.0,60.7937,60.7937,0.0,0.0,0.5203,0.9864,0,0.4375,0,0,0.13
0.75,42,greedy-fixed-2,12809971.0,1.0,58.853,58.853,0.0,0.0,0.5203,0.9886,0,0.4375,0,0,0.12
0.75,42,greedy-fixed-4,12809971.0,1.0,54.3135,54.3135,0.0,0.0,0.0132,0.9105,0,0.6406,0,0,0.12
0.75,42,greedy-fixed-8,8957598.2,0.6993,17.131,17.131,0.0,0.0,0.0,0.2804,0,0.8906,0,0,0.19
0.75,42,greedy-fixed-16,4802024.1,0.3749,5.1075,5.1075,0.0,0.0,0.0,0.083,0,0.9844,0,0,0.27
0.75,42,mpc-hier,11949597.4,0.9328,58.5603,58.5603,0.0,0.0,0.0,0.9684,18,0.5938,0,4.22,4.54
0.75,43,mpc,12601905.4,0.9612,59.0833,59.0833,0.0,0.0,0.5643,0.989,0,0.4688,0,17.5,18.66
0.75,43,greedy-adaptive,13111165.0,1.0,57.7734,57.7734,0.0,0.0,0.5474,0.9881,0,0.4688,0,0,0.12
0.75,43,greedy-fixed-2,13111165.0,1.0,56.1272,56.1272,0.0,0.0,0.5474,0.9904,0,0.4688,0,0,0.12
0.75,43,greedy-fixed-4,13111165.0,1.0,52.7612,52.7612,0.0,0.0,0.036,0.9163,0,0.5781,0,0,0.12
0.75,43,greedy-fixed-8,8904197.2,0.6791,18.1612,18.1612,0.0,0.0,0.0,0.3091,0,0.875,0,0,0.19
0.75,43,greedy-fixed-16,4802024.1,0.3663,5.1505,5.1505,0.0,0.0,0.0,0.0986,0,0.9844,0,0,0.26
0.75,43,mpc-hier,12229638.8,0.9328,54.8239,54.8239,0.0,0.0,0.0,0.9538,16,0.5625,0,4.22,4.49
0.75,44,mpc,12476374.7,0.9599,56.4422,56.4422,0.0,0.0,0.5922,0.9879,0,0.3906,0,17.73,18.79
0.75,44,greedy-adaptive,12997878.0,1.0,55.4211,55.4211,0.0,0.0,0.6012,0.987,0,0.3906,0,0,0.12
0.75,44,greedy-fixed-2,12997878.0,1.0,53.4046,53.4046,0.0,0.0,0.6012,0.9903,0,0.3906,0,0,0.11
0.75,44,greedy-fixed-4,12997878.0,1.0,46.1681,46.1681,0.0,0.0,0.0027,0.837,0,0.5,0,0,0.12
0.75,44,greedy-fixed-8,8956298.2,0.6891,19.1791,19.1791,0.0,0.0,0.0,0.3086,0,0.8906,0,0,0.19
0.75,44,greedy-fixed-16,4785709.3,0.3682,4.7839,4.7839,0.0,0.0,0.0,0.1023,0,0.9375,0,0,0.26
0.75,44,mpc-hier,12083773.4,0.9297,52.2526,52.2526,0.0,0.0,0.0253,0.9672,16,0.5,0,4.37,4.67
0.75,45,mpc,12295012.6,0.965,60.4715,60.4715,0.0,0.0,0.5695,0.9884,0,0.4219,0,18.79,19.84
0.75,45,greedy-adaptive,12740801.0,1.0,59.1824,59.1824,0.0,0.0,0.5399,0.9875,0,0.4219,0,0,0.12
0.75,45,greedy-fixed-2,12740801.0,1.0,57.1982,57.1982,0.0,0.0,0.5399,0.9909,0,0.4219,0,0,0.11
0.75,45,greedy-fixed-4,12659559.0,0.9936,50.5717,50.5717,0.0,0.0,0.0001,0.8207,0,0.4844,0,0,0.13
0.75,45,greedy-fixed-8,8983158.2,0.7051,18.0276,18.0276,0.0,0.0,0.0,0.3039,0,0.8906,0,0,0.19
0.75,45,greedy-fixed-16,4802024.1,0.3769,6.6404,6.6404,0.0,0.0,0.0,0.1042,0,1.0,0,0,0.27
0.75,45,mpc-hier,11846764.5,0.9298,54.8987,54.8987,0.0,0.0,0.0,0.9555,11,0.7031,0,4.65,4.95
0.75,46,mpc,11634817.0,0.9758,63.4851,63.4851,0.0,0.0,0.5831,0.9927,0,0.3125,0,15.17,16.02
0.75,46,greedy-adaptive,11923159.0,1.0,62.2618,62.2618,0.0,0.0,0.5641,0.9918,0,0.3125,0,0,0.11
0.75,46,greedy-fixed-2,11923159.0,1.0,59.8053,59.8053,0.0,0.0,0.5641,0.9941,0,0.3125,0,0,0.1
0.75,46,greedy-fixed-4,11923159.0,1.0,61.8176,61.8176,0.0,0.0,0.1739,0.9795,0,0.3438,0,0,0.1
0.75,46,greedy-fixed-8,8678359.2,0.7279,19.0993,19.0993,0.0,0.0,0.0,0.3352,0,0.8594,0,0,0.17
0.75,46,greedy-fixed-16,4802024.1,0.4027,4.5805,4.5805,0.0,0.0,0.0,0.0847,0,1.0,0,0,0.24
0.75,46,mpc-hier,11185245.4,0.9381,58.8409,58.8409,0.0,0.0,0.0,0.9597,9,0.4375,0,3.78,4.03
1.0,42,mpc,12211563.3,0.9533,63.1462,63.1462,0.0,0.0,0.5371,0.9863,0,0.4375,0,18.24,19.46
1.0,42,greedy-adaptive,12809971.0,1.0,62.0578,62.0578,0.0,0.0,0.5203,0.9852,0,0.4375,0,0,0.11
1.0,42,greedy-fixed-2,12809971.0,1.0,58.853,58.853,0.0,0.0,0.5203,0.9886,0,0.4375,0,0,0.12
1.0,42,greedy-fixed-4,12809971.0,1.0,62.254,62.254,0.0,0.0,0.5504,0.9886,0,0.4375,0,0,0.12
1.0,42,greedy-fixed-8,11186623.7,0.8733,23.7786,23.7786,0.0,0.0,0.0,0.4272,0,0.8594,0,0,0.16
1.0,42,greedy-fixed-16,6388764.8,0.4987,7.7262,7.7262,0.0,0.0,0.0,0.1275,0,0.9688,0,0,0.25
1.0,42,mpc-hier,12178563.2,0.9507,60.3801,60.3801,0.0,0.0,0.5064,0.9856,16,0.5625,0,3.82,4.09
1.0,43,mpc,12600273.7,0.961,59.9171,59.9171,0.0,0.0,0.583,0.9883,0,0.4688,0,18.75,19.94
1.0,43,greedy-adaptive,13111165.0,1.0,58.9991,58.9991,0.0,0.0,0.5474,0.9872,0,0.4688,0,0,0.12
1.0,43,greedy-fixed-2,13111165.0,1.0,56.1272,56.1272,0.0,0.0,0.5474,0.9904,0,0.4688,0,0,0.11
1.0,43,greedy-fixed-4,13111165.0,1.0,59.3707,59.3707,0.0,0.0,0.5791,0.9904,0,0.4688,0,0,0.11
1.0,43,greedy-fixed-8,11249473.1,0.858,28.9506,28.9506,0.0,0.0,0.0,0.4872,0,0.7812,0,0,0.15
1.0,43,greedy-fixed-16,6388764.8,0.4873,8.9108,8.9108,0.0,0.0,0.0,0.1606,0,0.9688,0,0,0.23
1.0,43,mpc-hier,12350250.6,0.942,55.374,55.374,0.0,0.0,0.0,0.9663,19,0.625,0,4.25,4.48
1.0,44,mpc,12478805.8,0.9601,57.2711,57.2711,0.0,0.0,0.5889,0.9879,0,0.3906,0,17.51,18.43
1.0,44,greedy-adaptive,12997878.0,1.0,56.1062,56.1062,0.0,0.0,0.6012,0.9869,0,0.3906,0,0,0.11
1.0,44,greedy-fixed-2,12997878.0,1.0,53.4046,53.4046,0.0,0.0,0.6012,0.9903,0,0.3906,0,0,0.11
1.0,44,greedy-fixed-4,12997878.0,1.0,56.4907,56.4907,0.0,0.0,0.636,0.9903,0,0.3906,0,0,0.11
1.0,44,greedy-fixed-8,11228067.7,0.8638,26.9342,26.9342,0.0,0.0,0.0,0.4582,0,0.8125,0,0,0.16
1.0,44,greedy-fixed-16,6332499.7,0.4872,7.6295,7.6295,0.0,0.0,0.0,0.1619,0,0.9375,0,0,0.24
1.0,44,mpc-hier,12418170.8,0.9554,54.446,54.446,0.0,0.0,0.5875,0.9841,13,0.4844,0,4.38,4.62
1.0,45,mpc,12279831.9,0.9638,61.2323,61.2323,0.0,0.0,0.5629,0.9881,0,0.4219,0,15.32,16.17
1.0,45,greedy-adaptive,12740801.0,1.0,60.2918,60.2918,0.0,0.0,0.5711,0.9875,0,0.4219,0,0,0.11
1.0,45,greedy-fixed-2,12740801.0,1.0,57.1982,57.1982,0.0,0.0,0.5399,0.9909,0,0.4219,0,0,0.11
1.0,45,greedy-fixed-4,12740801.0,1.0,60.5035,60.5035,0.0,0.0,0.5711,0.9909,0,0.4219,0,0,0.11
1.0,45,greedy-fixed-8,11043597.8,0.8668,34.4835,34.4835,0.0,0.0,0.0,0.5669,0,0.7656,0,0,0.15
1.0,45,greedy-fixed-16,6388764.8,0.5014,9.4357,9.4357,0.0,0.0,0.0,0.1442,0,0.9375,0,0,0.23
1.0,45,mpc-hier,11861331.6,0.931,56.331,56.331,0.0,0.0,0.0,0.9557,13,0.6094,0,4.02,4.28
1.0,46,mpc,11637248.2,0.976,64.3474,64.3474,0.0,0.0,0.6009,0.9926,0,0.3125,0,14.35,15.19
1.0,46,greedy-adaptive,11923159.0,1.0,63.2132,63.2132,0.0,0.0,0.5967,0.9922,0,0.3125,0,0,0.1
1.0,46,greedy-fixed-2,11923159.0,1.0,59.8053,59.8053,0.0,0.0,0.5641,0.9941,0,0.3125,0,0,0.1
