isl_rate_mbps,seed,scheduler,images_delivered,delivery_frac,utility,utility_quality,utility_tardy,utility_cost,u_min,jain,n_dropped,violation_frac,n_route_fallbacks,solve_wall_s,wall_s
0.5,42,mpc,11426807.6,0.892,42.4255,39.6098,0.0964,1.62,0.7081,0.9969,0,0.4844,0,23.54,25.07
0.5,42,mpc-2level,11754761.1,0.9176,42.8795,40.05,0.0989,1.6671,0.718,0.998,0,0.4375,0,54.98,97.12
0.5,42,mpc-hier,11199947.0,0.8743,37.4805,35.9835,0.1702,1.4225,0.4828,0.9846,33,0.6875,0,5.12,5.65
0.5,42,mpc-hier-route,10640230.8,0.8306,37.4855,35.3563,0.2358,1.3697,0.5835,0.9873,37,0.75,18042,5.45,7.83
0.5,43,mpc,11623596.1,0.8865,40.9786,37.9297,0.103,1.5373,0.7327,0.998,0,0.5781,0,20.29,21.83
0.5,43,mpc-2level,12086364.8,0.9218,41.2492,38.2422,0.1002,1.5821,0.7327,0.9983,0,0.4688,0,43.33,79.0
0.5,43,mpc-hier,10997309.9,0.8388,36.1341,34.3965,0.2017,1.3221,0.5096,0.9905,41,0.7969,0,4.92,5.47
0.5,43,mpc-hier-route,10550689.7,0.8047,36.6218,34.6466,0.198,1.3143,0.5449,0.9878,42,0.7188,20780,5.0,7.31
0.5,44,mpc,11555609.6,0.889,39.2368,35.9086,0.0838,1.4836,0.7649,0.9975,0,0.5156,0,22.3,23.66
0.5,44,mpc-2level,12042348.9,0.9265,39.5449,36.256,0.0795,1.5273,0.7649,0.9982,0,0.3906,0,45.02,80.52
0.5,44,mpc-hier,10562903.3,0.8127,34.468,32.2456,0.1904,1.2356,0.5701,0.9875,37,0.7344,0,5.93,6.47
0.5,44,mpc-hier-route,10798661.9,0.8308,34.4426,32.5664,0.1912,1.2787,0.5228,0.9851,37,0.7656,20285,5.82,8.16
0.75,42,mpc,11656124.4,0.9099,43.7544,41.1273,0.1052,1.8632,0.718,0.9961,0,0.5156,0,26.42,27.97
0.75,42,mpc-2level,11766498.1,0.9185,44.0104,41.4294,0.1016,1.9129,0.718,0.9961,0,0.4531,0,58.05,94.42
0.75,42,mpc-hier,11093656.5,0.866,37.9839,37.3311,0.1985,1.5009,0.3675,0.9848,32,0.6406,0,6.28,6.8
0.75,42,mpc-hier-route,11089654.9,0.8657,38.9926,37.0863,0.2046,1.4894,0.5626,0.9869,33,0.6875,19170,6.04,8.34
0.75,43,mpc,12041814.2,0.9184,41.7348,38.825,0.0974,1.682,0.7327,0.9971,0,0.5156,0,24.64,26.0
