kid,depth,delivered_images,delivery_fraction,utility
0,8,117850.0,1.0,1.4487
1,8,187776.0,1.0,0.9658
2,8,117189.0,1.0,1.4487
3,8,118835.0,1.0,0.9658
4,8,247151.0,1.0,1.4487
5,8,257213.0,1.0,0.7025
6,8,267950.0,1.0,0.8612
7,8,174159.0,1.0,0.4829
8,8,256314.0,1.0,0.8474
9,4,264553.0,1.0,0.8187
10,4,190092.0,1.0,0.4334
11,8,210917.0,1.0,1.208
12,8,271659.0,1.0,1.1125
13,8,226333.0,1.0,0.4829
14,4,240105.0,1.0,0.6953
15,4,294140.0,1.0,0.9183
16,8,235584.0,1.0,1.4487
17,8,138927.0,1.0,0.9658
18,4,199558.0,1.0,0.4686
19,8,130858.0,1.0,1.4487
20,8,284506.0,1.0,1.1293
21,4,293502.0,1.0,0.6899
22,4,281108.0,1.0,0.5998
23,4,193911.0,1.0,1.3528
24,8,192588.0,1.0,0.4829
25,4,195141.0,1.0,0.4566
26,8,212900.0,1.0,1.4487
27,8,187430.0,1.0,0.4829
28,8,225953.0,1.0,1.1644
29,8,162473.0,1.0,1.4487
30,8,187043.0,1.0,1.4487
31,4,177496.0,1.0,1.4058
32,8,147911.0,1.0,1.4487
33,4,127950.0,1.0,1.4058
34,4,260980.0,1.0,0.4686
35,8,257385.0,1.0,1.4254
36,8,194313.0,1.0,1.4371
37,4,256146.0,1.0,0.8488
38,4,201121.0,1.0,0.7988
39,4,127959.0,1.0,0.4686
40,8,187923.0,1.0,1.4487
41,8,194219.0,1.0,1.4487
42,8,115839.0,1.0,1.4487
43,8,226944.0,1.0,0.9655
44,8,118113.0,1.0,0.9658
45,8,160790.0,1.0,0.9514
46,8,169500.0,1.0,0.9658
47,8,142917.0,1.0,0.4829
48,4,298534.0,1.0,0.8191
49,8,146788.0,1.0,1.4487
50,8,271135.0,1.0,0.4829
51,8,158719.0,1.0,0.9658
52,8,125256.0,1.0,0.9658
53,8,256780.0,1.0,1.4267
54,8,181837.0,1.0,0.9658
55,4,262804.0,1.0,0.3437
56,8,166858.0,1.0,0.4804
57,8,118009.0,1.0,1.4487
58,4,239354.0,1.0,0.9372
59,8,132254.0,1.0,1.4487
60,8,287611.0,1.0,0.4032
61,4,239264.0,1.0,0.8884
62,8,133242.0,1.0,0.9658
63,8,160302.0,1.0,1.4487
