kid,depth,delivered_images,delivery_fraction,utility
0,2,117850.0,1.0,1.329
1,2,187776.0,1.0,0.886
2,2,117189.0,1.0,1.329
3,2,118835.0,1.0,0.886
4,2,247151.0,1.0,1.329
5,2,257213.0,1.0,0.6444
6,2,267950.0,1.0,0.79
7,2,174159.0,1.0,0.443
8,2,256314.0,1.0,0.7774
9,2,264553.0,1.0,0.774
10,2,190092.0,1.0,0.4097
11,2,210917.0,1.0,1.1082
12,2,271659.0,1.0,1.0206
13,2,226333.0,1.0,0.443
14,2,240105.0,1.0,0.6574
15,2,294140.0,1.0,0.8682
16,2,235584.0,1.0,1.329
17,2,138927.0,1.0,0.886
18,2,199558.0,1.0,0.443
19,2,130858.0,1.0,1.329
20,2,284506.0,1.0,1.036
21,2,293502.0,1.0,0.6522
22,2,281108.0,1.0,0.5671
23,2,193911.0,1.0,1.2789
24,2,192588.0,1.0,0.443
25,2,195141.0,1.0,0.4316
26,2,212900.0,1.0,1.329
27,2,187430.0,1.0,0.443
28,2,225953.0,1.0,1.0682
29,2,162473.0,1.0,1.329
30,2,187043.0,1.0,1.329
31,2,177496.0,1.0,1.329
32,2,147911.0,1.0,1.329
33,2,127950.0,1.0,1.329
34,2,260980.0,1.0,0.443
35,2,257385.0,1.0,1.3076
36,2,194313.0,1.0,1.3184
37,2,256146.0,1.0,0.8025
38,2,201121.0,1.0,0.7551
39,2,127959.0,1.0,0.443
40,2,187923.0,1.0,1.329
41,2,194219.0,1.0,1.329
42,2,115839.0,1.0,1.329
43,2,226944.0,1.0,0.8857
44,2,118113.0,1.0,0.886
45,2,160790.0,1.0,0.8727
46,2,169500.0,1.0,0.886
47,2,142917.0,1.0,0.443
48,2,298534.0,1.0,0.7744
49,2,146788.0,1.0,1.329
50,2,271135.0,1.0,0.443
51,2,158719.0,1.0,0.886
52,2,125256.0,1.0,0.886
53,2,256780.0,1.0,1.3088
54,2,181837.0,1.0,0.886
55,2,262804.0,1.0,0.325
56,2,166858.0,1.0,0.4407
57,2,118009.0,1.0,1.329
58,2,239354.0,1.0,0.886
59,2,132254.0,1.0,1.329
60,2,287611.0,1.0,0.3699
61,2,239264.0,1.0,0.8399
62,2,133242.0,1.0,0.886
63,2,160302.0,1.0,1.329
