kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,16,0,2978,117850.0,1.0,1.4883,120,2700,2700,-278,0.0,0,0,0,1.4883,0.0,0.0,1.0,1.0,43628.07,265.49248
1,4,0,3346,187776.0,1.0,0.9372,2460,2700,2700,-646,0.0,0,0,0,0.9372,0.0,0.0,1.0,0.944568,69514.6752,105.755443
2,16,0,2162,117189.0,1.0,1.4883,150,2070,2070,-92,0.0,0,0,0,1.4883,0.0,0.0,1.0,1.0,43383.3678,264.003379
3,16,0,3557,118835.0,1.0,0.9922,120,3540,3540,-17,0.0,0,0,0,0.9922,0.0,0.0,1.0,1.0,43992.717,267.711488
4,4,0,3092,247151.0,1.0,1.4058,1920,3090,3090,-2,0.0,0,0,0,1.4058,0.0,0.0,1.0,0.944568,91495.3002,139.195443
5,16,0,2030,204213.9,0.7939,0.7051,60,,,,0.1778,1,1,0,0.705119,0.0,0.0,0.710662,0.710662,75600.0,460.05316
6,16,0,2701,250204.2,0.9338,0.852,60,,,,0.1861,1,1,0,0.852018,0.0,0.0,0.858716,0.858716,92625.598977,563.660047
7,8,0,3469,174159.0,1.0,0.4829,150,3360,3360,-109,0.0,0,0,0,0.4829,0.0,0.0,1.0,0.973392,64473.6618,196.172698
8,4,1800,4324,243111.8,0.9485,0.815,3630,,,,0.1518,1,1,0,0.815043,0.0,0.0,0.869658,0.821451,90000.0,136.920583
9,4,1800,4398,247974.1,0.9373,0.8101,4080,,,,0.147,1,1,0,0.810054,0.0,0.0,0.864334,0.816422,91800.0,139.658995
10,8,1800,3765,190092.0,1.0,0.3686,2790,4170,2370,405,0.6047,1,0,0,0.368643,0.0,0.0,0.763395,0.743083,70372.0584,214.119629
11,2,1800,3714,194489.5,0.9221,1.0908,3630,,,,0.316,1,1,0,1.090809,0.0,0.0,0.820774,0.732923,72000.0,54.768233
12,4,1800,4098,226094.0,0.8323,1.0599,3810,,,,0.1521,1,1,0,1.059923,0.0,0.0,0.753964,0.71217,83700.0,127.336143
13,2,1800,4965,226333.0,1.0,0.443,4530,4860,3060,-105,0.0,0,0,0,0.443,0.0,0.0,1.0,0.892965,83788.4766,63.735373
14,8,1800,3722,196920.6,0.8201,0.5603,3090,,,,0.522,1,1,0,0.560276,0.0,0.0,0.580116,0.564681,72900.0,221.811345
15,4,1800,5208,294140.0,1.0,0.9173,4830,5580,3780,372,0.0748,1,0,0,0.917284,0.0,0.0,0.978749,0.924495,108890.628,165.659648
16,4,3600,6768,235584.0,1.0,1.4058,5280,6750,3150,-18,0.0,0,0,0,1.4058,0.0,0.0,1.0,0.944568,87213.1968,132.680909
17,2,3600,6240,138927.0,1.0,0.886,5580,5910,2310,-330,0.0,0,0,0,0.886,0.0,0.0,1.0,0.892965,51430.7754,39.121843
18,4,3600,6384,199558.0,1.0,0.4686,6030,6300,2700,-84,0.0,0,0,0,0.4686,0.0,0.0,1.0,0.944568,73876.3716,112.391066
19,8,3600,6630,130858.0,1.0,1.4487,6270,6630,3030,0,0.0814,0,0,0,1.448666,0.0,0.0,0.999976,0.973369,48443.6316,147.398451
20,2,3600,6060,240680.7,0.846,1.0194,5940,,,,0.295,1,1,0,1.019425,0.0,0.0,0.767062,0.684959,89100.0,67.775689
21,2,3600,5986,230956.2,0.7869,0.6385,5730,,,,0.1325,1,1,0,0.6385,0.0,0.0,0.720655,0.64352,85500.0,65.037277
22,4,3600,5537,196920.6,0.7005,0.5854,5310,,,,0.147,1,1,0,0.585384,0.0,0.0,0.62461,0.589986,72900.0,110.905673
23,4,3600,5741,193911.0,1.0,1.3527,5430,6000,2400,259,0.1099,1,0,0,1.352747,0.0,0.0,0.962261,0.908921,71785.8522,109.210675
24,2,5400,8436,192588.0,1.0,0.443,7710,8430,3030,-6,0.0,0,0,0,0.443,0.0,0.0,1.0,0.892965,71296.0776,54.232781
25,8,5400,7608,195141.0,1.0,0.3743,6480,8040,2640,432,0.4085,1,0,0,0.374342,0.0,0.0,0.775197,0.754571,72241.1982,219.806822
26,4,5400,8893,212900.0,1.0,1.4058,8040,8340,2940,-553,0.0,0,0,0,1.4058,0.0,0.0,1.0,0.944568,78815.58,119.90528
27,4,5400,8699,187430.0,1.0,0.4686,7380,8670,3270,-29,0.0,0,0,0,0.4686,0.0,0.0,1.0,0.944568,69386.586,105.560576
28,8,5400,7375,199351.7,0.8823,1.1448,6900,,,,0.1829,1,1,0,1.144793,0.0,0.0,0.790221,0.769195,73800.0,224.549757
29,2,5400,8698,162473.0,1.0,1.329,7380,8580,3180,-118,0.0,0,0,0,1.329,0.0,0.0,1.0,0.892965,60147.5046,45.752397
30,4,5400,8715,187043.0,1.0,1.4058,7530,7770,2370,-945,0.0,0,0,0,1.4058,0.0,0.0,1.0,0.944568,69243.3186,105.342618
31,2,5400,7719,177496.0,1.0,1.329,7530,7710,2310,-9,0.0,0,0,0,1.329,0.0,0.0,1.0,0.892965,65709.0192,49.982874
32,8,7200,10146,147911.0,1.0,1.4487,7980,10020,2820,-126,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,54756.6522,166.60695
33,2,7200,9360,127950.0,1.0,1.329,8730,8820,1620,-540,0.0,0,0,0,1.329,0.0,0.0,1.0,0.892965,47367.09,36.03072
34,4,7200,10435,260980.0,1.0,0.4686,9780,10440,3240,5,0.0033,1,0,0,0.468574,0.0,0.0,0.999945,0.944516,96614.796,146.983936
35,2,7200,10197,257385.0,1.0,1.3076,10020,10380,3180,183,0.0649,1,0,0,1.307601,0.0,0.0,0.983899,0.878587,95283.927,72.479616
36,8,7200,9499,194313.0,1.0,1.4371,8550,9600,2400,101,0.0491,1,0,0,1.437093,0.0,0.0,0.991988,0.965594,71934.6726,218.874163
37,2,7200,9826,250405.2,0.9776,0.7989,9660,,,,0.1519,1,1,0,0.798893,0.0,0.0,0.901685,0.805173,92700.0,70.5141
38,8,7200,9067,192058.3,0.9549,0.6793,7980,,,,0.5901,1,1,0,0.679269,0.0,0.0,0.703323,0.684609,71100.0,216.334522
39,8,7200,9206,127959.0,1.0,0.4829,8550,9180,1980,-26,0.0,0,0,0,0.4829,0.0,0.0,1.0,0.973392,47370.4218,144.133018
40,8,9000,11978,187923.0,1.0,1.4487,10320,11970,2970,-8,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,69569.0946,211.676467
41,8,9000,11817,194219.0,1.0,1.4487,9630,11790,2790,-27,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,71899.8738,218.768282
42,16,9000,11834,115839.0,1.0,1.4883,9330,11820,2820,-14,0.0,0,0,0,1.4883,0.0,0.0,1.0,1.0,42883.5978,260.962099
43,8,9000,11796,226944.0,1.0,0.9655,10380,11820,2820,24,0.0037,1,0,0,0.965521,0.0,0.0,0.999711,0.973112,84014.6688,255.629722
44,16,9000,12231,118113.0,1.0,0.9922,9660,11910,2910,-321,0.0,0,0,0,0.9922,0.0,0.0,1.0,1.0,43725.4326,266.084966
45,2,9000,10855,160790.0,1.0,0.8727,10680,11010,2010,155,0.0777,1,0,0,0.872731,0.0,0.0,0.985024,0.879592,59524.458,45.278464
46,4,9000,12569,169500.0,1.0,0.9372,10980,11190,2190,-1379,0.0,0,0,0,0.9372,0.0,0.0,1.0,0.944568,62748.9,95.4624
47,4,9000,11535,142917.0,1.0,0.4686,10920,11520,2520,-15,0.0,0,0,0,0.4686,0.0,0.0,1.0,0.944568,52907.8734,80.490854
48,8,10800,12662,192058.3,0.6433,0.8237,12180,,,,0.1384,1,1,0,0.823721,0.0,0.0,0.568593,0.553464,71100.0,216.334522
49,8,10800,12705,146788.0,1.0,1.4487,12090,12690,1890,-15,0.0,0,0,0,1.4487,0.0,0.0,1.0,0.973392,54340.9176,165.342003
50,4,10800,14252,271135.0,1.0,0.4686,13860,14250,3450,-2,0.0,0,0,0,0.4686,0.0,0.0,1.0,0.944568,100374.177,152.703232
51,8,10800,13792,158719.0,1.0,0.9658,12630,13170,2370,-622,0.0,0,0,0,0.9658,0.0,0.0,1.0,0.973392,58757.7738,178.781082
52,2,10800,13509,125256.0,1.0,0.886,13440,13500,2700,-9,0.0,0,0,0,0.886,0.0,0.0,1.0,0.892965,46369.7712,35.27209
53,4,10800,13796,256780.0,1.0,1.3844,12930,13980,3180,184,0.0627,1,0,0,1.384398,0.0,0.0,0.984776,0.930188,95059.956,144.618496
54,8,10800,13352,181837.0,1.0,0.8139,12270,13590,2790,238,0.4639,1,0,0,0.813863,0.0,0.0,0.842682,0.820261,67316.0574,204.821197
55,2,10800,12900,206645.1,0.7863,0.3171,12780,,,,0.3009,1,1,0,0.317117,0.0,0.0,0.715839,0.639219,76500.0,58.191248
56,4,12600,14591,166858.0,1.0,0.4571,14430,14670,2070,79,0.2338,1,0,0,0.457071,0.0,0.0,0.975397,0.921328,61770.8316,93.974426
57,2,12600,15700,118009.0,1.0,1.329,15060,15180,2580,-520,0.0,0,0,0,1.329,0.0,0.0,1.0,0.892965,43686.9318,33.231334
58,8,12600,15691,239354.0,1.0,0.9658,14490,15690,3090,-1,0.0,0,0,0,0.9658,0.0,0.0,1.0,0.973392,88608.8508,269.608346
59,2,12600,15302,132254.0,1.0,1.329,14340,15210,2610,-92,0.0,0,0,0,1.329,0.0,0.0,1.0,0.892965,48960.4308,37.242726
60,2,12600,15295,257698.5,0.896,0.3649,15090,,,,0.1437,1,1,0,0.36489,0.0,0.0,0.82368,0.735517,95400.0,72.567909
61,8,12600,15203,239264.0,1.0,0.7717,13980,15570,2970,367,0.5134,1,0,0,0.771703,0.0,0.0,0.79903,0.77777,88575.5328,269.50697
62,2,12600,14830,133242.0,1.0,0.886,14250,14340,1740,-490,0.0,0,0,0,0.886,0.0,0.0,1.0,0.892965,49326.1884,37.520947
63,16,12600,15535,160302.0,1.0,1.4883,13290,14880,2280,-655,0.0,0,0,0,1.4883,0.0,0.0,1.0,1.0,59343.8004,361.128346
