kid,depth,delivered_images,delivery_fraction,utility
0,8,117850.0,1.0,1.4487
1,8,187776.0,1.0,0.9658
2,8,117189.0,1.0,1.4487
3,8,118835.0,1.0,0.9658
4,8,247151.0,1.0,1.4487
5,8,257213.0,1.0,0.7025
6,8,267950.0,1.0,0.8612
7,8,174159.0,1.0,0.4829
8,8,256314.0,1.0,0.8474
9,8,264553.0,1.0,0.8437
10,8,190092.0,1.0,0.4466
11,8,210917.0,1.0,1.208
12,8,271659.0,1.0,1.1125
13,8,226333.0,1.0,0.4829
14,8,240105.0,1.0,0.7166
15,8,294140.0,1.0,0.9464
16,8,235584.0,1.0,1.4487
17,8,138927.0,1.0,0.9658
18,2,199558.0,1.0,0.443
19,8,130858.0,1.0,1.4487
20,8,284506.0,1.0,1.1293
21,8,293502.0,1.0,0.7109
22,8,281108.0,1.0,0.6181
23,8,193911.0,1.0,1.394
24,8,192588.0,1.0,0.4829
25,8,195141.0,1.0,0.4705
26,8,212900.0,1.0,1.4487
27,8,187430.0,1.0,0.4829
28,8,225953.0,1.0,1.1644
29,8,162473.0,1.0,1.4487
30,8,187043.0,1.0,1.4487
31,8,177496.0,1.0,1.4487
32,8,147911.0,1.0,1.4487
33,8,127950.0,1.0,1.4487
34,8,260980.0,1.0,0.4829
35,8,257385.0,1.0,1.4254
36,8,194313.0,1.0,1.4371
37,8,256146.0,1.0,0.8747
38,8,201121.0,1.0,0.8231
39,8,127959.0,1.0,0.4829
40,8,187923.0,1.0,1.4487
41,8,194219.0,1.0,1.4487
42,8,115839.0,1.0,1.4487
43,8,226944.0,1.0,0.9655
44,8,118113.0,1.0,0.9658
45,8,160790.0,1.0,0.9514
46,8,169500.0,1.0,0.9658
47,8,142917.0,1.0,0.4829
48,8,298534.0,1.0,0.8441
49,8,146788.0,1.0,1.4487
50,8,271135.0,1.0,0.4829
51,8,158719.0,1.0,0.9658
52,8,125256.0,1.0,0.9658
53,8,256780.0,1.0,1.4267
54,8,181837.0,1.0,0.9658
55,8,262804.0,1.0,0.3542
56,8,166858.0,1.0,0.4804
57,8,118009.0,1.0,1.4487
58,8,239354.0,1.0,0.9658
59,8,132254.0,1.0,1.4487
60,8,287611.0,1.0,0.4032
61,8,239264.0,1.0,0.9156
62,8,133242.0,1.0,0.9658
63,8,160302.0,1.0,1.4487
