t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1203,2067893067,8,0
30,38897.9,0.2405,2040508951,8,0
60,58346.8,0.3608,2013124834,8,0
90,77795.8,0.481,1985740717,8,0
120,97244.7,0.6013,1958356601,8,0
150,116693.7,0.7215,1930972484,8,0
180,136142.6,0.8418,1903588367,8,0
210,155591.6,0.962,1876204250,8,0
240,175040.5,1.0823,1848820134,8,0
270,194489.5,1.2025,1821436017,8,0
300,213938.4,1.3228,1794051900,8,0
330,233387.4,1.443,1766667784,8,0
360,252836.3,1.5633,1739283667,8,0
390,272285.3,1.6835,1711899550,8,0
420,291734.2,1.8038,1684515434,8,0
450,311183.1,1.924,1657131317,8,0
480,330632.1,2.0443,1629747200,8,0
510,350081.0,2.1645,1602363084,8,0
540,369530.0,2.2848,1574978967,8,0
570,388978.9,2.4051,1547594850,8,0
600,408427.9,2.5253,1520210733,8,0
630,427876.8,2.6456,1492826617,8,0
660,447325.8,2.7658,1465442500,8,0
690,466774.7,2.8861,1438058383,8,0
720,486223.7,3.0063,1410674267,8,0
750,505672.6,3.1266,1383290150,8,0
780,525121.6,3.2468,1355906033,8,0
810,544570.5,3.3671,1328521917,8,0
840,564019.4,3.4873,1301137800,8,0
870,583468.4,3.6076,1273753683,8,0
900,602917.3,3.7278,1246369566,8,0
930,622366.3,3.8481,1218985450,8,0
960,641815.2,3.9683,1191601333,8,0
990,661264.2,4.0886,1164217216,8,0
1020,680713.1,4.2088,1136833100,8,0
1050,700162.1,4.3291,1109448983,8,0
1080,719611.0,4.4493,1082064866,8,0
1110,739060.0,4.5696,1054680750,8,0
1140,758508.9,4.6899,1027296633,8,0
1170,777957.9,4.8101,999912516,8,0
1200,797406.8,4.9304,972528400,8,0
1230,816855.8,5.0506,945144283,8,0
1260,836304.7,5.1709,917760166,8,0
1290,855753.6,5.2911,890376049,8,0
1320,875202.6,5.4114,862991933,8,0
1350,894651.5,5.5316,835607816,8,0
1380,914100.5,5.6519,808223699,8,0
1410,933549.4,5.7721,780839583,8,0
1440,949498.0,5.8539,758384018,8,0
1470,961653.6,5.901,741268945,5,0
1500,973809.2,5.9482,724153872,5,0
1530,985964.8,5.9953,707038799,5,0
1560,998120.4,6.0425,689923727,5,0
1590,1010275.9,6.0896,672808654,5,0
1620,1022431.5,6.1367,655693581,5,0
1650,1034587.1,6.1839,638578508,5,0
1680,1046742.7,6.231,621463435,5,0
1710,1058898.3,6.2782,604348362,5,0
1740,1071053.9,6.3253,587233289,5,0
1770,1083209.5,6.3724,570118216,5,0
1800,1114814.0,6.4901,3277010130,13,0
1830,1146418.6,6.6077,3232510941,13,0
1860,1178023.1,6.7253,3188011751,13,0
1890,1209627.6,6.8429,3143512561,13,0
1920,1241232.2,6.9605,3099013372,13,0
1950,1272836.7,7.0781,3054514182,13,0
1980,1304441.3,7.1958,3010014993,13,0
2010,1336045.8,7.3131,2965515803,13,0
2040,1367650.3,7.4297,2921016613,13,0
2070,1399254.9,7.5455,2876517424,13,0
2100,1430859.4,7.6608,2832018234,13,0
2130,1461582.4,7.7732,2788760223,13,0
2160,1490755.9,7.8812,2747684048,12,0
2190,1519929.3,7.9887,2706607873,12,0
2220,1549102.7,8.0958,2665531698,12,0
2250,1578276.1,8.2024,2624455523,12,0
2280,1607449.5,8.3088,2583379348,12,0
2310,1634771.7,8.4061,2544909702,12,0
2340,1661514.0,8.5004,2507256542,11,0
2370,1688256.3,8.5944,2469603381,11,0
2400,1714998.6,8.6882,2431950221,11,0
2430,1741740.9,8.7818,2394297060,11,0
2460,1768483.2,8.8752,2356643900,11,0
2490,1795225.5,8.9684,2318990740,11,0
2520,1821967.8,9.0615,2281337579,11,0
2550,1848710.1,9.1544,2243684419,11,0
2580,1875452.4,9.2472,2206031258,11,0
2610,1902194.7,9.3399,2168378098,11,0
2640,1928937.0,9.4325,2130724937,11,0
2670,1955679.3,9.5249,2093071777,11,0
2700,1982421.6,9.6166,2055418616,11,0
