t_s,delivered_images,utility,backlog_bits,n_active
0,19448.9,0.1272,4135786135,8
30,38897.9,0.2544,4081017901,8
60,58346.8,0.3816,4026249668,8
90,77795.8,0.5088,3971481434,8
120,97244.7,0.636,3916713201,8
150,116693.7,0.7632,3861944968,8
180,136142.6,0.8904,3807176734,8
210,155591.6,1.0176,3752408501,8
240,175040.5,1.1448,3697640268,8
270,194489.5,1.272,3642872034,8
300,213938.4,1.3992,3588103801,8
330,233387.4,1.5264,3533335567,8
360,252836.3,1.6536,3478567334,8
390,272285.3,1.7808,3423799101,8
420,291734.2,1.908,3369030867,8
450,311183.1,2.0352,3314262634,8
480,330632.1,2.1624,3259494400,8
510,350081.0,2.2896,3204726167,8
540,369530.0,2.4168,3149957934,8
570,388978.9,2.544,3095189700,8
600,408427.9,2.6712,3040421467,8
630,427876.8,2.7984,2985653233,8
660,447325.8,2.9256,2930885000,8
690,466774.7,3.0528,2876116767,8
720,486223.7,3.18,2821348533,8
750,505672.6,3.3072,2766580300,8
780,525121.6,3.4344,2711812067,8
810,544570.5,3.5617,2657043833,8
840,564019.4,3.6889,2602275600,8
870,583468.4,3.8161,2547507366,8
900,602917.3,3.9433,2492739133,8
930,622366.3,4.0705,2437970900,8
960,641815.2,4.1977,2383202666,8
990,661264.2,4.3249,2328434433,8
1020,680713.1,4.4521,2273666199,8
1050,700162.1,4.5793,2218897966,8
1080,719611.0,4.7065,2164129733,8
1110,739060.0,4.8337,2109361499,8
1140,758508.9,4.9609,2054593266,8
1170,777957.9,5.0881,1999825033,8
1200,797406.8,5.2153,1945056799,8
1230,816855.8,5.3425,1890288566,8
1260,836304.7,5.4697,1835520332,8
1290,855753.6,5.5969,1780752099,8
1320,875202.6,5.7241,1725983866,8
1350,894651.5,5.8513,1671215632,8
1380,914100.5,5.9785,1616447399,8
1410,933549.4,6.1057,1561679165,8
1440,949498.0,6.1922,1516768037,8
1470,961653.6,6.242,1482537891,5
1500,973809.2,6.2919,1448307745,5
1530,985964.8,6.3418,1414077599,5
1560,998120.4,6.3916,1379847453,5
1590,1010275.9,6.4415,1345617307,5
1620,1022431.5,6.4914,1311387161,5
1650,1034587.1,6.5412,1277157015,5
1680,1046742.7,6.5911,1242926870,5
1710,1058898.3,6.641,1208696724,5
1740,1071053.9,6.6908,1174466578,5
1770,1083209.5,6.7407,1140236432,5
1800,1114814.0,6.8651,6554020261,13
1830,1146418.6,6.9895,6465021881,13
1860,1178023.1,7.1139,6376023502,13
1890,1209627.6,7.2383,6287025123,13
1920,1241232.2,7.3628,6198026744,13
1950,1272836.7,7.4872,6109028364,13
1980,1304441.3,7.6116,6020029985,13
2010,1336045.8,7.7357,5931031606,13
2040,1367650.3,7.859,5842033227,13
2070,1399254.9,7.9816,5753034847,13
2100,1430859.4,8.1035,5664036468,13
2130,1461582.4,8.2224,5577520445,13
2160,1490755.9,8.3366,5495368095,12
2190,1519929.3,8.4503,5413215745,12
2220,1549102.7,8.5636,5331063395,12
2250,1578276.1,8.6765,5248911045,12
2280,1607449.5,8.789,5166758695,12
2310,1634771.7,8.8919,5089819404,12
2340,1661514.0,8.9916,5014513084,11
2370,1688256.3,9.0911,4939206763,11
2400,1714998.6,9.1903,4863900442,11
2430,1741740.9,9.2893,4788594121,11
2460,1768483.2,9.3881,4713287800,11
2490,1795225.5,9.4867,4637981479,11
2520,1821967.8,9.5851,4562675158,11
2550,1848710.1,9.6834,4487368837,11
2580,1875452.4,9.7816,4412062516,11
2610,1902194.7,9.8796,4336756195,11
2640,1928937.0,9.9776,4261449874,11
2670,1955679.3,10.0754,4186143554,11
2700,1982421.6,10.1723,4110837233,11
2730,2009163.9,10.2685,4035530912,11
2760,2035906.2,10.3639,3960224591,11
2790,2062648.5,10.4586,3884918270,11
2820,2089390.8,10.5527,3809611949,11
2850,2116133.1,10.6463,3734305628,11
2880,2142875.5,10.7394,3658999307,11
2910,2169617.8,10.832,3583692986,11
2940,2196360.1,10.9243,3508386665,11
2970,2223102.4,11.0161,3433080344,11
3000,2249844.7,11.1077,3357774024,11
3030,2275763.9,11.1942,3284785462,11
3060,2300075.1,11.2713,3216325171,10
3090,2324386.3,11.3482,3147864879,10
3120,2348697.4,11.4249,3079404587,10
3150,2372523.1,11.5013,3012311580,10
3180,2394403.1,11.5774,2950697317,9
3210,2416283.2,11.6534,2889083055,9
3240,2438163.3,11.7292,2827468792,9
3270,2460043.3,11.8049,2765854530,9
3300,2480019.3,11.8797,2709602305,9
3330,2499468.2,11.9542,2654834072,8
3360,2518917.2,12.0288,2600065838,8
3390,2538366.1,12.1033,2545297605,8
3420,2557815.1,12.1779,2490529372,8
3450,2577264.0,12.2524,2435761138,8
3480,2596713.0,12.327,2380992905,8
3510,2616161.9,12.4015,2326224672,8
3540,2635610.8,12.4761,2271456438,8
3570,2655059.8,12.5506,2216688205,8
3600,2693957.7,12.7334,7057550202,16
3630,2732855.6,12.9162,6948013735,16
3660,2771753.5,13.099,6838477268,16
3690,2810651.4,13.2815,6728940802,16
3720,2849549.3,13.4616,6619404335,16
3750,2888447.1,13.6392,6509867868,16
3780,2927345.0,13.8143,6400331401,16
3810,2966242.9,13.9871,6290794935,16
3840,3005140.8,14.1579,6181258468,16
3870,3044038.7,14.3267,6071722001,16
