t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,0.0,0.0,14195022336,8,0
30,2728.1,0.0103,14164293001,8,0
60,13381.5,0.0506,14044293001,8,0
90,24034.9,0.1216,13924293001,8,0
120,41843.6,0.2526,13745848916,8,0
150,57823.7,0.432,13565848916,8,0
180,62237.0,0.482,13516137409,8,0
210,62237.0,0.482,13516137409,8,0
240,72890.4,0.5937,13396137409,8,0
270,88870.5,0.7731,13216137409,8,0
300,102934.0,0.8736,13057725740,8,0
330,109239.7,0.9449,12986698187,8,0
360,118232.1,1.0572,12885408073,8,0
390,129034.0,1.1708,12763735464,8,0
420,145563.2,1.3463,12583735464,8,0
450,166870.0,1.4161,12403735464,8,0
480,185607.6,1.4764,12252675496,8,0
510,195085.2,1.5499,12156383762,8,0
540,204345.2,1.6503,12052079062,8,0
570,221363.0,1.7856,11893006129,8,0
600,226689.7,1.8061,9745074481,8,0
630,232016.4,1.8267,9685074481,8,0
660,237343.1,1.8472,9625074481,8,0
690,242669.8,1.8678,9565074481,8,0
720,247996.5,1.8883,9505074481,8,0
750,248134.6,1.8888,9503518565,8,0
780,253461.4,1.9094,9443518565,8,0
810,258788.1,1.9299,9383518565,8,0
840,264114.8,1.9653,9323518565,8,0
870,269441.5,2.0112,9263518565,8,0
900,274768.2,2.0572,9203518565,8,0
930,274980.4,2.0578,9202323193,8,0
960,275741.9,2.0607,9193746208,8,0
990,281068.6,2.0813,9133746208,8,0
1020,286395.3,2.1166,9073746208,8,0
1050,291722.0,2.1626,9013746208,8,0
1080,302375.4,2.1921,8953746208,8,0
1110,313992.1,2.2342,8858320691,8,0
1140,319318.8,2.2801,8798320691,8,0
1170,335299.0,2.3556,8678320691,8,0
1200,338797.1,2.3686,8638917125,8,0
1230,338797.1,2.3686,8638917125,8,0
1260,338797.1,2.3686,8638917125,8,0
1290,338797.1,2.3686,8638917125,8,0
1320,338797.1,2.3686,8638917125,8,0
1350,342295.3,2.3815,8599513559,8,0
1380,342295.3,2.3815,8599513559,8,0
1410,342295.3,2.3815,8599513559,8,0
1440,352948.7,2.4845,8479513559,8,0
1470,352948.7,2.4845,8479513559,8,0
1500,362292.0,2.5655,8374270830,8,0
1530,362292.0,2.5655,8374270830,8,0
1560,367618.7,2.6331,8314270830,8,0
1590,367618.7,2.6331,8314270830,8,0
1620,372945.4,2.6537,8254270830,8,0
1650,381770.3,2.7019,8154867264,8,0
1680,387097.0,2.7696,8094867264,8,0
1710,397750.4,2.8578,7974867264,8,0
1740,397750.4,2.8578,7974867264,8,0
1770,408403.8,2.946,7854867264,8,0
1800,424384.0,3.0539,26254926784,16,0
1830,440364.1,3.1618,26074926784,16,0
1860,456344.2,3.2697,25894926784,16,0
1890,479341.4,3.4176,25695166654,16,0
1920,511301.6,3.579,25515166654,16,0
1950,527281.7,3.6869,25335166654,16,0
1980,543261.8,3.7949,25155166654,16,0
2010,559242.0,3.9021,24975166654,16,0
2040,571058.0,3.9675,24842071093,16,0
2070,581711.4,4.0312,24722071093,15,0
2100,592364.8,4.0942,24602071093,15,0
2130,603018.2,4.1566,24482071093,15,0
2160,613671.6,4.2184,24362071093,15,0
2190,624325.0,4.2796,24242071093,15,0
2220,634978.4,4.3404,24122071093,15,0
2250,642736.2,4.3642,24034686976,15,0
2280,650494.1,4.3876,23947302860,15,0
2310,658251.9,4.4107,23859918743,15,0
2340,666009.7,4.4335,23772534626,15,0
2370,673767.5,4.4559,23685150509,15,0
2400,684420.9,4.5147,18098473645,15,0
2430,710647.0,4.6288,17959083002,15,0
2460,739711.6,4.7569,17811698885,15,0
2490,780111.7,4.9694,17607932272,15,0
2520,833378.8,5.2839,17367932272,15,0
2550,865339.0,5.4772,17187932272,15,0
2580,897299.2,5.6706,17007932272,15,0
2610,929259.4,5.8639,16827932272,15,0
2640,961219.7,6.0573,16647932272,15,0
2670,990066.5,6.22,16493313933,15,0
2700,995393.2,6.2379,16433313933,13,0
2730,1000719.9,6.2541,16373313933,13,0
2760,1006620.0,6.2702,16310084623,13,0
2790,1041226.0,6.4165,16137634149,13,0
2820,1078512.9,6.5768,15957634149,13,0
2850,1083839.6,6.5876,15897634149,13,0
2880,1110473.1,6.7304,15777634149,13,0
2910,1137106.6,6.8798,15657634149,13,0
2940,1163740.2,7.0289,15537634149,13,0
2970,1190373.7,7.1776,15417634149,13,0
3000,1227660.6,7.3555,10707715173,13,0
3030,1264947.6,7.5331,10527715173,13,0
3060,1306213.9,7.7172,10347715173,13,0
3090,1321055.5,7.7717,10264127355,12,0
3120,1337035.6,7.8457,10144127355,12,0
3150,1353015.7,7.913,10024127355,12,0
3180,1368995.8,7.987,9904127355,12,0
3210,1384975.9,8.061,9784127355,12,0
3240,1400956.0,8.1351,9664127355,12,0
