t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,18875.7,0.1327,15094001657,8,0
30,37751.4,0.2655,14897081073,8,0
60,56627.1,0.3982,14700160490,8,0
90,76896.2,0.5301,14503239906,8,0
120,94378.5,0.6637,14306319323,8,0
150,113254.2,0.7964,14109398739,8,0
180,132129.9,0.9292,13912478156,8,0
210,151005.6,1.0619,13715557572,8,0
240,169881.3,1.1947,13518636989,8,0
270,188757.0,1.3274,13321716405,8,0
300,207632.7,1.4601,13124795822,8,0
330,231667.6,1.5896,12927875238,8,0
360,249149.9,1.7232,12730954655,8,0
390,270278.9,1.8545,12534034071,8,0
420,289584.5,1.9869,12337113488,8,0
450,307066.8,2.133,12140192905,8,0
480,328195.8,2.2519,11943272321,8,0
510,345678.1,2.3855,11746351738,8,0
540,366807.1,2.5168,11549431154,8,0
570,384289.4,2.6504,11352510571,8,0
600,401771.7,2.7974,11155589987,8,0
630,419254.0,2.9276,10958669404,8,0
660,441108.1,3.0485,10761748820,8,0
690,458590.4,3.1822,10564828237,8,0
720,476072.7,3.3158,10367907653,8,0
750,493555.0,3.4563,10170987070,8,0
780,514388.7,3.5809,9974066486,8,0
810,540557.8,3.709,9777145903,8,0
840,559863.4,3.8414,9580225319,8,0
870,579169.0,3.9739,9383304736,8,0
900,596651.3,4.1256,9186384152,8,0
930,614133.6,4.2412,8989463569,8,0
960,631615.9,4.3748,8792542986,8,0
990,649098.2,4.5084,8595622402,8,0
1020,666580.5,4.6421,8398701819,8,0
1050,684062.8,4.7869,8201781235,8,0
1080,701545.1,4.9094,8004860652,8,0
1110,719027.4,5.043,7807940068,8,0
1140,736509.7,5.1766,7611019485,8,0
1170,755028.0,5.3096,7414098901,8,0
1200,775297.1,5.4449,7217178318,8,0
1230,792779.4,5.5751,7020257734,8,0
1260,811655.1,5.7078,6823337151,8,0
1290,830530.8,5.8406,6626416567,8,0
1320,849406.5,5.9733,6429495984,8,0
1350,871069.0,6.1043,6232575400,8,0
1380,888551.3,6.2379,6035654817,8,0
1410,906033.6,6.3715,5838734234,8,0
1440,929152.1,6.482,5659437246,8,0
1470,950458.9,6.559,5517284896,5,0
1500,971765.7,6.6361,5375132546,5,0
1530,985964.8,6.694,5252995715,5,0
1560,998120.4,6.7464,5136613219,5,0
1590,1010275.9,6.7988,5020230723,5,0
1620,1022431.5,6.8512,4903848227,5,0
1650,1034587.1,6.9036,4787465731,5,0
