gs,sat,start_s,end_s,duration_s
Tokyo,0,2010,2340,330
Tokyo,1,1830,2160,330
Tokyo,2,1650,1980,330
Tokyo,3,1470,1800,330
Tokyo,4,1290,1620,330
Tokyo,5,1110,1440,330
Tokyo,6,930,1260,330
Tokyo,7,750,1080,330
Tokyo,8,570,900,330
Tokyo,9,390,720,330
Tokyo,10,210,540,330
Tokyo,11,30,360,330
Tokyo,12,0,180,180
Tokyo,13,0,0,0
Tokyo,13,5880,5940,60
Tokyo,14,5670,5790,120
Tokyo,15,5490,5610,120
Tokyo,16,5280,5460,180
Tokyo,17,5100,5280,180
Tokyo,18,4920,5130,210
Tokyo,19,4710,4950,240
Tokyo,20,4530,4800,270
Tokyo,21,4350,4620,270
Tokyo,22,4170,4440,270
Tokyo,23,3990,4260,270
Tokyo,24,3810,4110,300
Tokyo,25,3630,3930,300
Tokyo,26,3450,3750,300
Tokyo,27,3270,3570,300
Tokyo,28,3090,3390,300
Tokyo,29,2910,3210,300
Tokyo,30,2730,3060,330
Tokyo,31,2550,2880,330
Tokyo,32,2370,2700,330
Tokyo,33,2190,2520,330
Tokyo,34,1890,2220,330
Tokyo,34,8040,8190,150
Tokyo,35,1710,2040,330
Tokyo,35,7860,8040,180
Tokyo,36,1530,1860,330
Tokyo,36,7680,7860,180
Tokyo,37,1350,1680,330
Tokyo,37,7470,7680,210
Tokyo,38,1170,1500,330
Tokyo,38,7290,7530,240
Tokyo,39,1020,1320,300
Tokyo,39,7110,7350,240
Tokyo,40,840,1110,270
Tokyo,40,6930,7170,240
Tokyo,41,660,930,270
Tokyo,41,6750,7020,270
Tokyo,42,480,750,270
Tokyo,42,6570,6840,270
Tokyo,43,300,570,270
Tokyo,43,6360,6660,300
Tokyo,44,120,390,270
Tokyo,44,6180,6480,300
Tokyo,45,0,210,210
Tokyo,45,6000,6330,330
Tokyo,46,0,30,30
Tokyo,46,5820,6150,330
Tokyo,47,5640,5970,330
Tokyo,48,5460,5790,330
Tokyo,49,5280,5610,330
Tokyo,50,5100,5430,330
Tokyo,51,4920,5250,330
Tokyo,52,4740,5100,360
Tokyo,53,4560,4920,360
Tokyo,54,4380,4740,360
Tokyo,55,4200,4560,360
Tokyo,56,4020,4380,360
Tokyo,57,3840,4200,360
Tokyo,58,3660,4020,360
Tokyo,59,3480,3840,360
Tokyo,60,3300,3660,360
