kid,depth,delivered_images,delivery_fraction,utility
0,16,117850.0,1.0,3.0
1,16,187776.0,1.0,2.0
2,16,117189.0,1.0,3.0
3,16,118835.0,1.0,2.0
4,16,247151.0,1.0,3.0
5,8,257213.0,1.0,1.2365
6,8,267950.0,1.0,1.5158
7,16,174159.0,1.0,1.0
8,8,256314.0,1.0,1.4916
9,4,264553.0,1.0,1.223
10,4,190092.0,1.0,0.6474
11,8,210917.0,1.0,2.1263
12,8,271659.0,1.0,1.9583
13,8,226333.0,1.0,0.85
14,4,240105.0,1.0,1.0387
15,4,294140.0,1.0,1.3718
16,8,235584.0,1.0,2.55
17,8,138927.0,1.0,1.7
18,4,199558.0,1.0,0.7
19,16,130858.0,1.0,3.0
20,8,284506.0,1.0,1.9877
21,4,293502.0,1.0,1.0306
22,4,281108.0,1.0,0.896
23,4,193911.0,1.0,2.0208
24,8,192588.0,1.0,0.85
25,4,195141.0,1.0,0.6821
26,8,212900.0,1.0,2.55
27,16,187430.0,1.0,1.0
28,8,225953.0,1.0,2.0496
29,8,162473.0,1.0,2.55
30,16,187043.0,1.0,3.0
31,4,177496.0,1.0,2.1
32,8,147911.0,1.0,2.55
33,4,127950.0,1.0,2.1
34,4,260980.0,1.0,0.7
35,8,257385.0,1.0,2.509
36,16,194313.0,1.0,2.976
37,4,256146.0,1.0,1.268
38,4,201121.0,1.0,1.1932
39,4,127959.0,1.0,0.7
40,8,187923.0,1.0,2.55
41,8,194219.0,1.0,2.55
42,16,115839.0,1.0,3.0
43,8,226944.0,1.0,1.6995
44,16,118113.0,1.0,2.0
45,8,160790.0,1.0,1.6746
46,8,169500.0,1.0,1.7
47,8,142917.0,1.0,0.85
48,4,298534.0,1.0,1.2236
49,8,146788.0,1.0,2.55
50,8,271135.0,1.0,0.85
51,8,158719.0,1.0,1.7
52,16,125256.0,1.0,2.0
53,8,256780.0,1.0,2.5112
54,8,181837.0,1.0,1.7
55,4,262804.0,1.0,0.5135
56,8,166858.0,1.0,0.8456
57,8,118009.0,1.0,2.55
58,4,239354.0,1.0,1.4
59,8,132254.0,1.0,2.55
60,16,287611.0,1.0,0.835
61,4,239264.0,1.0,1.3272
62,8,133242.0,1.0,1.7
63,8,160302.0,1.0,2.55
