kid,depth,delivered_images,delivery_fraction,utility
0,2,117850.0,1.0,1.65
1,2,187776.0,1.0,1.1
2,2,117189.0,1.0,1.65
3,2,118835.0,1.0,1.1
4,2,247151.0,1.0,1.65
5,2,257213.0,1.0,0.8001
6,2,267950.0,1.0,0.9808
7,2,174159.0,1.0,0.55
8,2,256314.0,1.0,0.9651
9,2,264553.0,1.0,0.961
10,2,190092.0,1.0,0.5087
11,2,210917.0,1.0,1.3758
12,2,271659.0,1.0,1.2671
13,2,226333.0,1.0,0.55
14,2,240105.0,1.0,0.8161
15,2,294140.0,1.0,1.0779
16,2,235584.0,1.0,1.65
17,2,138927.0,1.0,1.1
18,2,199558.0,1.0,0.55
19,2,130858.0,1.0,1.65
20,2,284506.0,1.0,1.2862
21,2,293502.0,1.0,0.8098
22,2,281108.0,1.0,0.704
23,2,193911.0,1.0,1.5878
24,2,192588.0,1.0,0.55
25,2,195141.0,1.0,0.5359
26,2,212900.0,1.0,1.65
27,2,187430.0,1.0,0.55
28,2,225953.0,1.0,1.3262
29,2,162473.0,1.0,1.65
30,2,187043.0,1.0,1.65
31,2,177496.0,1.0,1.65
32,2,147911.0,1.0,1.65
33,2,127950.0,1.0,1.65
34,2,260980.0,1.0,0.55
35,2,257385.0,1.0,1.6234
36,2,194313.0,1.0,1.6368
37,2,256146.0,1.0,0.9963
38,2,201121.0,1.0,0.9375
39,2,127959.0,1.0,0.55
40,2,187923.0,1.0,1.65
41,2,194219.0,1.0,1.65
42,2,115839.0,1.0,1.65
43,2,226944.0,1.0,1.0997
44,2,118113.0,1.0,1.1
45,2,160790.0,1.0,1.0835
46,2,169500.0,1.0,1.1
47,2,142917.0,1.0,0.55
48,2,298534.0,1.0,0.9614
49,2,146788.0,1.0,1.65
50,2,271135.0,1.0,0.55
51,2,158719.0,1.0,1.1
52,2,125256.0,1.0,1.1
53,2,256780.0,1.0,1.6249
54,2,181837.0,1.0,1.1
55,2,262804.0,1.0,0.4035
56,2,166858.0,1.0,0.5471
57,2,118009.0,1.0,1.65
58,2,239354.0,1.0,1.1
59,2,132254.0,1.0,1.65
60,2,287611.0,1.0,0.4592
61,2,239264.0,1.0,1.0428
62,2,133242.0,1.0,1.1
63,2,160302.0,1.0,1.65
