kid,depth,delivered_images,delivery_fraction,utility
0,16,117850.0,1.0,3.0
1,16,187776.0,1.0,2.0
2,16,117189.0,1.0,3.0
3,16,118835.0,1.0,2.0
4,16,247151.0,1.0,3.0
5,16,257213.0,1.0,1.4547
6,16,267950.0,1.0,1.7692
7,4,174159.0,1.0,0.7
8,16,256314.0,1.0,1.7548
9,16,264553.0,1.0,1.7472
10,4,190092.0,1.0,0.6474
11,16,210917.0,1.0,2.5015
12,16,271659.0,1.0,2.3039
13,8,226333.0,1.0,0.85
14,8,240105.0,1.0,1.2592
15,8,294140.0,1.0,1.6658
16,16,235584.0,1.0,3.0
17,8,138927.0,1.0,1.7
18,2,199558.0,1.0,0.55
19,16,130858.0,1.0,3.0
20,16,284506.0,1.0,2.3385
21,4,293502.0,1.0,1.0305
22,8,281108.0,1.0,1.0778
23,8,193911.0,1.0,2.4538
24,4,192588.0,1.0,0.7
25,2,195141.0,1.0,0.5359
26,8,212900.0,1.0,2.55
27,16,187430.0,1.0,1.0
28,16,225953.0,1.0,2.4113
29,16,162473.0,1.0,3.0
30,16,187043.0,1.0,3.0
31,16,177496.0,1.0,3.0
32,16,147911.0,1.0,3.0
33,16,127950.0,1.0,3.0
34,4,260980.0,1.0,0.7
35,16,257385.0,1.0,2.9517
36,16,194313.0,1.0,2.976
37,16,256146.0,1.0,1.8114
38,8,201121.0,1.0,1.4489
39,8,127959.0,1.0,0.85
40,16,187923.0,1.0,3.0
41,16,194219.0,1.0,3.0
42,16,115839.0,1.0,3.0
43,8,226944.0,1.0,1.6995
44,16,118113.0,1.0,2.0
45,8,160790.0,1.0,1.6746
46,8,169500.0,1.0,1.7
47,4,142917.0,1.0,0.7
48,8,298534.0,1.0,1.4858
49,16,146788.0,1.0,3.0
50,4,271135.0,1.0,0.7
51,16,158719.0,1.0,2.0
52,16,125256.0,1.0,2.0
53,16,256780.0,1.0,2.9544
54,8,181837.0,1.0,1.7
55,8,262804.0,1.0,0.6235
56,4,166858.0,1.0,0.6963
57,16,118009.0,1.0,3.0
58,8,239354.0,1.0,1.7
59,16,132254.0,1.0,3.0
60,16,287611.0,1.0,0.835
61,16,239264.0,1.0,1.8959
62,16,133242.0,1.0,2.0
63,8,160302.0,1.0,2.55
