kid,aoi,src_sat,dst_gs,arrival_s,n_images,weight,deadline_s
0,California-fires,318,New-York,0,117850,3,2978
1,Amazon-basin,391,Sao-Paulo,0,187776,2,3346
2,Sahel,661,Sao-Paulo,0,117189,3,2162
3,Ganges-delta,207,Tokyo,0,118835,2,3557
4,Barrier-reef,1038,Sydney,0,247151,3,3092
5,Dnipro-basin,1060,New-York,0,257213,2,2030
6,Tohoku-coast,12,Tokyo,0,267950,2,2701
7,Central-Andes,1049,Sao-Paulo,0,174159,1,3469
8,California-fires,341,New-York,1800,256314,2,4324
9,Amazon-basin,414,Sao-Paulo,1800,264553,2,4398
10,Sahel,684,Sao-Paulo,1800,190092,1,3765
11,Ganges-delta,955,Tokyo,1800,210917,3,3714
12,Barrier-reef,565,Sydney,1800,271659,3,4098
13,Dnipro-basin,1084,New-York,1800,226333,1,4965
14,Tohoku-coast,2,Tokyo,1800,240105,2,3722
15,Central-Andes,1072,Sao-Paulo,1800,294140,2,5208
16,California-fires,731,New-York,3600,235584,3,6768
17,Amazon-basin,1032,Sao-Paulo,3600,138927,2,6240
18,Sahel,49,Sao-Paulo,3600,199558,1,6384
19,Ganges-delta,1012,Tokyo,3600,130858,3,6630
20,Barrier-reef,1085,Sydney,3600,284506,3,6060
21,Dnipro-basin,974,New-York,3600,293502,2,5986
22,Tohoku-coast,59,Tokyo,3600,281108,2,5537
23,Central-Andes,306,Sao-Paulo,3600,193911,3,5741
24,California-fires,721,New-York,5400,192588,1,8436
25,Amazon-basin,1055,Sao-Paulo,5400,195141,1,7608
26,Sahel,72,Sao-Paulo,5400,212900,3,8893
27,Ganges-delta,311,Tokyo,5400,187430,1,8699
28,Barrier-reef,578,Sydney,5400,225953,3,7375
29,Dnipro-basin,964,New-York,5400,162473,3,8698
30,Tohoku-coast,415,Tokyo,5400,187043,3,8715
31,Central-Andes,363,Sao-Paulo,5400,177496,3,7719
32,California-fires,412,New-York,7200,147911,3,10146
33,Amazon-basin,485,Sao-Paulo,7200,127950,3,9360
34,Sahel,755,Sao-Paulo,7200,260980,1,10435
35,Ganges-delta,335,Tokyo,7200,257385,3,10197
36,Barrier-reef,635,Sydney,7200,194313,3,9499
37,Dnipro-basin,987,New-York,7200,256146,2,9826
38,Tohoku-coast,106,Tokyo,7200,201121,2,9067
39,Central-Andes,1143,Sao-Paulo,7200,127959,1,9206
40,California-fires,469,New-York,9000,187923,3,11978
41,Amazon-basin,1102,Sao-Paulo,9000,194219,3,11817
42,Sahel,812,Sao-Paulo,9000,115839,3,11834
43,Ganges-delta,358,Tokyo,9000,226944,2,11796
44,Barrier-reef,1122,Sydney,9000,118113,2,12231
45,Dnipro-basin,56,New-York,9000,160790,2,10855
46,Tohoku-coast,462,Tokyo,9000,169500,2,12569
47,Central-Andes,11,Sao-Paulo,9000,142917,1,11535
48,California-fires,459,New-York,10800,298534,3,12662
49,Amazon-basin,532,Sao-Paulo,10800,146788,3,12705
50,Sahel,143,Sao-Paulo,10800,271135,1,14252
51,Ganges-delta,1106,Tokyo,10800,158719,2,13792
52,Barrier-reef,24,Sydney,10800,125256,2,13509
53,Dnipro-basin,46,New-York,10800,256780,3,13796
54,Tohoku-coast,153,Tokyo,10800,181837,2,13352
55,Central-Andes,1,Sao-Paulo,10800,262804,1,12900
56,California-fires,849,New-York,12600,166858,1,14591
57,Amazon-basin,28,Sao-Paulo,12600,118009,3,15700
58,Sahel,825,Sao-Paulo,12600,239354,2,15691
59,Ganges-delta,1096,Tokyo,12600,132254,3,15302
60,Barrier-reef,706,Sydney,12600,287611,1,15295
61,Dnipro-basin,36,New-York,12600,239264,2,15203
62,Tohoku-coast,543,Tokyo,12600,133242,2,14830
63,Central-Andes,457,Sao-Paulo,12600,160302,3,15535
