t_s,delivered_images,utility,backlog_bits,n_active
0,17482.3,0.2546,13634962989,8
30,34964.6,0.5092,13465426522,8
60,52446.9,0.7638,13295890056,8
90,69929.2,1.0184,13126353589,8
120,87411.5,1.273,12956817122,8
150,104893.8,1.5276,12787280655,8
180,122376.1,1.7822,12617744189,8
210,139858.4,2.0368,12448207722,8
240,157340.7,2.2914,12278671255,8
270,174823.0,2.546,12109134788,8
300,192305.3,2.8006,11939598321,8
330,209787.6,3.0552,11770061855,8
360,227269.8,3.3098,11600525388,8
390,244752.1,3.5644,11430988921,8
420,262234.4,3.819,11261452454,8
450,279716.7,4.0736,11091915988,8
480,297199.0,4.3282,10922379521,8
510,314681.3,4.5828,10752843054,8
540,332163.6,4.8374,10583306587,8
570,349645.9,5.092,10413770121,8
600,367128.2,5.3466,10244233654,8
630,384610.5,5.6012,10074697187,8
660,402092.8,5.8558,9905160720,8
690,419575.1,6.1104,9735624253,8
720,437057.4,6.365,9566087787,8
750,454539.7,6.6196,9396551320,8
780,472022.0,6.8742,9227014853,8
810,489504.3,7.1288,9057478386,8
840,506986.6,7.3834,8887941920,8
870,524468.9,7.638,8718405453,8
900,541951.2,7.8926,8548868986,8
930,559433.5,8.1472,8379332519,8
960,576915.8,8.4018,8209796052,8
990,594398.1,8.6564,8040259586,8
1020,611880.4,8.911,7870723119,8
1050,629362.7,9.1656,7701186652,8
1080,646845.0,9.4202,7531650185,8
1110,664327.3,9.6748,7362113719,8
1140,681809.5,9.9294,7192577252,8
1170,699291.8,10.184,7023040785,8
1200,716774.1,10.4386,6853504318,8
1230,734256.4,10.6932,6683967851,8
1260,751738.7,10.9478,6514431385,8
1290,769221.0,11.2024,6344894918,8
1320,786703.3,11.457,6175358451,8
1350,804185.6,11.7116,6005821984,8
1380,821667.9,11.9662,5836285518,8
1410,839150.2,12.2209,5666749051,8
1440,855067.9,12.3997,5514836180,8
1470,867688.0,12.5032,5400067947,5
1500,880308.0,12.6067,5285299713,5
1530,892928.1,12.7102,5170531480,5
1560,905548.2,12.8138,5055763246,5
1590,918168.2,12.9173,4940995013,5
1620,930788.3,13.0208,4826226780,5
1650,943408.3,13.1243,4711458546,5
1680,956028.4,13.2279,4596690313,5
1710,968648.5,13.3314,4481922080,5
1740,981268.5,13.4349,4367153846,5
1770,993888.6,13.5384,4252385613,5
1800,1018664.2,13.7336,12296853293,13
1830,1043439.9,13.9288,12120470797,13
1860,1068215.5,14.1239,11944088301,13
1890,1092991.2,14.3191,11767705805,13
1920,1117766.8,14.5142,11591323309,13
1950,1142542.5,14.7094,11414940813,13
1980,1167318.1,14.9046,11238558317,13
2010,1192093.8,15.0992,11062175821,13
2040,1216869.4,15.2924,10885793325,13
2070,1241645.1,15.4842,10709410829,13
2100,1266420.7,15.6748,10533028333,13
2130,1291196.4,15.8643,10356645837,13
2160,1315972.0,16.0528,10180263341,13
2190,1340747.7,16.2405,10003880845,13
2220,1365523.3,16.4273,9827498350,13
2250,1390299.0,16.6134,9651115854,13
2280,1415074.6,16.7988,9474733358,13
2310,1439850.3,16.9745,9298350862,13
2340,1464625.9,17.1468,9121968366,12
2370,1489401.6,17.3187,8945585870,12
2400,1514177.2,17.4901,8769203374,12
2430,1538952.9,17.6611,8592820878,12
2460,1563728.5,17.8317,8416438382,12
2490,1588504.2,18.002,8240055886,12
2520,1613279.8,18.172,8063673390,12
