t_s,delivered_images,utility,backlog_bits,n_active
0,19448.9,0.2307,8271572269,8
30,38897.9,0.4615,8162035802,8
60,58346.8,0.6922,8052499336,8
90,77795.8,0.9229,7942962869,8
120,97244.7,1.1537,7833426402,8
150,116693.7,1.3844,7723889935,8
180,136142.6,1.6151,7614353469,8
210,155591.6,1.8459,7504817002,8
240,175040.5,2.0766,7395280535,8
270,194489.5,2.3073,7285744068,8
300,213938.4,2.5381,7176207601,8
330,233387.4,2.7688,7066671135,8
360,252836.3,2.9995,6957134668,8
390,272285.3,3.2303,6847598201,8
420,291734.2,3.461,6738061734,8
450,311183.1,3.6917,6628525268,8
480,330632.1,3.9225,6518988801,8
510,350081.0,4.1532,6409452334,8
540,369530.0,4.3839,6299915867,8
570,388978.9,4.6147,6190379401,8
600,408427.9,4.8454,6080842934,8
630,427876.8,5.0761,5971306467,8
660,447325.8,5.3069,5861770000,8
690,466774.7,5.5376,5752233533,8
720,486223.7,5.7683,5642697067,8
750,505672.6,5.9991,5533160600,8
780,525121.6,6.2298,5423624133,8
810,544570.5,6.4605,5314087666,8
840,564019.4,6.6913,5204551200,8
870,583468.4,6.922,5095014733,8
900,602917.3,7.1527,4985478266,8
930,622366.3,7.3835,4875941799,8
960,641815.2,7.6142,4766405332,8
990,661264.2,7.8449,4656868866,8
1020,680713.1,8.0757,4547332399,8
1050,700162.1,8.3064,4437795932,8
1080,719611.0,8.5371,4328259465,8
1110,739060.0,8.7679,4218722999,8
1140,758508.9,8.9986,4109186532,8
1170,777957.9,9.2293,3999650065,8
1200,797406.8,9.4601,3890113598,8
1230,816855.8,9.6908,3780577131,8
1260,836304.7,9.9215,3671040665,8
1290,855753.6,10.1523,3561504198,8
1320,875202.6,10.383,3451967731,8
1350,894651.5,10.6137,3342431264,8
1380,914100.5,10.8445,3232894798,8
1410,933549.4,11.0752,3123358331,8
1440,949498.0,11.2321,3033536073,8
1470,961653.6,11.3225,2965075781,5
1500,973809.2,11.413,2896615490,5
1530,985964.8,11.5034,2828155198,5
1560,998120.4,11.5939,2759694906,5
1590,1010275.9,11.6843,2691234614,5
1620,1022431.5,11.7748,2622774323,5
1650,1034587.1,11.8652,2554314031,5
1680,1046742.7,11.9557,2485853739,5
1710,1058898.3,12.0461,2417393447,5
1740,1071053.9,12.1366,2348933156,5
1770,1083209.5,12.227,2280472864,5
1800,1113311.8,12.444,13116500813,13
1830,1143414.2,12.661,12946964346,13
1860,1173516.6,12.878,12777427880,13
1890,1203618.9,13.095,12607891413,13
1920,1233721.3,13.312,12438354946,13
1950,1263823.6,13.529,12268818479,13
1980,1293926.0,13.746,12099282013,13
2010,1324028.3,13.9624,11929745546,13
2040,1354130.7,14.1774,11760209079,13
2070,1384233.1,14.3911,11590672612,13
2100,1414335.4,14.6035,11421136145,13
2130,1444437.8,14.8156,11251599679,13
2160,1474540.1,15.0282,11082063212,12
2190,1504642.5,15.2398,10912526745,12
2220,1534744.8,15.4507,10742990278,12
2250,1564847.2,15.6607,10573453812,12
2280,1594949.5,15.8702,10403917345,12
2310,1625051.9,16.0729,10234380878,12
2340,1655154.3,16.2733,10064844411,11
2370,1685256.6,16.4731,9895307944,11
2400,1714998.6,16.6704,9727800883,11
2430,1741740.9,16.85,9577188242,11
2460,1768483.2,17.0292,9426575600,11
2490,1795225.5,17.208,9275962958,11
2520,1821967.8,17.3866,9125350316,11
2550,1848710.1,17.5649,8974737674,11
2580,1875452.4,17.743,8824125033,11
2610,1902194.7,17.9208,8673512391,11
2640,1928937.0,18.0984,8522899749,11
2670,1955679.3,18.2759,8372287107,11
2700,1982421.6,18.4517,8221674465,11
