t_s,delivered_images,utility,backlog_bits,n_active
0,18875.7,0.265,15094001657,8
30,38611.3,0.5315,14897081073,8
60,57916.9,0.7972,14700160490,8
90,77222.5,1.0629,14503239906,8
120,96528.2,1.3287,14306319323,8
150,115833.8,1.5816,14109398739,8
180,133316.1,1.8569,13912478156,8
210,151005.6,2.1197,13715557572,8
240,173750.7,2.3723,13518636989,8
270,191233.0,2.6417,13321716405,8
300,212362.0,2.8995,13124795822,8
330,229844.3,3.1855,12927875238,8
360,250973.3,3.4546,12730954655,8
390,270278.9,3.6903,12534034071,8
420,287761.2,3.9597,12337113488,8
450,308890.2,4.2175,12140192905,8
480,326372.5,4.5142,11943272321,8
510,347501.4,4.7789,11746351738,8
540,366807.1,5.0083,11549431154,8
570,384289.4,5.2863,11352510571,8
600,405418.3,5.5372,11155589987,8
630,422900.6,5.8429,10958669404,8
660,444029.6,6.0969,10761748820,8
690,463335.2,6.3263,10564828237,8
720,480817.5,6.6026,10367907653,8
750,501946.5,6.8659,10170987070,8
780,519428.8,7.1716,9974066486,8
810,540557.8,7.4148,9777145903,8
840,559863.4,7.6442,9580225319,8
870,577345.7,7.95,9383304736,8
900,598474.7,8.1827,9186384152,8
930,615957.0,8.4884,8989463569,8
960,637086.0,8.7328,8792542986,8
990,656391.6,8.9622,8595622402,8
1020,673873.9,9.2679,8398701819,8
1050,695002.9,9.5006,8201781235,8
1080,712485.2,9.8063,8004860652,8
1110,733614.1,10.0508,7807940068,8
1140,752919.8,10.2802,7611019485,8
1170,770402.1,10.5859,7414098901,8
1200,791531.0,10.8186,7217178318,8
1230,809013.3,11.1243,7020257734,8
1260,830142.3,11.3688,6823337151,8
1290,849447.9,11.5981,6626416567,8
1320,866930.2,11.8745,6429495984,8
1350,888059.2,12.1483,6232575400,8
1380,905541.5,12.454,6035654817,8
1410,926670.5,12.6867,5838734234,8
1440,944411.5,12.8788,5659437246,8
1470,957031.6,13.0781,5517284896,6
1500,973298.3,13.208,5375132546,5
1530,985964.8,13.3157,5252995715,5
1560,998120.4,13.4179,5136613219,5
1590,1010275.9,13.5201,5020230723,5
1620,1022431.5,13.6224,4903848227,5
1650,1034587.1,13.7246,4787465731,5
1680,1046742.7,13.8268,4671083235,5
1710,1058898.3,13.929,4554700739,5
1740,1071053.9,14.0312,4438318243,5
1770,1083209.5,14.1335,4321935747,5
1800,1106947.4,14.345,20208823834,13
1830,1130398.7,14.5504,19974055600,13
1860,1158781.4,14.7631,19739287367,13
1890,1182123.9,14.9825,19504519134,13
1920,1203430.7,15.1799,19269750900,13
1950,1239364.0,15.42,19034982667,13
1980,1266284.1,15.6253,18800214433,13
2010,1289013.7,15.8289,18565446200,13
2040,1309856.0,16.024,18330677967,13
2070,1331587.6,16.2175,18095909733,13
