t_s,isl_feasible,isl_feasible_intra,isl_feasible_inter,isl_dist_min_km,isl_dist_max_km,sats_visible_Tokyo,sats_visible_New-York,sats_visible_Sao-Paulo,sats_visible_Sydney
0,2312,1156,1156,454.7,1315.7,15,15,10,12
30,2312,1156,1156,455.7,1315.7,16,19,11,12
60,2312,1156,1156,459.1,1315.7,13,22,12,13
90,2312,1156,1156,463.9,1315.7,12,22,10,15
120,2312,1156,1156,458.6,1315.7,13,22,10,15
150,2312,1156,1156,455.5,1315.7,14,16,11,12
180,2312,1156,1156,454.8,1315.7,14,16,9,12
210,2312,1156,1156,456.4,1315.7,15,19,11,12
240,2312,1156,1156,460.4,1315.7,13,21,12,13
270,2312,1156,1156,462.2,1315.7,12,21,9,14
300,2312,1156,1156,457.4,1315.7,14,21,11,14
330,2312,1156,1156,455.0,1315.7,14,16,11,13
360,2312,1156,1156,455.0,1315.7,14,16,9,13
390,2312,1156,1156,457.3,1315.7,15,19,11,12
420,2312,1156,1156,462.0,1315.7,13,21,12,13
450,2312,1156,1156,460.6,1315.7,14,21,9,14
480,2312,1156,1156,456.5,1315.7,15,21,11,14
510,2312,1156,1156,454.8,1315.7,13,17,11,14
540,2312,1156,1156,455.4,1315.7,14,16,10,13
570,2312,1156,1156,458.4,1315.7,14,19,11,12
600,2312,1156,1156,463.7,1315.7,13,19,12,13
630,2312,1156,1156,459.2,1315.7,14,21,11,14
660,2312,1156,1156,455.8,1315.7,15,21,11,14
690,2312,1156,1156,454.7,1315.7,14,17,12,14
720,2312,1156,1156,456.0,1315.7,14,17,10,13
750,2312,1156,1156,459.7,1315.7,15,19,10,12
780,2312,1156,1156,463.0,1315.7,14,19,12,13
810,2312,1156,1156,458.0,1315.7,14,21,11,12
840,2312,1156,1156,455.2,1315.7,15,22,11,14
870,2312,1156,1156,454.9,1315.7,14,17,12,15
900,2312,1156,1156,456.8,1315.7,13,17,10,13
930,2312,1156,1156,461.2,1315.7,15,19,10,12
960,2312,1156,1156,461.4,1315.7,14,18,11,12
990,2312,1156,1156,457.0,1315.7,14,21,11,12
1020,2312,1156,1156,454.9,1315.7,15,23,11,15
1050,2312,1156,1156,455.2,1315.7,14,17,11,15
1080,2312,1156,1156,457.8,1315.7,13,17,10,13
1110,2312,1156,1156,462.8,1315.7,14,18,10,11
1140,2312,1156,1156,459.9,1315.7,13,17,11,12
1170,2312,1156,1156,456.1,1315.7,15,20,11,12
1200,2312,1156,1156,454.7,1315.7,14,22,11,13
1230,2312,1156,1156,455.7,1315.7,13,17,12,14
1260,2312,1156,1156,459.0,1315.7,13,17,10,12
1290,2312,1156,1156,464.0,1315.7,16,18,10,12
1320,2312,1156,1156,458.6,1315.7,15,17,12,12
1350,2312,1156,1156,455.5,1315.7,16,20,11,12
1380,2312,1156,1156,454.8,1315.7,12,21,11,14
1410,2312,1156,1156,456.4,1315.7,13,18,12,14
1440,2312,1156,1156,460.4,1315.7,13,17,11,12
1470,2312,1156,1156,462.2,1315.7,16,17,10,13
1500,2312,1156,1156,457.5,1315.7,15,17,11,12
1530,2312,1156,1156,455.1,1315.7,16,21,11,14
1560,2312,1156,1156,455.0,1315.7,12,21,9,14
1590,2312,1156,1156,457.3,1315.7,13,19,12,13
1620,2312,1156,1156,461.9,1315.7,13,18,11,13
1650,2312,1156,1156,460.6,1315.7,16,16,9,13
1680,2312,1156,1156,456.5,1315.7,15,17,11,12
1710,2312,1156,1156,454.8,1315.7,16,20,11,14
1740,2312,1156,1156,455.4,1315.7,12,21,9,15
1770,2312,1156,1156,458.4,1315.7,13,19,12,12
1800,2312,1156,1156,463.7,1315.7,13,19,11,13
