t_s,kid,path_id,share,hops,delay_s,n_paths
0,0,0,1.0,5,0.017113,1
0,1,0,1.0,3,0.011364,1
0,2,0,1.0,12,0.050534,1
0,3,0,1.0,5,0.019939,1
0,4,0,1.0,3,0.013186,1
0,5,0,1.0,10,0.030768,1
0,6,0,1.0,1,0.002466,1
0,7,0,1.0,3,0.011267,1
150,0,0,1.0,5,0.01999,1
150,1,0,1.0,2,0.00744,1
150,2,0,1.0,11,0.046153,1
150,3,0,1.0,5,0.017432,1
150,4,0,1.0,3,0.010805,1
150,5,0,1.0,10,0.032903,1
150,6,0,1.0,1,0.003773,1
150,7,0,1.0,2,0.007712,1
300,0,0,1.0,6,0.023736,1
300,1,0,1.0,1,0.003605,1
300,2,0,1.0,10,0.041863,1
300,3,0,1.0,4,0.013519,1
300,4,0,1.0,1,0.004635,1
300,5,0,1.0,11,0.036349,1
300,6,0,1.0,2,0.007548,1
300,7,0,1.0,2,0.006958,1
450,0,0,1.0,7,0.027545,1
450,1,0,1.0,1,0.002199,1
450,2,0,1.0,9,0.037676,1
450,3,0,1.0,3,0.0109,1
450,4,0,1.0,2,0.00693,1
450,5,0,1.0,12,0.039491,1
450,6,0,1.0,3,0.011389,1
450,7,0,1.0,3,0.011255,1
600,0,0,1.0,8,0.031437,1
600,1,0,1.0,1,0.004529,1
600,2,0,1.0,8,0.033596,1
600,3,0,1.0,4,0.014965,1
600,4,0,1.0,3,0.01052,1
600,5,0,1.0,13,0.043268,1
600,6,0,1.0,4,0.015334,1
600,7,0,1.0,3,0.013178,1
750,0,0,1.0,9,0.035431,1
750,1,0,1.0,2,0.008261,1
750,2,0,1.0,8,0.032317,1
750,3,0,1.0,6,0.020629,1
750,4,0,1.0,4,0.013935,1
750,5,0,1.0,14,0.047079,1
750,6,0,1.0,5,0.019435,1
750,7,0,1.0,4,0.017076,1
900,0,0,1.0,10,0.039543,1
900,1,0,1.0,3,0.01203,1
900,2,0,1.0,9,0.034073,1
900,3,0,1.0,7,0.024668,1
900,4,0,1.0,5,0.017489,1
900,5,0,1.0,15,0.050988,1
900,6,0,1.0,5,0.021523,1
900,7,0,1.0,5,0.021052,1
1050,0,0,1.0,11,0.043777,1
1050,1,0,1.0,4,0.01586,1
1050,2,0,0.904474,10,0.055451,2
1050,2,1,0.095526,10,0.055451,2
1050,3,0,1.0,6,0.023326,1
1050,4,0,1.0,5,0.020058,1
1050,5,0,1.0,15,0.054129,1
1050,6,0,1.0,6,0.025258,1
1050,7,0,1.0,6,0.02512,1
1200,0,0,1.0,12,0.048126,1
1200,1,0,1.0,5,0.019785,1
1200,2,0,0.904474,11,0.058313,2
1200,2,1,0.095526,11,0.058313,2
1200,3,0,1.0,6,0.020544,1
1200,4,0,1.0,6,0.023784,1
1200,5,0,1.0,16,0.057827,1
1200,6,0,1.0,7,0.029034,1
1200,7,0,1.0,7,0.029156,1
1350,0,0,1.0,12,0.049998,1
1350,1,0,1.0,6,0.023855,1
1350,2,0,1.0,11,0.038978,1
1350,3,0,1.0,5,0.017045,1
1350,4,0,1.0,7,0.027476,1
1350,5,0,1.0,17,0.061217,1
1350,6,0,1.0,8,0.032875,1
1350,7,0,1.0,8,0.033274,1
1500,1,0,0.904474,9,0.060835,2
1500,1,1,0.095526,6,0.060835,2
1500,2,0,1.0,12,0.040844,1
1500,4,0,1.0,8,0.031307,1
1500,5,0,1.0,18,0.064978,1
1500,6,0,1.0,9,0.036822,1
1500,7,0,1.0,9,0.037487,1
1650,1,0,1.0,7,0.030018,1
1650,2,0,0.62451,13,0.057924,2
1650,2,1,0.37549,13,0.057924,2
1650,4,0,1.0,9,0.035206,1
1650,5,0,1.0,19,0.068805,1
1650,6,0,1.0,10,0.040928,1
1650,7,0,1.0,10,0.041803,1
1800,1,0,1.0,8,0.033839,1
1800,4,0,1.0,9,0.038828,1
1800,5,0,1.0,20,0.072679,1
1800,6,0,1.0,10,0.04316,1
1800,7,0,1.0,10,0.042238,1
1800,8,0,1.0,5,0.016351,1
1800,9,0,0.595526,3,0.083039,2
1800,9,1,0.404474,5,0.083039,2
1800,10,0,1.0,13,0.054772,1
1800,11,0,1.0,7,0.02721,1
1800,12,0,1.0,3,0.012521,1
1800,13,0,1.0,9,0.030277,1
1800,14,0,1.0,1,0.002143,1
1800,15,0,1.0,3,0.011823,1
1800,1,0,1.0,9,0.037601,1
1800,4,0,1.0,10,0.039984,1
1800,5,0,1.0,20,0.0746,1
1800,6,0,1.0,12,0.048633,1
1800,7,0,1.0,10,0.043533,1
1800,8,0,1.0,5,0.019605,1
1800,9,0,1.0,5,0.020081,1
1800,10,0,1.0,14,0.056683,1
1800,11,0,0.808949,7,0.123122,2
1800,11,1,0.191051,7,0.123122,2
1800,12,0,1.0,3,0.012799,1
1800,13,0,1.0,11,0.039424,1
1800,14,0,1.0,1,0.002184,1
1800,15,0,1.0,3,0.012194,1
1950,1,0,1.0,9,0.037731,1
1950,4,0,1.0,10,0.041652,1
1950,5,0,0.808949,22,0.141382,2
1950,5,1,0.191051,20,0.141382,2
1950,6,0,1.0,11,0.046918,1
1950,7,0,1.0,11,0.046211,1
1950,8,0,1.0,4,0.01523,1
1950,9,0,1.0,2,0.008613,1
1950,10,0,1.0,12,0.051149,1
1950,11,0,1.0,8,0.031283,1
1950,12,0,1.0,4,0.016501,1
1950,13,0,0.904474,10,0.035957,2
1950,13,1,0.095526,10,0.035957,2
1950,14,0,1.0,1,0.003824,1
1950,15,0,1.0,2,0.008352,1
2100,1,0,1.0,10,0.041727,1
2100,4,0,1.0,11,0.045403,1
2100,5,0,0.904474,22,0.16696,2
2100,5,1,0.095526,21,0.16696,2
2100,6,0,1.0,12,0.050722,1
2100,7,0,1.0,12,0.050366,1
2100,8,0,1.0,5,0.019581,1
2100,9,0,1.0,1,0.004798,1
2100,10,0,1.0,11,0.047487,1
2100,11,0,1.0,9,0.035327,1
2100,12,0,1.0,5,0.020578,1
2100,13,0,1.0,11,0.066408,1
2100,14,0,1.0,2,0.007627,1
2100,15,0,1.0,2,0.006379,1
2250,1,0,1.0,11,0.045862,1
2250,4,0,1.0,12,0.049198,1
2250,5,0,1.0,22,0.08305,1
2250,6,0,1.0,13,0.054595,1
2250,8,0,1.0,6,0.024018,1
2250,9,0,1.0,1,0.002481,1
2250,10,0,1.0,11,0.043904,1
