t_s,level,iter,n_active,n_vars,n_rows,status,objective,wall_s
0,depth,0,8,3969,4624,optimal,9.84550389640081,0.8601068750140257
0,route,,8,727,3041,optimal,2638801274.7338414,0.00726075004786253
0,depth,1,8,3969,4624,optimal,9.84550389640081,0.859302208002191
150,depth,0,8,1345,4574,optimal,9.365922624191077,0.022926332952920347
150,route,,8,749,3392,optimal,2873910207.148574,0.008213792054448277
150,depth,1,8,1345,4578,optimal,9.367663807784865,0.020850959001109004
300,depth,0,8,1345,4884,optimal,8.771365077777308,0.021459790994413197
300,route,,8,783,3861,optimal,3225216795.3548107,0.008338749990798533
300,depth,1,8,1345,4908,optimal,8.775441925351515,0.02064899995457381
450,depth,0,8,1345,5234,optimal,8.291978135491567,0.022244166990276426
450,route,,8,815,4409,optimal,3645429747.248991,0.011429207981564105
450,depth,1,8,1345,5309,optimal,8.292610109875302,0.02289120899513364
600,depth,0,8,1345,5600,optimal,7.738196269805395,0.023551125021185726
600,route,,8,833,4918,optimal,3963937686.722509,0.010031374986283481
600,depth,1,8,1345,5709,optimal,7.738855507369599,0.021646917040925473
750,depth,0,8,1345,5970,optimal,7.233289545100512,0.027143459010403603
750,route,,8,795,5111,optimal,4035374050.0196414,0.011848541966173798
750,depth,1,8,1345,6079,optimal,7.233948782664716,0.028061292017810047
900,depth,0,8,1345,6333,optimal,6.905100969123635,0.023145665996707976
900,route,,8,753,5282,optimal,4089692636.636413,0.014064999995753169
900,depth,1,8,1345,6442,optimal,6.905760206687838,0.021983582992106676
1050,depth,0,8,1345,6683,optimal,6.597331051384764,0.022690916957799345
1050,route,,8,706,5379,optimal,4106665115.0752363,0.009994500025641173
1050,depth,1,8,1345,6788,optimal,6.597898906384165,0.022390833008103073
1200,depth,0,8,1345,7026,optimal,6.361505485341385,0.02377633296418935
1200,route,,8,654,5461,optimal,4078276690.2226253,0.010480666998773813
1200,depth,1,8,1345,7111,optimal,6.361767167755751,0.024448458047118038
1350,depth,0,8,1345,7370,optimal,6.15766398540222,0.027437750017270446
1350,route,,8,594,5386,optimal,4005077879.81917,0.01045608299318701
1350,depth,1,8,1345,7447,optimal,6.1576581463319915,0.03627291601151228
1500,depth,0,6,1009,5806,optimal,5.97658327652761,0.02421937498729676
1500,route,,6,541,5324,optimal,3902613203.540278,0.01382512500276789
1500,depth,1,6,1009,5861,optimal,5.9765579918121565,0.018717417027801275
1650,depth,0,6,1009,6004,optimal,5.85030734875445,0.019385749998036772
1650,route,,6,506,5304,optimal,3846800848.086748,0.009031000023242086
1650,depth,1,6,1009,6062,optimal,5.8502745610660964,0.018242084013763815
1800,depth,0,13,4809,9392,optimal,8.912290038427564,1.6401092080050148
1800,route,,13,1255,8027,optimal,95408752355.93187,0.016639041947200894
1800,depth,1,13,4809,10179,optimal,8.932873050592748,1.963949208962731
1800,route,,13,1260,8272,optimal,7368464945.8300295,0.01709329098230228
1800,depth,2,13,4809,10374,optimal,8.933018710557468,1.9512667499948293
1950,depth,0,13,2185,9419,optimal,8.775187810665933,0.045345666992943734
1950,route,,13,1237,8307,optimal,96677963003.51358,0.02048887498676777
1950,depth,1,13,2185,10348,optimal,8.790304301054757,0.04521166696213186
2100,depth,0,13,2185,9797,optimal,8.479993332943929,0.04193645901978016
2100,route,,13,1230,8636,optimal,96981229878.4478,0.019328499969560653
2100,depth,1,13,2185,10713,optimal,8.493023624042396,0.04736129200318828
2250,depth,0,12,2017,9344,optimal,8.047312175167882,0.041831874987110496
2250,route,,12,1219,8924,optimal,75025182385.48833,0.02286770800128579
2250,depth,1,12,2017,10273,optimal,8.064006707968293,0.03883362503256649
2400,depth,0,11,1849,8750,optimal,7.624471567262966,0.033041250018868595
2400,route,,11,1207,9318,optimal,52848762037.41488,0.018613125022966415
2400,depth,1,11,1849,9604,optimal,7.643728709133325,0.03469066595425829
2550,depth,0,11,1849,9100,optimal,7.218538346018795,0.03858312504598871
2550,route,,11,1192,9586,optimal,30409226554.803116,0.023959499958436936
2550,depth,1,11,1849,9815,optimal,7.233137057430367,0.034920333011541516
2700,depth,0,11,1849,9358,optimal,6.917898117344777,0.03385133302072063
2700,route,,11,1165,9703,optimal,7985929834.958137,0.018726915994193405
2700,depth,1,11,1849,10002,optimal,6.930191838108212,0.0346083749900572
2850,depth,0,11,1849,9568,optimal,6.653411334911513,0.034534917038399726
2850,route,,11,1136,9695,optimal,7690066136.212992,0.02037725003901869
2850,depth,1,11,1849,10125,optimal,6.665991680295773,0.038622291991487145
