t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
0,0,8,3969,4624,optimal,9.84550389640081,0.8476300839683972
0,1,8,3969,4834,optimal,9.873116234659596,1.107052208040841
0,2,8,3969,4848,optimal,9.873121234128906,1.2426065829931758
150,0,8,1345,4574,optimal,9.365922624191077,0.02060233399970457
150,1,8,1345,4801,optimal,9.375108862211517,0.020198874990455806
150,2,8,1345,4816,optimal,9.375113861680825,0.028178875043522567
300,0,8,1345,4884,optimal,8.771365077777308,0.025283124996349216
300,1,8,1345,5136,optimal,8.775691426968974,0.023285250004846603
300,2,8,1345,5141,optimal,8.775696374055764,0.040396584023255855
450,0,8,1345,5234,optimal,8.291978135491567,0.02071750001050532
450,1,8,1345,5513,optimal,8.293790783403601,0.021465249999891967
450,2,8,1345,5495,optimal,8.293792226756608,0.024798667000140995
600,0,8,1345,5600,optimal,7.738196269805395,0.03603033296531066
600,1,8,1345,5868,optimal,7.738858559420611,0.021498374990187585
600,2,8,1345,5849,optimal,7.738860002773617,0.022429000004194677
750,0,8,1345,5970,optimal,7.233289545100512,0.027126541011966765
750,1,8,1345,6240,optimal,7.233951834715728,0.023051124997437
750,2,8,1345,6204,optimal,7.233953278068733,0.023859500011894852
900,0,8,1345,6333,optimal,6.912157579069514,0.022961291018873453
900,1,8,1345,6609,optimal,6.912819868684729,0.022290874971076846
900,2,8,1345,6570,optimal,6.9128284643878155,0.0229019169928506
1050,0,8,1345,6683,optimal,6.597331051384764,0.024487583024892956
1050,1,8,1345,6962,optimal,6.597901689601231,0.022995917010121047
1050,2,8,1345,6920,optimal,6.59791025311741,0.023856499989051372
1200,0,8,1345,7026,optimal,6.361505485341385,0.022796374978497624
1200,1,8,1345,7306,optimal,6.361769950972817,0.02354829100659117
1200,2,8,1345,7245,optimal,6.361776037665658,0.023648458998650312
1350,0,8,1345,7370,optimal,6.15766398540222,0.030284915992524475
1350,1,8,1345,7634,optimal,6.157694031799754,0.02462924999417737
1350,2,8,1345,7553,optimal,6.157700118492594,0.025559500034432858
1500,0,5,841,4937,optimal,5.968234054518299,0.015416292008012533
1500,1,5,841,5120,optimal,5.968248989554754,0.01817816699622199
1500,2,5,841,5190,optimal,5.968245401251544,0.015483083028811961
1650,0,5,841,5091,optimal,5.8491667717506255,0.016855333000421524
1650,1,5,841,5259,optimal,5.84918170678708,0.017876916972454637
1650,2,5,841,5315,optimal,5.84917811848387,0.01653816702309996
1800,0,13,4809,9392,optimal,8.912290038427564,1.6877418749500066
1800,1,13,4809,9563,optimal,8.96280791984384,1.1654610419645905
1800,2,13,4809,10253,optimal,9.028873116584682,1.213078166008927
1950,0,13,2185,9419,optimal,8.701189228274133,0.042723125021439046
1950,1,13,2185,9567,optimal,8.775586728050738,0.039816125005017966
1950,2,13,2185,10289,optimal,8.913925275445242,0.04006312502315268
2100,0,13,2185,9797,optimal,8.398081427930583,0.040305082977283746
2100,1,13,2185,9900,optimal,8.488379199670652,0.04570379195502028
2100,2,13,2185,10679,optimal,8.612281137097558,0.04061712499242276
2250,0,12,2017,9344,optimal,7.97035104919125,0.03759750002063811
2250,1,12,2017,9434,optimal,8.19176285335783,0.037714417034294456
2250,2,12,2017,10057,optimal,8.311136686012853,0.04172058298718184
2400,0,11,1849,8750,optimal,7.535548070351568,0.033075249986723065
2400,1,11,1849,8848,optimal,7.7638856355346055,0.03263808402698487
2400,2,11,1849,9350,optimal,8.064805934604381,0.03288433299167082
2550,0,11,1849,9100,optimal,7.0737792243645154,0.03788229200290516
2550,1,11,1849,9177,optimal,7.377457637263348,0.03352762496797368
2550,2,11,1849,9626,optimal,7.645994350011586,0.03464241698384285
2700,0,11,1849,9358,optimal,6.710157837633935,0.03249020897783339
2700,1,11,1849,9425,optimal,7.060550047934837,0.037121042027138174
2700,2,11,1849,9832,optimal,7.3014695117862365,0.03362475003814325
2850,0,11,1849,9568,optimal,6.43276863057996,0.03463775001000613
2850,1,11,1849,9591,optimal,6.81368585977434,0.03396287502255291
2850,2,11,1849,9983,optimal,7.027360322771403,0.03690262499731034
