t_s,level,n_active,n_vars,n_rows,status,objective,wall_s
0,lo,8,1345,1243,optimal,3.611370293463683,0.05501758400350809
150,lo,8,1121,1249,optimal,3.6777631094202956,0.014757541997823864
300,lo,8,1121,1322,optimal,3.2441554719928565,0.016019333968870342
450,lo,8,1121,1427,optimal,2.911224119156308,0.014121250016614795
600,lo,8,1121,1602,optimal,14.555489143050568,0.5591180410119705
750,lo,8,449,1598,optimal,13.271580086657682,0.008414999989327043
900,lo,8,449,1660,optimal,12.125227622865062,0.00897683302173391
1050,lo,8,449,1757,optimal,11.134219948190221,0.008321208006236702
1200,lo,8,449,1862,optimal,4.029785239973964,0.007785666035488248
1350,lo,8,449,1986,optimal,3.7171626605789143,0.012284957978408784
1500,lo,8,449,2120,optimal,3.2451250720600067,0.008368334034457803
1650,lo,8,449,2266,optimal,2.9469269055400513,0.008576916996389627
1800,lo,16,1793,3555,optimal,8.12214728912964,0.27522299997508526
1950,lo,16,1233,3582,optimal,5.127877891217637,0.025477666989900172
2100,lo,16,1233,3797,optimal,4.067334525771358,0.023571916972287
2250,lo,15,1177,3666,optimal,3.718266515935552,0.023902625020127743
2400,lo,15,1177,3985,optimal,11.404465066484184,0.1423741250182502
2550,lo,15,841,4153,optimal,9.242429222945963,0.02099358302075416
2700,lo,15,841,4243,optimal,7.152903081009139,0.017080457997508347
2850,lo,15,841,4359,optimal,5.4379979824467,0.01783475000411272
3000,lo,14,785,4092,optimal,9.53938917796748,0.015991583990398794
3150,lo,13,729,3906,optimal,8.599457860524916,0.01461154205026105
3300,lo,13,729,3944,optimal,8.06554633517775,0.015835208003409207
3450,lo,10,561,2966,optimal,7.1109806858700795,0.012045874958857894
3600,lo,17,1849,3816,optimal,8.764360828078413,0.24288149998756126
3750,lo,17,1289,3913,optimal,7.387756878785376,0.02413850004086271
3900,lo,17,1289,4054,optimal,6.069314505872366,0.024147166986949742
4050,lo,17,1289,4223,optimal,4.795453090469042,0.031188625027425587
4200,lo,16,1233,4305,optimal,13.290859011330749,0.1235324579756707
4350,lo,16,897,4397,optimal,11.557548501050743,0.017707375052850693
4500,lo,16,897,4502,optimal,9.77421804107012,0.017028333037160337
4650,lo,16,897,4642,optimal,8.507654701716586,0.017244417045731097
4800,lo,16,897,4793,optimal,7.53334163189077,0.01814020803431049
4950,lo,16,897,4870,optimal,6.815810763425002,0.017921999969985336
5100,lo,15,841,4553,optimal,6.714074844703249,0.018159583036322147
5250,lo,15,841,4542,optimal,6.002946163159491,0.02137962495908141
5400,lo,20,2017,4778,optimal,9.48406421166471,0.2258949169772677
5550,lo,20,1457,4733,optimal,7.991486743678373,0.027234582987148315
5700,lo,20,1457,4758,optimal,6.817571061985852,0.0275898749823682
5850,lo,20,1457,4729,optimal,5.926385710972955,0.028744167007971555
6000,lo,17,1289,4096,optimal,7.218791453713527,0.025287833996117115
6150,lo,17,1289,4203,optimal,4.964114720171293,0.025969958980567753
6300,lo,17,1289,4266,optimal,4.048511831606758,0.027323457994498312
6450,lo,16,1233,4116,optimal,3.3464581513368232,0.02755120798246935
6600,lo,15,1177,4115,optimal,16.8660354034648,0.14816316700307652
6750,lo,14,785,3740,optimal,16.364029170288145,0.016228290973231196
6900,lo,14,785,3760,optimal,11.604058098537164,0.015646666986867785
7050,lo,14,785,3814,optimal,10.710308918793599,0.015530915989074856
7200,lo,20,2017,4522,optimal,7.516677781960777,0.17268641601549461
7350,lo,20,1569,4547,optimal,6.739179332466503,0.02706225001020357
7500,lo,20,1569,4513,optimal,5.540050597458871,0.02679229201748967
7650,lo,20,1569,4594,optimal,4.870712555314934,0.03253179200692102
7800,lo,17,1401,4467,optimal,18.08505230946598,0.24134758301079273
7950,lo,17,953,4523,optimal,17.115074529594217,0.017850417003501207
8100,lo,17,953,4583,optimal,14.452954483765591,0.017899249971378595
8250,lo,17,953,4539,optimal,12.224211639857714,0.0179551659966819
8400,lo,16,897,4338,optimal,11.26550478076994,0.017261166009120643
8550,lo,15,841,4119,optimal,8.770486322853378,0.0165971249807626
8700,lo,14,785,3906,optimal,6.474098783231191,0.01584458298748359
8850,lo,13,729,3649,optimal,5.441187746129194,0.018078916997183114
9000,lo,18,1905,4216,optimal,10.358601577625649,0.1915886250208132
9150,lo,18,1345,4277,optimal,9.20416199586038,0.02516333298990503
9300,lo,17,1289,4197,optimal,7.672137912322235,0.02599362505134195
9450,lo,16,1233,4092,optimal,6.406235038423924,0.02296583296265453
9600,lo,15,1177,3837,optimal,9.825650418369305,0.13019683299353346
9750,lo,15,953,3913,optimal,9.35515006938834,0.02166341699194163
9900,lo,15,953,3970,optimal,7.946677112098714,0.02049725002143532
10050,lo,15,953,4024,optimal,7.263768651476481,0.02224062499590218
10200,lo,13,841,3467,optimal,10.491564289065796,0.04169537499547005
10350,lo,13,729,3495,optimal,7.107738018588933,0.013120624993462116
10500,lo,12,673,3157,optimal,5.770756377473187,0.011826000001747161
10650,lo,12,673,3236,optimal,5.057056431854485,0.011898999975528568
10800,lo,19,1961,4052,optimal,5.380285105390578,0.11750629195012152
10950,lo,19,1625,4150,optimal,4.819979604439586,0.0284063330036588
11100,lo,19,1625,4301,optimal,4.49634839361485,0.026759291999042034
11250,lo,19,1625,4525,optimal,3.742208646327255,0.025578541040886194
11400,lo,18,1569,4875,optimal,15.565002752578403,0.20610229100566357
11550,lo,18,1121,5029,optimal,11.330847512911939,0.026668832986615598
11700,lo,18,1121,5155,optimal,9.50298472378415,0.0279762499849312
11850,lo,17,1065,4969,optimal,6.388687197526577,0.02311058301711455
12000,lo,16,1009,4809,optimal,9.379270982903833,0.061369874980300665
12150,lo,16,897,4802,optimal,7.375112400308167,0.018685750022996217
12300,lo,15,841,4335,optimal,6.932858916358975,0.019170874962583184
12450,lo,15,841,4232,optimal,6.284634169852699,0.022070958046242595
12600,lo,21,2073,4812,optimal,4.387179324473893,0.09438529203180224
12750,lo,20,1793,4718,optimal,3.629519508197105,0.029987665999215096
12900,lo,20,1793,4778,optimal,3.1079927016774747,0.030546374968253076
13050,lo,20,1793,4863,optimal,2.822131900841057,0.029542375006712973
13200,lo,17,1625,4662,optimal,8.529232221614235,0.22119079198455438
13350,lo,17,1289,4756,optimal,7.193807747709872,0.026840083010029048
13500,lo,16,1233,4453,optimal,4.753538415977299,0.0280572910560295
13650,lo,15,1177,4287,optimal,3.410981060609923,0.02387545903911814
13800,lo,15,1177,4480,optimal,14.800688525333006,0.23301016597542912
13950,lo,15,841,4525,optimal,12.231977126004612,0.016192208044230938
14100,lo,15,841,4516,optimal,9.53713382937318,0.01612666598521173
14250,lo,14,785,4433,optimal,7.208919582993013,0.014773542003240436
14400,lo,12,673,3870,optimal,5.358998839648102,0.012399540981277823
