t_s,iter,n_active,n_vars,n_rows,status,objective,wall_s
0,0,8,3969,4624,optimal,9.84550389640081,0.9031866249861196
150,0,8,1345,4574,optimal,9.365922624191077,0.02113637502770871
300,0,8,1345,4884,optimal,8.771365077777308,0.026146833028178662
450,0,8,1345,5234,optimal,8.291978135491567,0.02061791595770046
600,0,8,1345,5600,optimal,7.738196269805395,0.020752500044181943
750,0,8,1345,5970,optimal,7.233289545100512,0.02202229097019881
900,0,8,1345,6333,optimal,6.905100969123635,0.025672416028100997
1050,0,8,1345,6683,optimal,6.607035231564857,0.02285429200856015
1200,0,8,1345,7026,optimal,6.387734098184929,0.02290091698523611
1350,0,8,1345,7370,optimal,6.197824852172242,0.02743062499212101
1500,0,6,1009,5806,optimal,6.015977282576855,0.02483679202850908
1650,0,6,1009,6004,optimal,5.889814775198148,0.022275167051702738
1800,0,14,4977,10318,optimal,8.943092761443546,1.7040994580020197
1950,0,14,2353,10356,optimal,8.801163321577418,0.04627041699131951
2100,0,14,2353,10741,optimal,8.534037505162962,0.045099667040631175
2250,0,13,2185,10194,optimal,8.153570990642462,0.054979833017569035
2400,0,12,2017,9583,optimal,7.751774742168865,0.04460179200395942
2550,0,11,1849,9100,optimal,7.373217003119277,0.0518421659944579
2700,0,11,1849,9358,optimal,7.028540252695263,0.03878987499047071
2850,0,11,1849,9568,optimal,6.685262309230886,0.03607774997362867
3000,0,11,1849,9816,optimal,6.430447470632781,0.037314957997296005
3150,0,10,1681,9114,optimal,6.190242209356065,0.034861582971643656
3300,0,10,1681,9270,optimal,5.969741791280544,0.031140125007368624
3450,0,10,1681,9399,optimal,5.789728581616722,0.033410417032428086
3600,0,18,5649,13476,optimal,10.208002235888713,1.1983754999819212
3750,0,18,3025,13497,optimal,9.75570678528022,0.061034916958305985
3900,0,18,3025,13811,optimal,9.21293255427127,0.0584746670210734
4050,0,18,3025,14021,optimal,8.54382152844276,0.05404866597382352
4200,0,18,3025,14239,optimal,8.007779041113361,0.052518707991112024
4350,0,18,3025,14347,optimal,7.57325435378586,0.057652417046483606
4500,0,18,3025,14343,optimal,7.197153123958674,0.05233899998711422
4650,0,18,3025,14287,optimal,6.887638380277398,0.0524052910041064
4800,0,17,2857,13425,optimal,6.596759439438295,0.05589600000530481
4950,0,17,2857,13410,optimal,6.334770882856891,0.056949416000861675
5100,0,17,2857,13378,optimal,6.104958543179545,0.05015862500295043
5250,0,16,2689,12490,optimal,5.850500219030497,0.045327542000450194
5400,0,24,6657,16115,optimal,10.493610155336548,1.8284638749901205
5550,0,24,4033,15913,optimal,10.008956266159885,0.09127762500429526
5700,0,24,4033,16021,optimal,9.315906380434514,0.06912929099053144
5850,0,24,4033,16120,optimal,8.613010778758854,0.06880837504286319
6000,0,24,4033,16153,optimal,7.963229633072038,0.07256308296928182
6150,0,24,4033,16172,optimal,7.433936995995023,0.0678700830321759
6300,0,23,3865,15631,optimal,6.920307562476343,0.06324833398684859
6450,0,22,3697,15347,optimal,6.4965604185343775,0.05994841700885445
6600,0,22,3697,15431,optimal,6.175211891155073,0.0651469579897821
6750,0,21,3529,14450,optimal,5.924994973335134,0.05762041703565046
6900,0,21,3529,14517,optimal,5.716031675642226,0.05580779199954122
7050,0,21,3529,14604,optimal,5.536380494550011,0.05688583402661607
7200,0,29,7497,17912,optimal,10.152922343509765,1.5585753329796717
7350,0,29,4873,17812,optimal,9.565474493499327,0.0842108330107294
7500,0,29,4873,17982,optimal,8.819389968375749,0.09083104197634384
7650,0,27,4537,16705,optimal,8.154025168882857,0.08021074999123812
7800,0,25,4201,15478,optimal,7.626700746467208,0.06702449999283999
7950,0,25,4201,15631,optimal,7.14095632313722,0.06681229203240946
8100,0,24,4033,15368,optimal,6.763203713997443,0.0641364170005545
8250,0,24,4033,15604,optimal,6.477970910165411,0.06591662502614781
8400,0,24,4033,15951,optimal,6.185467459999431,0.06859233300201595
8550,0,24,4033,16281,optimal,5.962986123044576,0.06626549997599795
8700,0,23,3865,15941,optimal,5.772391779475445,0.06397904100595042
8850,0,22,3697,16025,optimal,5.61222078207041,0.06531154096592218
9000,0,30,7665,19841,optimal,10.470260581263053,2.537804541992955
9150,0,30,5041,19895,optimal,9.743495360032542,0.09112962504150346
9300,0,29,4873,19585,optimal,8.916824103919126,0.08249850000720471
