kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,8,0,2978,117850.0,1.0,0.8325,30,1470,1470,-1508,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,43628.07,132.74624
1,8,0,3346,187776.0,1.0,0.555,30,2340,2340,-1006,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,69514.6752,211.510886
2,8,0,2162,117189.0,1.0,0.8325,30,1470,1470,-692,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,43383.3678,132.00169
3,8,0,3557,118835.0,1.0,0.555,30,1470,1470,-2087,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,43992.717,133.855744
4,8,0,3092,247151.0,1.0,0.8325,30,3060,3060,-32,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,91495.3002,278.390886
5,8,0,2030,257213.0,1.0,0.4487,30,3180,3180,1150,0.3667,1,0,0,0.526687,0.052987,0.025,0.908081,0.716011,95220.2526,289.724723
6,8,0,2701,267950.0,1.0,0.5137,30,3330,3330,629,0.1834,1,0,0,0.562402,0.02372,0.025,0.969659,0.819707,99195.09,301.81888
7,8,0,3469,174159.0,1.0,0.2775,30,2160,2160,-1309,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,64473.6618,196.172698
8,8,1800,4324,256314.0,1.0,0.5085,1830,4980,3180,656,0.2033,1,0,0,0.560086,0.026557,0.025,0.965665,0.811481,94887.4428,288.71209
9,8,1800,4398,264553.0,1.0,0.5073,1830,5070,3270,672,0.2097,1,0,0,0.55947,0.027142,0.025,0.964604,0.809567,97937.5206,297.992499
10,8,1800,3765,190092.0,1.0,0.2627,1830,4170,2370,405,0.1687,1,0,0,0.283903,0.008732,0.0125,0.978975,0.838312,70372.0584,214.119629
11,8,1800,3714,210917.0,1.0,0.7384,1830,4410,2610,696,0.2738,1,0,0,0.829047,0.053193,0.0375,0.952928,0.785483,78081.4734,237.576909
12,8,1800,4098,271659.0,1.0,0.7016,1830,5160,3360,1062,0.3199,1,0,0,0.807637,0.068562,0.0375,0.928318,0.746356,100568.1618,305.996698
13,8,1800,4965,226333.0,1.0,0.2775,1830,4620,2820,-345,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,83788.4766,254.941491
14,8,1800,3722,240105.0,1.0,0.4519,1830,4770,2970,1048,0.3668,1,0,0,0.528868,0.052012,0.025,0.911842,0.721047,88886.871,270.454272
15,8,1800,5208,294140.0,1.0,0.5474,1830,5430,3630,222,0.066,1,0,0,0.57673,0.00429,0.025,0.994362,0.873574,108890.628,331.319296
16,8,3600,6768,235584.0,1.0,0.8325,3630,6510,2910,-258,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,87213.1968,265.361818
17,8,3600,6240,138927.0,1.0,0.555,3630,5340,1740,-900,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,51430.7754,156.487373
18,8,3600,6384,199558.0,1.0,0.2775,3630,6090,2490,-294,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,73876.3716,224.782131
19,8,3600,6630,130858.0,1.0,0.8325,3630,5220,1620,-1410,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,48443.6316,147.398451
20,8,3600,6060,284506.0,1.0,0.7097,3630,7140,3540,1080,0.3079,1,0,0,0.812458,0.065217,0.0375,0.93386,0.755043,105324.1212,320.467558
21,8,3600,5986,293502.0,1.0,0.4543,3630,7230,3630,1244,0.3456,1,0,0,0.52995,0.05066,0.025,0.913708,0.724932,108654.4404,330.600653
22,8,3600,5537,281108.0,1.0,0.4074,3630,7080,3480,1543,0.4465,1,0,0,0.499548,0.067117,0.025,0.86129,0.650156,104066.1816,316.640051
23,8,3600,5741,193911.0,1.0,0.8109,3630,6000,2400,259,0.1099,1,0,0,0.860807,0.012431,0.0375,0.989433,0.862634,71785.8522,218.42135
24,8,5400,8436,192588.0,1.0,0.2775,5430,7800,2400,-636,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,71296.0776,216.931123
25,8,5400,7608,195141.0,1.0,0.2727,5430,7830,2430,222,0.0905,1,0,0,0.287917,0.002679,0.0125,0.992819,0.870443,72241.1982,219.806822
26,8,5400,8893,212900.0,1.0,0.8325,5430,8040,2640,-853,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,78815.58,239.81056
27,8,5400,8699,187430.0,1.0,0.2775,5430,7740,2340,-959,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,69386.586,211.121152
28,8,5400,7375,225953.0,1.0,0.7214,5430,8190,2790,815,0.3006,1,0,0,0.819689,0.06082,0.0375,0.942171,0.767413,83647.8006,254.513459
29,8,5400,8698,162473.0,1.0,0.8325,5430,7410,2010,-1288,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,60147.5046,183.009587
30,8,5400,8715,187043.0,1.0,0.8325,5430,7710,2310,-1005,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,69243.3186,210.685235
31,8,5400,7719,177496.0,1.0,0.8325,5430,7620,2220,-99,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,65709.0192,199.931494
32,8,7200,10146,147911.0,1.0,0.8325,7230,9030,1830,-1116,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,54756.6522,166.60695
33,8,7200,9360,127950.0,1.0,0.8325,7230,8790,1590,-570,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,47367.09,144.12288
34,8,7200,10435,260980.0,1.0,0.2775,7230,10440,3240,5,0.0033,1,0,0,0.289996,5e-06,0.0125,0.999985,0.88561,96614.796,293.967872
35,8,7200,10197,257385.0,1.0,0.8236,7230,10380,3180,183,0.0649,1,0,0,0.866078,0.004941,0.0375,0.995492,0.876209,95283.927,289.918464
36,8,7200,9499,194313.0,1.0,0.8283,7230,9600,2400,101,0.0491,1,0,0,0.868048,0.002262,0.0375,0.997757,0.881156,71934.6726,218.874163
37,8,7200,9826,256146.0,1.0,0.5186,7230,10380,3180,554,0.1743,1,0,0,0.564687,0.021086,0.025,0.973599,0.827555,94825.2492,288.522854
38,8,7200,9067,201121.0,1.0,0.4988,7230,9690,2490,623,0.2506,1,0,0,0.555999,0.032226,0.025,0.958619,0.795914,74454.9942,226.542694
39,8,7200,9206,127959.0,1.0,0.2775,7230,8790,1590,-416,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,47370.4218,144.133018
40,8,9000,11978,187923.0,1.0,0.8325,9030,11340,2340,-638,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,69569.0946,211.676467
41,8,9000,11817,194219.0,1.0,0.8325,9030,11400,2400,-417,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,71899.8738,218.768282
42,8,9000,11834,115839.0,1.0,0.8325,9030,10440,1440,-1394,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,42883.5978,130.48105
43,8,9000,11796,226944.0,1.0,0.5549,9030,11820,2820,24,0.0037,1,0,0,0.579953,5e-05,0.025,0.999919,0.885484,84014.6688,255.629722
44,8,9000,12231,118113.0,1.0,0.555,9030,10470,1470,-1761,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,43725.4326,133.042483
45,8,9000,10855,160790.0,1.0,0.5497,9030,11010,2010,155,0.0777,1,0,0,0.577568,0.002913,0.025,0.995807,0.877108,59524.458,181.113856
46,8,9000,12569,169500.0,1.0,0.555,9030,11100,2100,-1469,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,62748.9,190.9248
47,8,9000,11535,142917.0,1.0,0.2775,9030,10770,1770,-765,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,52907.8734,160.981709
48,8,10800,12662,298534.0,1.0,0.5687,10830,14490,3690,1828,0.4951,1,0,0,0.720723,0.114483,0.0375,0.828418,0.605043,110517.2868,336.268698
49,8,10800,12705,146788.0,1.0,0.8325,10830,12630,1830,-75,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,54340.9176,165.342003
50,8,10800,14252,271135.0,1.0,0.2775,10830,14160,3360,-92,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,100374.177,305.406464
51,8,10800,13792,158719.0,1.0,0.555,10830,12780,1980,-1012,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,58757.7738,178.781082
52,8,10800,13509,125256.0,1.0,0.555,10830,12360,1560,-1149,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,46369.7712,141.088358
53,8,10800,13796,256780.0,1.0,0.8241,10830,13980,3180,184,0.0627,1,0,0,0.866291,0.004647,0.0375,0.995737,0.87675,95059.956,289.236992
54,8,10800,13352,181837.0,1.0,0.555,10830,13050,2250,-302,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,67316.0574,204.821197
55,8,10800,12900,262804.0,1.0,0.2259,10830,14070,3270,1170,0.3617,1,0,0,0.26432,0.025903,0.0125,0.911447,0.721009,97290.0408,296.022426
56,8,12600,14591,166858.0,1.0,0.2766,12630,14670,2070,79,0.0384,1,0,0,0.289575,0.000478,0.0125,0.998535,0.882755,61770.8316,187.948851
57,8,12600,15700,118009.0,1.0,0.8325,12630,14070,1470,-1630,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,43686.9318,132.925338
58,8,12600,15691,239354.0,1.0,0.555,12630,15570,2970,-121,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,88608.8508,269.608346
59,8,12600,15302,132254.0,1.0,0.8325,12630,14250,1650,-1052,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,48960.4308,148.970906
