kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,16,0,2978,117850.0,1.0,0.89,30,1470,1470,-1508,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43628.07,265.49248
1,16,0,3346,187776.0,1.0,0.5933,30,2340,2340,-1006,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,69514.6752,423.021773
2,16,0,2162,117189.0,1.0,0.89,30,1680,1680,-482,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43383.3678,264.003379
3,16,0,3557,118835.0,1.0,0.5933,30,1470,1470,-2087,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,43992.717,267.711488
4,16,0,3092,247151.0,1.0,0.89,30,3060,3060,-32,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,91495.3002,556.781773
5,16,0,2030,184765.0,0.7183,0.5302,30,,,,0.0851,1,0,0,0.560336,0.006149,0.023944,0.894153,0.846132,68400.0,416.238574
6,16,0,2701,230956.2,0.8619,0.5695,30,,,,0.0454,1,0,0,0.600455,0.002246,0.028731,0.958173,0.908741,85500.0,520.298217
7,16,0,3469,174159.0,1.0,0.2967,30,2160,2160,-1309,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,64473.6618,392.345395
8,16,1800,4324,218800.6,0.8536,0.5666,1830,,,,0.0569,1,0,0,0.598234,0.003196,0.028455,0.954629,0.904123,81000.0,492.9141
9,16,1800,4398,223662.9,0.8454,0.5664,1830,,,,0.0551,1,0,0,0.597215,0.002667,0.028181,0.953003,0.903778,82800.0,503.867747
10,8,1800,3765,170178.3,0.8952,0.2679,1830,,,,0.0639,1,0,0,0.280385,0.001334,0.011191,0.966844,0.854874,63000.0,191.688817
11,8,1800,3714,170178.3,0.8068,0.7807,1830,,,,0.0807,1,0,0,0.817379,0.006459,0.030257,0.939516,0.830492,63000.0,191.688817
12,16,1800,4098,203744.2,0.75,0.8182,1830,,,,0.0699,1,0,0,0.862386,0.006665,0.0375,0.917432,0.870447,75426.12135,458.995046
13,16,1800,4965,226333.0,1.0,0.2967,1830,4620,2820,-345,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,83788.4766,509.882982
14,8,1800,3722,177471.6,0.7391,0.4979,1830,,,,0.0911,1,0,0,0.523921,0.007495,0.018479,0.903312,0.794596,65700.0,199.904052
15,16,1800,5208,291734.2,0.9918,0.5861,1830,,,,0.0579,1,0,0,0.622449,0.003281,0.033061,0.99327,0.935277,108000.0,657.218801
16,16,3600,6768,235584.0,1.0,0.89,3630,6510,2910,-258,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,87213.1968,530.723635
17,16,3600,6240,138927.0,1.0,0.5933,3630,5340,1740,-900,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,51430.7754,312.974746
18,16,3600,6384,199558.0,1.0,0.2967,3630,6090,2490,-294,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,73876.3716,449.564262
19,16,3600,6630,130858.0,1.0,0.89,3630,5250,1650,-1380,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,48443.6316,294.796902
20,16,3600,6060,213379.5,0.75,0.8248,3630,,,,0.0579,1,0,0,0.866454,0.004194,0.0375,0.92176,0.877404,78993.0909,480.701338
21,16,3600,5986,218800.6,0.7455,0.5346,3630,,,,0.0911,1,0,0,0.567676,0.00824,0.024849,0.905866,0.853063,81000.0,492.9141
22,16,3600,5537,182333.9,0.6486,0.5005,3630,,,,0.0956,1,0,0,0.530729,0.00856,0.021621,0.846908,0.798746,67500.0,410.76175
23,16,3600,5741,184765.0,0.9528,0.8721,3630,,,,0.0627,1,0,0,0.923891,0.004129,0.047642,0.982863,0.927787,68400.0,416.238574
