kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,16,0,2978,117850.0,1.0,0.89,30,1470,1470,-1508,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43628.07,265.49248
1,16,0,3346,187776.0,1.0,0.5933,30,2340,2340,-1006,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,69514.6752,423.021773
2,16,0,2162,117189.0,1.0,0.89,30,1470,1470,-692,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43383.3678,264.003379
3,16,0,3557,118835.0,1.0,0.5933,30,1470,1470,-2087,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,43992.717,267.711488
4,16,0,3092,247151.0,1.0,0.89,30,3060,3060,-32,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,91495.3002,556.781773
5,16,0,2030,175404.3,0.6819,0.5274,30,,,,0.0496,1,0,0,0.552626,0.002451,0.022731,0.881849,0.841666,64934.67238,395.15081
6,16,0,2701,200962.5,0.75,0.5573,30,,,,0.0099,1,0,0,0.582455,0.000161,0.025,0.929449,0.889299,74396.3175,452.72832
7,16,0,3469,174159.0,1.0,0.2967,30,2190,2190,-1279,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,64473.6618,392.345395
8,16,1800,4324,214896.7,0.8384,0.5668,1830,,,,0.0444,1,0,0,0.596609,0.001886,0.027947,0.952036,0.904429,79554.758523,484.119287
9,16,1800,4398,212806.6,0.8044,0.56,1830,,,,0.0604,1,0,0,0.589745,0.002921,0.026813,0.941082,0.893633,78781.00142,479.410697
10,16,1800,3765,162435.1,0.8545,0.2836,1830,,,,0.0701,1,0,0,0.299256,0.001461,0.014242,0.955074,0.90496,60133.487216,365.933874
11,16,1800,3714,158187.7,0.75,0.828,1830,,,,0.0505,1,0,0,0.868551,0.003097,0.0375,0.92399,0.880802,58561.10505,356.365363
12,16,1800,4098,203744.2,0.75,0.8182,1830,,,,0.0699,1,0,0,0.862386,0.006665,0.0375,0.917432,0.870447,75426.12135,458.995046
13,16,1800,4965,203423.7,0.8988,0.2875,1830,,,,0.0353,1,0,0,0.303545,0.00103,0.01498,0.968761,0.917665,75307.444098,458.272853
14,16,1800,3722,175319.4,0.7302,0.53,1830,,,,0.0887,1,0,0,0.56223,0.007854,0.024339,0.897176,0.845804,64903.230859,394.959477
15,16,1800,5208,291734.2,0.9918,0.5861,1830,,,,0.0579,1,0,0,0.622449,0.003281,0.033061,0.99327,0.935277,108000.0,657.218801
16,16,3600,6768,235584.0,1.0,0.89,3630,6660,3060,-108,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,87213.1968,530.723635
17,16,3600,6240,138927.0,1.0,0.5896,3630,6330,2730,90,0.0767,1,0,0,0.624862,0.001921,0.033333,0.99712,0.940863,51430.7754,312.974746
18,8,3600,6384,199558.0,1.0,0.2775,3630,6090,2490,-294,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,73876.3716,224.782131
19,16,3600,6630,130858.0,1.0,0.89,3690,5640,2040,-990,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,48443.6316,294.796902
20,16,3600,6060,213379.5,0.75,0.8248,3630,,,,0.0579,1,0,0,0.866454,0.004194,0.0375,0.92176,0.877404,78993.0909,480.701338
21,16,3600,5986,212248.0,0.7232,0.5249,3690,,,,0.0998,1,0,0,0.557999,0.009027,0.024105,0.890424,0.837553,78574.21875,478.15235
22,16,3600,5537,179902.8,0.64,0.5011,3630,,,,0.0865,1,0,0,0.529594,0.007113,0.021333,0.845097,0.799705,66600.0,405.284927
23,16,3600,5741,184765.0,0.9528,0.8721,3630,,,,0.0639,1,0,0,0.923872,0.004148,0.047642,0.982842,0.927746,68400.0,416.238574
