kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,8,0,2978,117850.0,1.0,0.8325,450,2970,2970,-8,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,43628.07,132.74624
1,8,0,3346,187776.0,1.0,0.555,690,3330,3330,-16,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,69514.6752,211.510886
2,16,0,2162,117189.0,1.0,0.89,60,2190,2190,28,0.0,1,0,0,0.94,0.0,0.05,1.0,0.946808,43383.3678,264.003379
3,4,0,3557,118835.0,1.0,0.4925,1050,3450,3450,-107,0.0,0,0,0,0.513333,0.0,0.020833,1.0,0.785904,43992.717,66.927872
4,8,0,3092,247151.0,1.0,0.8306,630,3150,3150,58,0.0313,1,0,0,0.869115,0.000974,0.0375,0.998983,0.883661,91495.3002,278.390886
5,2,0,2030,182333.9,0.7089,0.3683,1710,,,,0.0756,1,1,0,0.3864,0.004834,0.013292,0.891693,0.587672,67500.0,51.345219
6,8,0,2701,168501.7,0.6289,0.4384,630,,,,0.1848,1,1,0,0.469958,0.015798,0.015721,0.810273,0.699636,62379.338352,189.800342
7,8,0,3469,174159.0,1.0,0.2775,720,3450,3450,-19,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,64473.6618,196.172698
8,8,1800,4324,218800.6,0.8536,0.5291,2460,,,,0.0569,1,1,0,0.553685,0.003196,0.021341,0.954629,0.844385,81000.0,246.45705
9,16,1800,4398,214394.9,0.8104,0.5626,2400,,,,0.0503,1,1,0,0.591583,0.002015,0.027013,0.944015,0.897693,79368.978518,482.988749
10,16,1800,3765,117005.0,0.6155,0.2408,1890,,,,0.1335,1,1,0,0.256669,0.005591,0.010259,0.819155,0.768572,43315.264814,263.588948
11,8,1800,3714,161881.7,0.7675,0.7534,2430,,,,0.1342,1,1,0,0.794646,0.012425,0.028782,0.913386,0.801531,59928.622159,182.343598
12,16,1800,4098,135829.5,0.5,0.6631,1860,,,,0.0931,1,1,0,0.698988,0.010863,0.025,0.743605,0.705452,50284.0809,305.996698
13,8,1800,4965,226333.0,1.0,0.2755,2130,5070,3270,105,0.0771,1,0,0,0.289061,0.001073,0.0125,0.996764,0.879219,83788.4766,254.941491
