kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,8,0,2978,117850.0,1.0,0.8325,450,2970,2970,-8,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,43628.07,132.74624
1,8,0,3346,187776.0,1.0,0.555,690,3330,3330,-16,0.0,0,0,0,0.58,0.0,0.025,1.0,0.885638,69514.6752,211.510886
2,16,0,2162,117189.0,1.0,0.89,60,2160,2160,-2,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43383.3678,264.003379
3,4,0,3557,118835.0,1.0,0.4925,1140,3540,3540,-17,0.0,0,0,0,0.513333,0.0,0.020833,1.0,0.785904,43992.717,66.927872
4,8,0,3092,247151.0,1.0,0.8325,630,3090,3090,-2,0.0,0,0,0,0.87,0.0,0.0375,1.0,0.885638,91495.3002,278.390886
5,2,0,2030,182333.9,0.7089,0.3683,1800,,,,0.0756,1,1,0,0.3864,0.004834,0.013292,0.891693,0.587672,67500.0,51.345219
6,8,0,2701,230956.2,0.8619,0.5319,630,,,,0.0454,1,1,0,0.555741,0.002245,0.021548,0.958174,0.848853,85500.0,260.149109
7,8,0,3469,174159.0,1.0,0.2775,720,3450,3450,-19,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,64473.6618,196.172698
8,8,1800,4324,209243.7,0.8164,0.525,2460,,,,0.0565,1,1,0,0.547982,0.002603,0.020409,0.944796,0.837717,77462.002841,235.692058
9,4,1800,4398,218800.6,0.8271,0.4692,3180,,,,0.0368,1,1,0,0.487588,0.001165,0.01723,0.949847,0.748712,81000.0,123.228525
10,16,1800,3765,115629.0,0.6083,0.2385,1890,,,,0.1401,1,1,0,0.254489,0.00584,0.010138,0.8122,0.761206,42805.85488,260.489006
11,16,1800,3714,105458.5,0.5,0.6202,1830,,,,0.1139,1,1,0,0.667455,0.022219,0.025,0.710058,0.659825,39040.7367,237.576909
12,4,1800,4098,203744.2,0.75,0.6763,3240,,,,0.0699,1,1,0,0.706423,0.006665,0.023437,0.917432,0.71949,75426.12135,114.748762
13,8,1800,4965,226333.0,1.0,0.2775,2160,4950,3150,-15,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,83788.4766,254.941491
