kid,depth,arrival_s,deadline_s,delivered_images,delivery_fraction,utility,first_delivery_s,completion_s,completion_delay_s,lateness_s,late_image_fraction,deadline_violated,dropped,rejected,u_quality,u_tardiness,u_cost,u_coverage_gain,u_norm,enc_energy_j,tx_energy_j
0,16,0,2978,117850.0,1.0,0.89,30,1470,1470,-1508,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43628.07,265.49248
1,16,0,3346,187776.0,1.0,0.5933,30,2340,2340,-1006,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,69514.6752,423.021773
2,16,0,2162,117189.0,1.0,0.89,30,2160,2160,-2,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,43383.3678,264.003379
3,16,0,3557,118835.0,1.0,0.5933,30,1470,1470,-2087,0.0,0,0,0,0.626667,0.0,0.033333,1.0,0.946809,43992.717,267.711488
4,16,0,3092,247151.0,1.0,0.89,30,3060,3060,-32,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,91495.3002,556.781773
5,16,0,2030,184765.0,0.7183,0.5302,30,,,,0.0851,1,0,0,0.560339,0.006147,0.023944,0.894157,0.846138,68400.0,416.238574
6,16,0,2701,213053.5,0.7951,0.5642,30,,,,0.0,1,0,0,0.590718,0.0,0.026504,0.942635,0.900341,78872.40767,479.966937
7,16,0,3469,174159.0,1.0,0.2967,30,2460,2460,-1009,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,64473.6618,392.345395
8,16,1800,4324,211195.6,0.824,0.5667,1830,,,,0.0272,1,0,0,0.594995,0.000828,0.027466,0.949461,0.904311,78184.62358,475.781524
9,16,1800,4398,205992.4,0.7786,0.5555,1830,,,,0.0604,1,0,0,0.584408,0.002921,0.025955,0.932566,0.886487,76258.380682,464.059643
10,8,1800,3765,162884.9,0.8569,0.2671,1830,,,,0.0408,1,0,0,0.278122,0.000277,0.010711,0.959042,0.852555,60300.0,183.473582
11,8,1800,3714,170178.3,0.8068,0.7807,1830,,,,0.0807,1,0,0,0.817379,0.006459,0.030257,0.939516,0.830492,63000.0,191.688817
12,16,1800,4098,203744.2,0.75,0.8182,1830,,,,0.0699,1,0,0,0.862386,0.006665,0.0375,0.917432,0.870448,75426.12135,458.995046
13,8,1800,4965,226333.0,1.0,0.2775,1830,4680,2880,-285,0.0,0,0,0,0.29,0.0,0.0125,1.0,0.885638,83788.4766,254.941491
14,8,1800,3722,177471.6,0.7391,0.4979,1830,,,,0.0931,1,0,0,0.523861,0.007525,0.018479,0.903208,0.794452,65700.0,199.904052
15,16,1800,5208,291345.5,0.9905,0.5855,1830,,,,0.0623,1,0,0,0.622021,0.003513,0.033017,0.992586,0.934294,107856.120907,656.343245
16,16,3600,6768,235584.0,1.0,0.89,3630,6660,3060,-108,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,87213.1968,530.723635
17,16,3600,6240,138927.0,1.0,0.5933,3630,6240,2640,0,0.0192,0,0,0,0.626666,1e-06,0.033333,0.999999,0.946806,51430.7754,312.974746
18,16,3600,6384,199558.0,1.0,0.2967,3630,6360,2760,-24,0.0,0,0,0,0.313333,0.0,0.016667,1.0,0.946809,73876.3716,449.564262
19,16,3600,6630,130858.0,1.0,0.89,3630,5220,1620,-1410,0.0,0,0,0,0.94,0.0,0.05,1.0,0.946809,48443.6316,294.796902
20,16,3600,6060,213379.5,0.75,0.8247,3630,,,,0.0595,1,0,0,0.86641,0.004215,0.0375,0.921713,0.877336,78993.0909,480.701338
21,16,3600,5986,216892.7,0.739,0.5303,3630,,,,0.0998,1,0,0,0.563949,0.009027,0.024633,0.899919,0.846206,80293.678977,488.615883
22,16,3600,5537,182333.9,0.6486,0.5006,3630,,,,0.0951,1,0,0,0.53074,0.008555,0.021621,0.846925,0.798773,67500.0,410.76175
23,16,3600,5741,184765.0,0.9528,0.872,3630,,,,0.0651,1,0,0,0.923824,0.004197,0.047642,0.982792,0.927644,68400.0,416.238574
