t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1797,16543144538,8,0
30,38897.9,0.3594,16324071605,8,0
60,58346.8,0.5391,16104998671,8,0
90,77795.8,0.7189,15885925738,8,0
120,97244.7,0.8986,15666852804,8,0
150,116693.7,1.0783,15447779871,8,0
180,136142.6,1.258,15228706937,8,0
210,155591.6,1.4377,15009634004,8,0
240,175040.5,1.6174,14790561070,8,0
270,194489.5,1.7972,14571488137,8,0
300,213938.4,1.9769,14352415203,8,0
330,233387.4,2.1566,14133342269,8,0
360,252836.3,2.2962,13914269336,8,0
390,272285.3,2.4304,13695196402,8,0
420,291734.2,2.5646,13476123469,8,0
450,311183.1,2.6988,13257050535,8,0
480,330632.1,2.833,13037977602,8,0
510,350081.0,2.9669,12818904668,8,0
540,369530.0,3.0972,12599831735,8,0
570,388978.9,3.2227,12380758801,8,0
600,408427.9,3.3459,12161685867,8,0
630,427876.8,3.4691,11942612934,8,0
660,447325.8,3.5923,11723540000,8,0
690,466774.7,3.7156,11504467067,8,0
720,486223.7,3.8183,11285394133,8,0
750,505672.6,3.9098,11066321200,8,0
780,525121.6,3.9952,10847248266,8,0
810,544570.5,4.0731,10628175333,8,0
840,564019.4,4.1446,10409102399,8,0
870,583468.4,4.2162,10190029466,8,0
900,602917.3,4.2878,9970956532,8,0
930,622366.3,4.3594,9751883598,8,0
960,641815.2,4.431,9532810665,8,0
990,661264.2,4.5026,9313737731,8,0
1020,678514.2,4.5664,9119433031,8,0
1050,695764.3,4.6297,8925128331,8,0
1080,713014.4,4.6805,8730823631,8,0
1110,730264.4,4.7255,8536518931,8,0
1140,747514.5,4.7704,8342214231,8,0
1170,767195.7,4.824,8120525414,8,0
1200,784445.7,4.8689,7926220713,8,0
1230,801695.8,4.9139,7731916013,8,0
1260,818945.9,4.9588,7537611313,8,0
1290,836195.9,5.0038,7343306613,8,0
1320,853446.0,5.0487,7149001913,8,0
1350,873127.2,5.1023,6927313096,8,0
1380,890377.2,5.1472,6733008396,8,0
1410,907627.3,5.1922,6538703696,8,0
1440,923312.8,5.2378,6362022591,8,0
1470,935700.6,5.2767,6222486125,5,0
1500,948088.4,5.3131,6082949658,5,0
1530,960476.2,5.3456,5943413191,5,0
1560,972864.1,5.3777,5803876724,5,0
1590,985251.9,5.4067,5664340258,5,0
1620,997639.7,5.4346,5524803791,5,0
1650,1010027.5,5.4566,5385267324,5,0
1680,1022415.4,5.4778,5245730857,5,0
1710,1034803.2,5.499,5106194391,5,0
1740,1047191.0,5.5203,4966657924,5,0
1770,1059578.8,5.5415,4827121457,5,0
1800,1089216.7,5.0262,26504409122,13,0
1830,1119086.8,5.167,26167952072,13,0
1860,1148957.0,5.2822,25831495022,13,0
1890,1178827.1,5.3949,25495037971,13,0
1920,1208697.2,5.5075,25158580921,13,0
1950,1238567.3,5.6202,24822123871,13,0
1980,1268437.5,5.7328,24485666821,13,0
2010,1296108.7,5.8312,24173978004,13,0
2040,1323779.9,5.9292,23862289187,13,0
2070,1351451.2,6.0267,23550600370,13,0
2100,1376567.8,6.1185,23267686270,13,0
2130,1401575.7,6.2094,22985997453,13,0
2160,1426583.6,6.2999,22704308636,13,0
2190,1451591.5,6.3901,22422619819,13,0
2220,1476599.4,6.4799,22140931002,13,0
2250,1504270.6,6.5742,21829242185,13,0
2280,1529278.5,6.6624,21547553368,13,0
2310,1554286.4,6.7522,21265864552,12,0
2340,1579294.3,6.8418,20984175735,12,0
2370,1604302.1,6.9293,20702486918,12,0
2400,1629310.0,7.0147,20420798101,12,0
2430,1654317.9,7.0971,20139109284,12,0
2460,1679325.8,7.1722,19857420467,12,0
2490,1704333.7,7.2462,19575731650,12,0
2520,1728297.3,7.3193,19305805242,12,0
2550,1750641.9,7.3911,19054116425,11,0
2580,1773218.6,7.4977,18799811725,11,0
2610,1795795.4,7.5978,18545507025,11,0
2640,1818372.2,7.69,18291202325,11,0
2670,1840948.9,7.7822,18036897625,11,0
2700,1865956.8,7.8727,17755208808,11,0
2730,1890964.7,7.9427,17473519991,11,0
2760,1913541.5,7.9958,17219215291,11,0
2790,1936118.2,8.0486,16964910591,11,0
2820,1958695.0,8.1011,16710605890,11,0
2850,1976641.8,8.1332,16508453540,11,0
2880,1997019.6,8.1671,16278917074,11,0
2910,2020060.9,8.2165,16019380607,11,0
2940,2038007.6,8.2479,15817228257,11,0
2970,2055954.4,8.2771,15615075907,11,0
3000,2073901.2,8.3061,15412923557,11,0
3030,2091847.9,8.335,15210771206,11,0
3060,2112225.8,8.366,14981234740,11,0
3090,2135034.8,8.408,14724314156,11,0
3120,2155412.7,8.4471,14494777689,11,0
3150,2175790.6,8.4846,14265241223,11,0
3180,2196168.5,8.5236,14035704756,10,0
3210,2216546.3,8.5621,13806168289,10,0
3240,2236924.2,8.6002,13576631822,10,0
3270,2257302.1,8.6319,13347095356,10,0
3300,2275775.9,8.6642,13139007042,10,0
3330,2293722.6,8.6964,12936854692,9,0
3360,2311383.8,8.7276,12737919017,9,0
3390,2326667.2,8.7586,12565766667,8,0
3420,2341950.6,8.7896,12393614317,8,0
3450,2357234.0,8.8199,12221461967,8,0
3480,2372517.5,8.8465,12049309617,8,0
3510,2387800.9,8.8731,11877157267,8,0
3540,2403084.3,8.8992,11705004917,8,0
3570,2420798.8,8.9307,11505468450,8,0
3600,2453100.1,8.7772,30943221139,16,0
3630,2485401.3,8.9306,30579379972,16,0
3660,2517702.5,9.084,30215538805,16,0
3690,2550003.8,9.2372,29851697638,16,0
3720,2584736.1,9.3956,29460472354,16,0
3750,2619468.5,9.5527,29069247071,16,0
3780,2651769.7,9.7009,28705405904,16,0
3810,2684071.0,9.8481,28341564737,16,0
3840,2716372.2,9.994,27977723570,16,0
3870,2748673.5,10.1373,27613882403,16,0
3900,2783405.8,10.2861,27222657119,16,0
3930,2818138.2,10.4342,26831431836,16,0
3960,2850671.6,10.5624,26464974786,16,0
3990,2883205.1,10.6818,26098517735,16,0
4020,2915738.6,10.7938,25732060685,16,0
4050,2948272.1,10.9057,25365603635,16,0
4080,2980805.5,11.0171,24999146585,16,0
4110,3013339.0,11.1277,24632689534,16,0
4140,3043906.1,11.2384,24288381415,16,0
4170,3074008.5,11.3647,23949308481,15,0
4200,3104110.8,11.4734,23610235548,15,0
4230,3134213.2,11.5745,23271162614,15,0
4260,3162116.7,11.6605,22956857914,15,0
4290,3190020.1,11.7876,22642553214,15,0
4320,3220587.0,11.9084,22298248514,15,0
4350,3248490.4,12.0246,21983943814,15,0
4380,3276393.9,12.1392,21669639113,15,0
4410,3304297.4,12.2446,21355334413,15,0
4440,3333176.2,12.3504,21030043534,15,0
4470,3363743.0,12.4485,20685738834,14,0
4500,3394309.8,12.544,20341434133,14,0
4530,3424876.7,12.6385,19997129433,14,0
4560,3453012.4,12.7227,19680208850,14,0
4590,3483811.4,12.7834,19333288266,14,0
4620,3514610.5,12.8255,18986367683,14,0
4650,3542514.0,12.8564,18672062983,14,0
4680,3570649.7,12.8878,18355142399,14,0
4710,3596354.2,12.9147,18065605932,14,0
4740,3619859.9,12.937,17800837699,14,0
4770,3648227.9,12.9707,17481301232,14,0
4800,3676595.8,13.004,17161764765,14,0
4830,3704963.8,13.043,16842228299,14,0
4860,3733331.7,13.0813,16522691832,14,0
4890,3759036.3,13.1129,16233155365,14,0
4920,3790067.6,13.1655,15883618898,14,0
4950,3817051.0,13.198,15579677905,14,0
4980,3842987.8,13.2308,15287525555,13,0
5010,3871588.0,13.2727,14965373205,13,0
5040,3900188.1,13.3114,14643220855,13,0
5070,3928788.3,13.3476,14321068505,13,0
