t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1482,4135786135,8,0
30,38897.9,0.2963,4081017901,8,0
60,58346.8,0.4445,4026249668,8,0
90,77795.8,0.5927,3971481434,8,0
120,97244.7,0.7408,3916713201,8,0
150,116693.7,0.889,3861944968,8,0
180,136142.6,1.0372,3807176734,8,0
210,155591.6,1.1853,3752408501,8,0
240,175040.5,1.3335,3697640268,8,0
270,194489.5,1.4817,3642872034,8,0
300,213938.4,1.6298,3588103801,8,0
330,233387.4,1.778,3533335567,8,0
360,252836.3,1.8933,3478567334,8,0
390,272285.3,2.0042,3423799101,8,0
420,291734.2,2.1151,3369030867,8,0
450,311183.1,2.226,3314262634,8,0
480,330632.1,2.3369,3259494400,8,0
510,350081.0,2.4475,3204726167,8,0
540,369530.0,2.5552,3149957934,8,0
570,388978.9,2.6589,3095189700,8,0
600,408427.9,2.7608,3040421467,8,0
630,427876.8,2.8627,2985653233,8,0
660,447325.8,2.9646,2930885000,8,0
690,466774.7,3.0665,2876116767,8,0
720,486223.7,3.1515,2821348533,8,0
750,505672.6,3.2275,2766580300,8,0
780,525121.6,3.2984,2711812067,8,0
810,544570.5,3.3631,2657043833,8,0
840,564019.4,3.4227,2602275600,8,0
870,583468.4,3.4823,2547507366,8,0
900,602917.3,3.5419,2492739133,8,0
930,622366.3,3.6015,2437970900,8,0
960,641815.2,3.6611,2383202666,8,0
990,661264.2,3.7207,2328434433,8,0
1020,680713.1,3.7803,2273666199,8,0
1050,700162.1,3.8396,2218897966,8,0
1080,719611.0,3.8886,2164129733,8,0
1110,739060.0,3.9327,2109361499,8,0
1140,758508.9,3.9756,2054593266,8,0
1170,777957.9,4.0163,1999825033,8,0
1200,797406.8,4.057,1945056799,8,0
1230,816855.8,4.0978,1890288566,8,0
1260,836304.7,4.1385,1835520332,8,0
1290,855753.6,4.1792,1780752099,8,0
1320,875202.6,4.2199,1725983866,8,0
1350,894651.5,4.2606,1671215632,8,0
1380,914100.5,4.3014,1616447399,8,0
1410,933549.4,4.3421,1561679165,8,0
1440,949498.0,4.3775,1516768037,8,0
1470,961653.6,4.4081,1482537891,5,0
1500,973809.2,4.438,1448307745,5,0
1530,985964.8,4.4646,1414077599,5,0
1560,998120.4,4.491,1379847453,5,0
1590,1010275.9,4.5148,1345617307,5,0
1620,1022431.5,4.5378,1311387161,5,0
1650,1034587.1,4.5558,1277157015,5,0
1680,1046742.7,4.5733,1242926870,5,0
1710,1058898.3,4.5906,1208696724,5,0
1740,1071053.9,4.6059,1174466578,5,0
1770,1083209.5,4.6213,1140236432,5,0
1800,1114814.0,4.2204,6554020261,13,0
1830,1146418.6,4.3336,6465021881,13,0
1860,1178023.1,4.4469,6376023502,13,0
1890,1209627.6,4.5601,6287025123,13,0
1920,1241232.2,4.6733,6198026744,13,0
1950,1272836.7,4.7866,6109028364,13,0
1980,1304441.3,4.8998,6020029985,13,0
2010,1336045.8,5.0129,5931031606,13,0
2040,1367650.3,5.1256,5842033227,13,0
2070,1399254.9,5.2378,5753034847,13,0
2100,1430859.4,5.3497,5664036468,13,0
2130,1461582.4,5.4609,5577520445,13,0
2160,1490755.9,5.5713,5495368095,12,0
2190,1519929.3,5.6813,5413215745,12,0
2220,1549102.7,5.791,5331063395,12,0
2250,1578276.1,5.9004,5248911045,12,0
2280,1607449.5,6.0077,5166758695,12,0
2310,1634771.7,6.113,5089819404,12,0
2340,1661514.0,6.2179,5014513084,11,0
2370,1688256.3,6.321,4939206763,11,0
2400,1714998.6,6.4223,4863900442,11,0
2430,1741740.9,6.5212,4788594121,11,0
2460,1768483.2,6.6142,4713287800,11,0
2490,1795225.5,6.7044,4637981479,11,0
2520,1821967.8,6.7925,4562675158,11,0
2550,1848710.1,6.8774,4487368837,11,0
2580,1875452.4,6.9595,4412062516,11,0
2610,1902194.7,7.0364,4336756195,11,0
2640,1928937.0,7.1068,4261449874,11,0
2670,1955679.3,7.1771,4186143554,11,0
2700,1982421.6,7.2372,4110837233,11,0
2730,2009163.9,7.2937,4035530912,11,0
2760,2035906.2,7.3499,3960224591,11,0
2790,2062648.5,7.4059,3884918270,11,0
2820,2089390.8,7.4617,3809611949,11,0
2850,2116133.1,7.5172,3734305628,11,0
2880,2142875.5,7.5725,3658999307,11,0
2910,2169617.8,7.6276,3583692986,11,0
2940,2196360.1,7.6824,3508386665,11,0
2970,2223102.4,7.7355,3433080344,11,0
3000,2249844.7,7.7884,3357774024,11,0
3030,2275763.9,7.8406,3284785462,11,0
3060,2300075.1,7.8916,3216325171,10,0
3090,2324386.3,7.9397,3147864879,10,0
3120,2348697.4,7.986,3079404587,10,0
3150,2372523.1,8.0326,3012311580,10,0
3180,2394403.1,8.0799,2950697317,9,0
3210,2416283.2,8.1265,2889083055,9,0
3240,2438163.3,8.173,2827468792,9,0
3270,2460043.3,8.2178,2765854530,9,0
3300,2480019.3,8.2628,2709602305,9,0
3330,2499468.2,8.3081,2654834072,8,0
3360,2518917.2,8.3527,2600065838,8,0
3390,2538366.1,8.3954,2545297605,8,0
3420,2557815.1,8.4368,2490529372,8,0
3450,2577264.0,8.4766,2435761138,8,0
3480,2596713.0,8.5134,2380992905,8,0
3510,2616161.9,8.5501,2326224672,8,0
3540,2635610.8,8.5865,2271456438,8,0
3570,2655059.8,8.6222,2216688205,8,0
3600,2693957.7,7.8032,7057550202,16,0
3630,2732855.6,7.9731,6948013735,16,0
3660,2771753.5,8.1429,6838477268,16,0
3690,2810651.4,8.3126,6728940802,16,0
3720,2849549.3,8.4811,6619404335,16,0
3750,2888447.1,8.6462,6509867868,16,0
3780,2927345.0,8.81,6400331401,16,0
3810,2966242.9,8.9729,6290794935,16,0
3840,3005140.8,9.1347,6181258468,16,0
3870,3044038.7,9.2954,6071722001,16,0
3900,3082936.6,9.4545,5962185534,16,0
3930,3121834.5,9.6127,5852649067,16,0
3960,3160732.4,9.7701,5743112601,16,0
3990,3199630.3,9.9198,5633576134,16,0
4020,3238528.2,10.0573,5524039667,16,0
4050,3277426.1,10.1923,5414503200,16,0
4080,3316324.0,10.3269,5304966734,16,0
4110,3355221.9,10.4608,5195430267,16,0
4140,3392153.4,10.5947,5091431033,16,0
4170,3428620.2,10.7263,4988740595,15,0
4200,3465087.0,10.8479,4886050158,15,0
4230,3501553.7,10.9669,4783359720,15,0
4260,3538020.5,11.0845,4680669282,15,0
4290,3574487.3,11.2013,4577978845,15,0
4320,3610954.1,11.3114,4475288407,15,0
