t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1797,16543144538,8,0
30,38897.9,0.3594,16324071605,8,0
60,58346.8,0.5391,16104998671,8,0
90,77795.8,0.7189,15885925738,8,0
120,97244.7,0.8986,15666852804,8,0
150,116693.7,1.0783,15447779871,8,0
180,136142.6,1.258,15228706937,8,0
210,155591.6,1.4377,15009634004,8,0
240,175040.5,1.6174,14790561070,8,0
270,194489.5,1.7972,14571488137,8,0
300,213938.4,1.9769,14352415203,8,0
330,233387.4,2.1566,14133342269,8,0
360,252836.3,2.2962,13914269336,8,0
390,272285.3,2.4304,13695196402,8,0
420,291734.2,2.5646,13476123469,8,0
450,311183.1,2.6988,13257050535,8,0
480,330632.1,2.833,13037977602,8,0
510,350081.0,2.9669,12818904668,8,0
540,369530.0,3.0972,12599831735,8,0
570,388978.9,3.2227,12380758801,8,0
600,408427.9,3.3459,12161685867,8,0
630,427876.8,3.4691,11942612934,8,0
660,447325.8,3.5923,11723540000,8,0
690,466774.7,3.7156,11504467067,8,0
720,486223.7,3.8183,11285394133,8,0
750,505672.6,3.9098,11066321200,8,0
780,525121.6,3.9952,10847248266,8,0
810,544570.5,4.0731,10628175333,8,0
840,564019.4,4.1446,10409102399,8,0
870,583468.4,4.2162,10190029466,8,0
900,602917.3,4.2878,9970956532,8,0
930,622366.3,4.3594,9751883598,8,0
960,641815.2,4.431,9532810665,8,0
990,661264.2,4.5026,9313737731,8,0
1020,680713.1,4.5742,9094664798,8,0
1050,700162.1,4.6454,8875591864,8,0
1080,719611.0,4.704,8656518931,8,0
1110,739060.0,4.7568,8437445997,8,0
1140,758508.9,4.8079,8218373064,8,0
1170,777957.9,4.8565,7999300130,8,0
1200,797406.8,4.905,7780227196,8,0
1230,816855.8,4.9536,7561154263,8,0
1260,836304.7,5.0021,7342081329,8,0
1290,855753.6,5.0507,7123008396,8,0
1320,875202.6,5.0992,6903935462,8,0
1350,894651.5,5.1478,6684862529,8,0
1380,911901.6,5.1923,6490557829,8,0
1410,929151.7,5.2369,6296253128,8,0
1440,944837.1,5.2788,6119572024,8,0
1470,957225.0,5.316,5980035557,6,0
1500,969612.8,5.3524,5840499091,6,0
1530,984664.0,5.3897,5670962624,6,0
1560,997051.8,5.4218,5531426157,6,0
1590,1009439.6,5.4508,5391889690,6,0
1620,1021827.4,5.4788,5252353224,6,0
1650,1034215.3,5.5007,5112816757,6,0
1680,1046603.1,5.522,4973280290,5,0
1710,1058898.3,5.5428,4834786895,5,0
1740,1071053.9,5.561,4697866311,5,0
1770,1083209.5,5.5792,4560945728,5,0
1800,1110866.1,5.087,22690873186,13,0
1830,1143399.5,5.2222,22365492311,13,0
1860,1175933.0,5.3575,22040111436,13,0
1890,1208466.5,5.4927,21714730561,13,0
1920,1239957.3,5.6254,21401093608,13,0
1950,1271780.1,5.7597,21083718730,13,0
1980,1303550.3,5.8938,20766935156,13,0
2010,1335154.8,6.0277,20452017814,13,0
2040,1366759.4,6.1612,20137100472,13,0
2070,1398363.9,6.2943,19822183130,13,0
2100,1428464.6,6.4201,19515726080,13,0
2130,1459375.8,6.5516,19207060273,13,0
2160,1486582.6,6.6731,18930603223,12,0
2190,1519146.7,6.8209,18625990668,12,0
2220,1548320.1,6.951,18338457442,12,0
2250,1577493.5,7.0809,18050924217,12,0
2280,1603677.0,7.2084,17797069660,12,0
2310,1628568.1,7.334,17557772790,12,0
2340,1651895.9,7.4579,17336083973,11,0
2370,1675817.1,7.5726,17094019485,11,0
2400,1700322.9,7.6989,16865894704,11,0
2430,1726692.1,7.8233,16614205887,11,0
2460,1750251.0,7.9369,16392517070,11,0
2490,1774330.2,8.0401,16154219242,11,0
2520,1798381.2,8.1527,15932530425,11,0
2550,1822366.4,8.2514,15691990458,11,0
2580,1846677.6,8.3511,15459225466,11,0
2610,1869022.1,8.4393,15237536649,11,0
2640,1895532.2,8.5309,14993695482,11,0
2670,1917644.5,8.6101,14772006666,11,0
2700,1941955.6,8.683,14539241674,11,0
2730,1966266.8,8.7516,14306476682,11,0
2760,1990578.0,8.8199,14073711690,11,0
2790,2014889.2,8.888,13840946698,11,0
2820,2039200.4,8.9558,13608181706,11,0
2850,2061544.9,9.0204,13400184948,11,0
2880,2086959.7,9.102,13174896341,11,0
2910,2108839.8,9.1699,12969515466,11,0
2940,2130719.9,9.2378,12764134591,11,0
2970,2152599.9,9.304,12558753716,11,0
3000,2174480.0,9.3699,12353372840,11,0
3030,2195537.0,9.4352,12157263004,11,0
3060,2214985.9,9.4991,11979266245,10,0
3090,2234434.9,9.5597,11801269487,10,0
3120,2253883.8,9.6183,11623272728,10,0
3150,2273332.8,9.677,11445275970,10,0
3180,2292781.7,9.7349,11267279211,10,0
3210,2312230.7,9.7918,11089282453,10,0
3240,2331679.6,9.8487,10911285694,10,0
3270,2351128.6,9.9037,10733288936,10,0
3300,2370577.5,9.9575,10555292177,10,0
3330,2390026.5,10.0114,10377295419,10,0
3360,2409475.4,10.0644,10199298660,10,0
3390,2428924.3,10.1151,10021301902,10,0
3420,2448373.3,10.1641,9843305143,10,0
3450,2467822.2,10.2113,9665308385,10,0
3480,2487271.2,10.2547,9487311626,10,0
3510,2506720.1,10.2981,9309314868,10,0
3540,2526169.1,10.3411,9131318109,10,0
3570,2545618.0,10.3833,8953321351,10,0
3600,2584515.9,9.3912,28357845515,18,0
3630,2623413.8,9.5962,27960775823,18,0
3660,2662311.7,9.8012,27563706131,18,0
3690,2701209.6,10.006,27166636439,18,0
3720,2740107.5,10.2095,26769566747,18,0
3750,2779005.4,10.4093,26372497054,18,0
3780,2817903.3,10.6077,25975427362,18,0
3810,2856801.2,10.805,25578357670,18,0
3840,2895699.1,11.0013,25181287978,18,0
3870,2934597.0,11.1963,24784218286,18,0
3900,2968632.6,11.3909,24414532711,18,0
3930,3002668.3,11.5851,24044847136,18,0
3960,3036703.9,11.779,23675161560,18,0
3990,3066341.8,11.9625,23341320393,18,0
4020,3095979.7,12.1322,23007479226,18,0
4050,3125421.2,12.2913,22675850231,18,0
4080,3154826.8,12.4488,22344624948,18,0
4110,3184660.1,12.6173,22008583026,18,0
4140,3216961.4,12.788,21644741859,18,0
4170,3246599.2,12.9503,21310900693,18,0
4200,3276237.1,13.1022,20977059526,18,0
4230,3305875.0,13.2521,20643218359,18,0
4260,3333903.6,13.3825,20327504366,18,0
4290,3364387.5,13.5293,19984133639,18,0
4320,3395791.9,13.6719,19630394051,18,0
4350,3428325.4,13.8093,19263937001,18,0
4380,3458427.8,13.9494,18924864067,18,0
4410,3489025.9,14.0816,18580206672,18,0
4440,3519128.3,14.2101,18241133739,18,0
4470,3549230.6,14.3307,17902060805,18,0
4500,3576054.5,14.4246,17599916610,18,0
4530,3603311.6,14.5118,17292892818,18,0
4560,3628551.7,14.5999,17008588117,18,0
4590,3650836.4,14.6853,16757572776,18,0
4620,3673839.8,14.7692,16498463424,17,0
4650,3696803.0,14.859,16239805789,17,0
4680,3718648.7,14.9435,15993735350,17,0
4710,3741242.3,15.0292,15739241549,17,0
4740,3763868.1,15.1159,15484384298,17,0
4770,3785538.1,15.1991,15240293248,17,0
4800,3807470.3,15.2748,14993248978,17,0
4830,3829433.9,15.3456,14745850544,17,0
4860,3851452.8,15.4167,14497830694,17,0
4890,3873162.1,15.4863,14253296443,17,0
4920,3895514.8,15.5541,14001516197,17,0
4950,3917394.8,15.6217,13755059147,17,0
4980,3942238.2,15.6913,13475223726,17,0
5010,3964023.1,15.7588,13229838761,17,0
5040,3985649.0,15.8236,12986244136,17,0
5070,4007407.8,15.8859,12741152791,17,0
