t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1797,16543144538,8,0
30,38897.9,0.3594,16324071605,8,0
60,58346.8,0.5391,16104998671,8,0
90,77795.8,0.7189,15885925738,8,0
120,97244.7,0.8986,15666852804,8,0
150,116693.7,1.0783,15447779871,8,0
180,136142.6,1.258,15228706937,8,0
210,155591.6,1.4377,15009634004,8,0
240,175040.5,1.6174,14790561070,8,0
270,194489.5,1.7972,14571488137,8,0
300,213938.4,1.9769,14352415203,8,0
330,233387.4,2.1566,14133342269,8,0
360,252836.3,2.2962,13914269336,8,0
390,272285.3,2.4304,13695196402,8,0
420,291734.2,2.5646,13476123469,8,0
450,311183.1,2.6988,13257050535,8,0
480,330632.1,2.833,13037977602,8,0
510,350081.0,2.9669,12818904668,8,0
540,369530.0,3.0972,12599831735,8,0
570,388978.9,3.2227,12380758801,8,0
600,408427.9,3.3459,12161685867,8,0
630,427876.8,3.4691,11942612934,8,0
660,447325.8,3.5923,11723540000,8,0
690,466774.7,3.7156,11504467067,8,0
720,486223.7,3.8183,11285394133,8,0
750,505672.6,3.9098,11066321200,8,0
780,525121.6,3.9952,10847248266,8,0
810,544570.5,4.0731,10628175333,8,0
840,561820.6,4.1359,10433870632,8,0
870,581734.0,4.2093,10209565932,8,0
900,601647.4,4.2827,9985261232,8,0
930,621560.8,4.3562,9760956532,8,0
960,641474.2,4.4296,9536651832,8,0
990,661264.2,4.5026,9313737731,8,0
1020,680713.1,4.5742,9094664798,8,0
1050,700162.1,4.6454,8875591864,8,0
1080,719611.0,4.704,8656518931,8,0
1110,739060.0,4.7568,8437445997,8,0
1140,758508.9,4.8079,8218373064,8,0
1170,777957.9,4.8565,7999300130,8,0
1200,797406.8,4.905,7780227196,8,0
1230,816855.8,4.9536,7561154263,8,0
1260,836304.7,5.0021,7342081329,8,0
1290,855753.6,5.0507,7123008396,8,0
1320,875202.6,5.0992,6903935462,8,0
1350,894651.5,5.1478,6684862529,8,0
1380,914100.5,5.1963,6465789595,8,0
1410,931350.5,5.2409,6271484895,8,0
1440,949498.0,5.2872,6067072146,8,0
1470,961653.6,5.3241,5930151563,5,0
1500,973809.2,5.3601,5793230979,5,0
1530,985964.8,5.3921,5656310396,5,0
1560,998120.4,5.4238,5519389812,5,0
1590,1010275.9,5.4523,5382469229,5,0
1620,1022431.5,5.4799,5245548645,5,0
1650,1034587.1,5.5014,5108628062,5,0
1680,1046742.7,5.5222,4971707478,5,0
1710,1058898.3,5.5428,4834786895,5,0
1740,1071053.9,5.561,4697866311,5,0
1770,1083209.5,5.5792,4560945728,5,0
1800,1109596.1,5.0892,26274855759,13,0
1830,1139930.7,5.2206,25933166942,13,0
1860,1170265.3,5.3267,25591478126,13,0
1890,1200599.9,5.4328,25249789309,13,0
1920,1231398.9,5.574,24902868725,13,0
1950,1261733.5,5.7239,24561179908,13,0
1980,1291835.9,5.8378,24222106975,13,0
2010,1322402.7,5.9803,23877802275,13,0
2040,1352969.5,6.1255,23533497574,13,0
2070,1380981.8,6.2274,23217967591,13,0
2100,1413979.7,6.3782,22846278774,13,0
2130,1444082.1,6.4827,22507205840,13,0
2160,1470516.1,6.5925,22209452932,13,0
2190,1495524.0,6.7268,21927764116,12,0
2220,1520531.9,6.8611,21646075299,12,0
2250,1542876.4,6.9824,21394386482,12,0
2280,1567884.3,7.1145,21112697665,12,0
2310,1591040.9,7.2545,20851861086,12,0
2340,1610954.4,7.3621,20627556386,11,0
2370,1636194.5,7.5035,20343251686,11,0
2400,1661434.6,7.643,20058946986,11,0
2430,1684011.4,7.7415,19804642286,11,0
2460,1703924.8,7.8523,19580337585,11,0
2490,1726501.5,7.9859,19326032885,11,0
2520,1749078.3,8.1017,19071728185,11,0
2550,1771655.1,8.2164,18817423485,11,0
2580,1794231.8,8.3244,18563118785,11,0
2610,1816808.6,8.4186,18308814085,11,0
2640,1839385.4,8.5102,18054509384,11,0
2670,1862426.6,8.5965,17794972918,11,0
2700,1885467.8,8.6691,17535436451,11,0
2730,1905845.7,8.7369,17305899984,11,0
2760,1928887.0,8.8094,17046363517,11,0
2790,1951928.2,8.8819,16786827051,11,0
2820,1974969.4,8.9543,16527290584,11,0
2850,1998010.7,9.0268,16267754117,11,0
2880,2021051.9,9.0993,16008217650,11,0
2910,2044093.1,9.1718,15748681183,11,0
2940,2064471.0,9.2403,15519144717,11,0
2970,2084848.9,9.3081,15289608250,11,0
3000,2105226.8,9.3744,15060071783,11,0
3030,2124781.6,9.4399,14839806355,11,0
3060,2142728.4,9.5041,14637654005,10,0
3090,2160675.1,9.5683,14435501655,10,0
3120,2181285.2,9.6363,14203349305,10,0
3150,2201895.4,9.6999,13971196955,10,0
3180,2222135.1,9.7613,13743216404,10,0
3210,2242280.8,9.8224,13516295820,10,0
3240,2262426.4,9.8836,13289375237,10,0
3270,2282572.1,9.9447,13062454653,10,0
3300,2302717.7,10.0058,12835534070,10,0
3330,2322863.4,10.064,12608613486,10,0
3360,2343009.0,10.1206,12381692903,10,0
3390,2360955.8,10.1725,12179540553,10,0
3420,2381565.9,10.2252,11947388203,10,0
3450,2402176.0,10.2747,11715235853,10,0
3480,2422786.1,10.3203,11483083503,10,0
3510,2443396.2,10.366,11250931152,10,0
3540,2463882.9,10.4111,11020169402,10,0
3570,2484028.5,10.4549,10793248819,10,0
3600,2508230.9,9.3564,29200932019,18,0
3630,2537295.6,9.472,28881395552,18,0
3660,2570990.2,9.6778,28501859085,18,0
3690,2604452.6,9.8425,28124938502,18,0
3720,2643350.5,10.0878,27716792635,18,0
3750,2676812.9,10.2132,27369872051,18,0
3780,2709455.2,10.3625,27027570592,18,0
3810,2742685.4,10.5347,26666957951,18,0
3840,2770821.1,10.6923,26350037367,18,0
3870,2801620.1,10.8506,26003116784,18,0
3900,2832419.2,11.0023,25686196200,18,0
3930,2859626.0,11.1476,25404507383,18,0
3960,2885330.5,11.2963,25114970917,18,0
3990,2918560.7,11.4984,24768050333,18,0
4020,2946928.7,11.6469,24448513866,18,0
4050,2972633.2,11.8009,24158977399,18,0
4080,2998337.8,11.9903,23869440933,18,0
4110,3024042.4,12.1732,23579904466,18,0
4140,3052410.4,12.3588,23260367999,18,0
4170,3083441.7,12.5448,22910831532,18,0
4200,3111809.6,12.6715,22591295066,18,0
4230,3148167.6,12.8434,22211758599,18,0
4260,3179198.9,12.9999,21892222132,18,0
4290,3204666.0,13.1409,21605360352,18,0
4320,3233498.4,13.2907,21310592119,18,0
4350,3262330.8,13.4296,21015823885,18,0
4380,3288732.1,13.5516,20748439769,18,0
4410,3317796.8,13.6821,20451055652,18,0
4440,3346041.2,13.8166,20158290660,18,0
4470,3372210.3,13.9494,19877214485,18,0
4500,3398379.4,14.0721,19596138310,18,0
4530,3424548.4,14.1934,19315062135,18,0
4560,3445390.8,14.3001,19093985960,18,0
4590,3468896.5,14.4098,18842909785,18,0
4620,3492387.5,14.508,18591998926,18,0
4650,3513229.8,14.5906,18370922751,18,0
4680,3534072.2,14.6818,18149846576,18,0
4710,3554914.5,14.759,17928770401,18,0
4740,3578420.2,14.8446,17677694226,18,0
4770,3601925.9,14.9335,17426618051,18,0
4800,3622768.3,15.0125,17205541876,18,0
4830,3643610.6,15.0955,16984465701,18,0
4860,3664453.0,15.1762,16763389526,18,0
4890,3682864.2,15.2504,16556005409,18,0
4920,3706602.2,15.3382,16288621292,18,0
4950,3730340.1,15.4125,16051237176,18,0
4980,3753149.1,15.4841,15819084826,18,0
5010,3776654.8,15.5545,15568008650,18,0
5040,3800160.5,15.622,15316932475,18,0
5070,3823898.4,15.6942,15049548359,18,0
