t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,0.0,0.0,16098486272,8,0
30,682.0,0.0107,16090803938,8,0
60,3345.4,0.0522,16060803938,8,0
90,6008.7,0.0938,16030803938,8,0
120,8672.1,0.1354,16000803938,8,0
150,11335.4,0.177,15970803938,8,0
180,13998.8,0.2186,15940803938,8,0
210,16662.1,0.2602,15910803938,8,0
240,19325.5,0.3018,15880803938,8,0
270,21988.8,0.3434,15850803938,8,0
300,24652.2,0.385,15820803938,8,0
330,27315.5,0.4266,15790803938,8,0
360,29978.9,0.4633,15760803938,8,0
390,32642.3,0.4861,15730803938,8,0
420,35636.9,0.5137,15698938338,8,0
450,35968.1,0.5185,15697072738,8,0
480,43276.9,0.6124,15644746624,8,0
510,51266.9,0.7121,15584746624,8,0
540,59257.0,0.8119,15524746624,8,0
570,67247.1,0.9116,15464746624,8,0
600,80563.8,0.9937,6896270464,8,0
630,93880.6,1.0757,6806270464,8,0
660,110531.4,1.1779,6697493248,8,0
690,131358.3,1.303,6565195904,8,0
720,160655.2,1.5115,6385195904,8,0
750,171308.6,1.5663,6325195904,8,0
780,186495.6,1.6481,6230271838,8,0
810,205139.1,1.7512,6110271838,8,0
840,228183.1,1.8687,5965487710,8,0
870,253988.5,2.0157,5805151710,8,0
900,272632.0,2.1193,5685151710,8,0
930,291275.5,2.2111,5565151710,8,0
960,309918.9,2.3002,5445151710,8,0
990,328562.4,2.3893,5325151710,8,0
1020,347692.2,2.491,5222052059,8,0
1050,355682.3,2.5394,5162052059,8,0
1080,363672.3,2.5878,5102052059,8,0
1110,374465.9,2.6444,5026262450,8,0
1140,389634.9,2.6979,4925830706,8,0
1170,413605.1,2.7728,4775830706,8,0
1200,413605.1,2.7728,4775830706,8,0
1230,413605.1,2.7728,4775830706,8,0
1260,416609.4,2.7841,4758910122,8,0
1290,425096.4,2.8282,4711111722,8,0
1320,435749.8,2.8703,4651111722,8,0
1350,441076.5,2.8922,4621111722,8,0
1380,446403.2,2.9141,4591111722,8,0
1410,451729.9,2.936,4561111722,8,0
1440,458558.8,2.9636,4522651430,8,0
1470,469212.2,2.999,4462651430,8,0
1500,470714.4,3.0047,4454191139,8,0
1530,476041.1,3.0249,4424191139,8,0
1560,481367.8,3.0451,4394191139,8,0
1590,486694.5,3.0652,4364191139,8,0
1620,492284.7,3.0866,4332707148,8,0
1650,492284.7,3.0866,4332707148,8,0
1680,506021.9,3.1496,4313365170,8,0
1710,527328.7,3.2199,4283365170,8,0
1740,548635.5,3.2901,4253365170,8,0
1770,570469.3,3.3418,4220397189,8,0
1800,586449.4,3.4319,24896818565,16,0
1830,623421.7,3.5782,24799136231,16,0
1860,644311.2,3.6964,24683837159,16,0
1890,668281.3,3.7951,24533837159,16,0
1920,713558.3,3.9272,24353837159,16,0
1950,738210.9,3.9639,24286154825,16,0
1980,765526.4,4.0095,24188472491,16,0
2010,786595.6,4.0831,24046090564,16,0
2040,815660.2,4.1621,23862667550,16,0
2070,844724.8,4.2408,23679244535,16,0
2100,862528.3,4.2961,23529244535,16,0
2130,880331.7,4.351,23379244535,16,0
2160,893599.7,4.4005,23254786502,16,0
2190,911403.1,4.4611,23104786502,15,0
2220,924487.7,4.5095,22981363488,15,0
2250,936643.2,4.5489,22882903196,15,0
2280,947978.7,4.5874,22785220862,15,0
2310,961295.4,4.6341,22665220862,15,0
2340,979938.9,4.6941,22515220862,15,0
2370,1028561.3,4.9036,21997538528,15,0
2400,1052531.4,4.9973,16849618656,15,0
2430,1077865.7,5.0898,16691936322,15,0
2460,1124985.8,5.2763,16311174572,15,0
2490,1156946.1,5.3922,16101174572,15,0
2520,1188906.3,5.5082,15891174572,15,0
2550,1217331.2,5.6059,15701085431,15,0
2580,1249291.4,5.7211,15491085431,15,0
2610,1281251.7,5.8318,15281085431,15,0
2640,1313211.9,5.9376,15071085431,15,0
2670,1345172.1,6.0434,14861085431,15,0
2700,1379795.7,6.1506,14621085431,15,0
2730,1414419.3,6.2521,14381085431,15,0
2760,1449042.9,6.3504,14141085431,15,0
2790,1483666.4,6.4368,13901085431,15,0
2820,1523616.7,6.5236,13631085431,15,0
2850,1542260.2,6.5434,13511085431,15,0
2880,1560903.7,6.5625,13391085431,15,0
2910,1587504.1,6.6237,13211458355,15,0
2940,1608810.9,6.6615,13061458355,15,0
2970,1624791.0,6.7069,12941458355,14,0
3000,1646779.9,6.7533,12787617188,14,0
3030,1673413.4,6.8068,12607617188,14,0
3060,1700046.9,6.8592,12427617188,14,0
3090,1726680.4,6.9107,12247617188,14,0
3120,1751717.8,6.9554,12084106840,14,0
3150,1768142.2,7.0034,11974101751,13,0
3180,1785454.0,7.0319,11854101751,13,0
3210,1801434.1,7.0609,11734101751,13,0
3240,1821003.7,7.0913,11593885879,13,0
3270,1847637.2,7.1461,11413885879,13,0
3300,1874270.8,7.2009,11233885879,13,0
3330,1897829.1,7.2506,11077545719,12,0
3360,1929789.3,7.3042,10897545719,12,0
3390,1961749.5,7.3547,10717545719,12,0
3420,1993709.7,7.4032,10537545719,12,0
3450,2017447.3,7.5197,10414153904,10,0
3480,2038754.1,7.5625,10264153904,10,0
3510,2076041.1,7.8571,10114153904,10,0
3540,2113328.0,8.1507,9964153904,10,0
3570,2150614.9,8.386,9814153904,10,0
3600,2180593.8,7.8565,28604039919,18,1
3630,2217263.5,7.9446,28430992918,17,1
3660,2259877.1,8.0586,28190992918,17,1
3690,2302490.8,8.1625,27950992918,17,1
