t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,0.0,0.0,16098486272,8,0
30,682.0,0.0107,16090803938,8,0
60,3345.4,0.0522,16060803938,8,0
90,6008.7,0.0938,16030803938,8,0
120,8672.1,0.1354,16000803938,8,0
150,11335.4,0.177,15970803938,8,0
180,13998.8,0.2186,15940803938,8,0
210,16662.1,0.2602,15910803938,8,0
240,19325.5,0.3018,15880803938,8,0
270,21988.8,0.3434,15850803938,8,0
300,24652.2,0.385,15820803938,8,0
330,27315.5,0.4266,15790803938,8,0
360,29978.9,0.4633,15760803938,8,0
390,32642.3,0.4861,15730803938,8,0
420,35636.9,0.5137,15698938338,8,0
450,35968.1,0.5185,15697072738,8,0
480,43276.9,0.6124,15644746624,8,0
510,51266.9,0.7121,15584746624,8,0
540,59257.0,0.8119,15524746624,8,0
570,67247.1,0.9116,15464746624,8,0
600,80563.8,0.9937,6896270464,8,0
630,84591.2,1.0259,6858588130,8,0
660,91952.6,1.0746,6802128580,8,0
690,114614.8,1.2262,6659495236,8,0
720,143911.7,1.4347,6479495236,8,0
750,162555.2,1.5185,6359495236,8,0
780,181198.6,1.6023,6239495236,8,0
810,201344.3,1.6965,6111034945,8,0
840,225314.4,1.8169,5961034945,8,0
870,252113.6,1.9599,5795102145,8,0
900,270757.1,2.0437,5675102145,8,0
930,290902.7,2.1247,5546641853,8,0
960,314872.9,2.223,5396641853,8,0
990,339174.3,2.3238,5244776253,8,0
1020,365807.8,2.4458,5094776253,8,0
1050,368471.2,2.4574,5064776253,8,0
1080,371134.5,2.4691,5034776253,8,0
1110,386218.2,2.5523,4958484948,8,0
1140,406363.8,2.6672,4860024656,8,0
1170,435660.7,2.8262,4710024656,8,0
1200,435660.7,2.8262,4710024656,8,0
1230,435660.7,2.8262,4710024656,8,0
1260,439699.5,2.8396,4687278371,8,0
1290,445220.0,2.8577,4656186614,8,0
1320,455873.4,2.885,4596186614,8,0
1350,461200.1,2.9273,4566186614,8,0
1380,466526.8,2.9697,4536186614,8,0
1410,480255.5,3.0512,4482526774,8,0
1440,500304.2,3.1504,4399612361,8,0
1470,526937.7,3.2433,4279612361,8,0
1500,537034.2,3.2681,4222748693,8,0
1530,553014.4,3.3073,4132748693,8,0
1560,571998.8,3.3566,4025828109,8,0
1590,593305.7,3.4108,3905828109,8,0
1620,614612.5,3.4592,3785828109,8,0
1650,617616.8,3.4662,3768907526,8,0
1680,622943.5,3.4786,3738907526,8,0
1710,639286.1,3.5158,3670525946,8,0
1740,660592.9,3.5632,3580525946,8,0
1770,698145.1,3.7202,3459841842,8,0
1800,728712.0,3.7825,22739687158,16,0
1830,761818.7,3.9117,22613230107,16,0
1860,798688.3,4.0223,22467931035,16,0
1890,835975.2,4.1193,22317931035,16,0
1920,873262.1,4.2162,22167931035,16,0
1950,908567.7,4.2803,22040248701,16,0
1980,959891.1,4.4237,21808411664,16,0
2010,980548.3,4.4876,21659689578,16,0
2040,1004287.0,4.5719,21506258115,16,0
2070,1030688.3,4.6643,21322835101,16,0
2100,1049099.5,4.7054,21199412086,16,0
2130,1070589.4,4.7611,21054809169,16,0
2160,1093719.5,4.8504,20904809169,15,0
2190,1112313.8,4.9159,20780355360,15,0
2220,1135444.0,4.9847,20630355360,15,0
2250,1150149.8,5.0348,20532532162,15,0
2280,1197611.0,5.201,20096389536,15,0
2310,1221163.8,5.2871,19921090464,15,0
2340,1245134.0,5.3591,19741090464,15,0
2370,1274430.9,5.4445,19531090464,15,0
2400,1285084.3,5.4683,18027530016,15,0
2430,1297101.7,5.4981,17959847682,15,0
2460,1313081.8,5.5455,17869847682,15,0
2490,1333706.6,5.5985,17753688849,15,0
2520,1355013.4,5.6523,17633688849,15,0
2550,1360340.2,5.6759,17603688849,15,0
2580,1370993.6,5.7046,17543688849,15,0
2610,1381647.0,5.7309,17483688849,15,0
2640,1392300.4,5.7573,17423688849,15,0
2670,1402953.8,5.7836,17363688849,15,0
2700,1408389.3,5.7979,17333076207,15,0
2730,1419341.1,5.8248,17271395541,15,0
2760,1432425.6,5.8532,17197703483,15,0
2790,1448339.1,5.8864,17108078624,15,0
2820,1466750.4,5.9153,17004386566,15,0
2850,1482730.5,5.9424,16914386566,15,0
2880,1498710.6,5.9674,16824386566,15,0
2910,1514690.7,5.9885,16734386566,15,0
2940,1530670.8,6.0096,16644386566,15,0
2970,1541324.2,6.0214,16584386566,14,0
3000,1559113.0,6.0747,11909281204,14,0
3030,1576612.6,6.1234,11772166131,14,0
3060,1590437.8,6.1709,11652166131,14,0
3090,1603754.5,6.2096,11562166131,13,0
3120,1618738.3,6.2543,11447777523,13,0
3150,1636381.8,6.288,11327777523,13,0
3180,1660351.9,6.3495,11207777523,13,0
3210,1685208.5,6.422,11085281499,13,0
3240,1711842.0,6.6052,10935281499,13,0
3270,1743061.8,6.7947,10759451272,13,0
3300,1759042.0,6.8181,10639451272,13,0
3330,1769695.4,6.8375,10549451272,12,0
3360,1786468.3,6.8844,10459451272,12,0
3390,1797121.7,6.9039,10369451272,12,0
3420,1813606.2,6.9371,10234860082,12,0
3450,1831707.9,6.9795,10121200242,11,0
3480,1862506.9,7.058,9992739951,11,0
3510,1889140.5,7.106,9842739951,11,0
3540,1913110.6,7.1787,9722739951,10,0
3570,1940083.7,7.2613,9571783787,10,0
3600,1969380.6,7.1463,26682507705,18,1
3630,1999359.5,7.2429,26524825371,17,1
3660,2031319.7,7.3455,26344825371,17,1
3690,2063279.9,7.4482,26164825371,17,1
