t_s,delivered_images,utility,backlog_bits,n_active,n_dropped
0,19448.9,0.1797,16543144538,8,0
30,38897.9,0.3594,16324071605,8,0
60,58346.8,0.5391,16104998671,8,0
90,77795.8,0.7189,15885925738,8,0
120,97244.7,0.8986,15666852804,8,0
150,116693.7,1.0783,15447779871,8,0
180,136142.6,1.258,15228706937,8,0
210,155591.6,1.4377,15009634004,8,0
240,175040.5,1.6174,14790561070,8,0
270,194489.5,1.7972,14571488137,8,0
300,213938.4,1.9769,14352415203,8,0
330,233387.4,2.1566,14133342269,8,0
360,252836.3,2.2962,13914269336,8,0
390,272285.3,2.4304,13695196402,8,0
420,291734.2,2.5646,13476123469,8,0
450,311183.1,2.6988,13257050535,8,0
480,330632.1,2.833,13037977602,8,0
510,350081.0,2.9669,12818904668,8,0
540,369530.0,3.0972,12599831735,8,0
570,388978.9,3.2227,12380758801,8,0
600,408427.9,3.3459,12161685867,8,0
630,427876.8,3.4691,11942612934,8,0
660,447325.8,3.5923,11723540000,8,0
690,466774.7,3.7156,11504467067,8,0
720,486223.7,3.8183,11285394133,8,0
750,505672.6,3.9098,11066321200,8,0
780,525121.6,3.9952,10847248266,8,0
810,544570.5,4.0731,10628175333,8,0
840,564019.4,4.1446,10409102399,8,0
870,583468.4,4.2162,10190029466,8,0
900,602917.3,4.2878,9970956532,8,0
930,622366.3,4.3594,9751883598,8,0
960,641815.2,4.431,9532810665,8,0
990,661264.2,4.5026,9313737731,8,0
1020,678514.2,4.5645,9119433031,8,0
1050,695764.3,4.6281,8925128331,8,0
1080,713014.4,4.6835,8730823631,8,0
1110,730264.4,4.7281,8536518931,8,0
1140,747514.5,4.7766,8342214231,8,0
1170,767427.9,4.8306,8117909530,8,0
1200,784678.0,4.8798,7923604830,8,0
1230,801928.0,4.9264,7729300130,8,0
1260,819178.1,4.9709,7534995430,8,0
1290,836428.2,5.0155,7340690730,8,0
1320,853678.2,5.06,7146386030,8,0
1350,873591.6,5.1094,6922081329,8,0
1380,890841.7,5.154,6727776629,8,0
1410,908091.8,5.1985,6533471929,8,0
1440,923777.2,5.2404,6356790825,8,0
1470,936165.0,5.2777,6217254358,6,0
1500,948552.9,5.3141,6077717891,6,0
1530,963604.1,5.3514,5908181425,6,0
1560,975991.9,5.3835,5768644958,6,0
1590,988379.7,5.4125,5629108491,6,0
1620,1000767.5,5.4404,5489572024,6,0
1650,1013155.4,5.4624,5350035557,6,0
1680,1025543.2,5.4836,5210499091,6,0
1710,1040594.4,5.5097,5040962624,6,0
1740,1052982.2,5.5309,4901426157,6,0
1770,1065370.0,5.5495,4761889690,6,0
1800,1092221.1,5.0331,21628798509,14,0
1830,1125737.9,5.1911,21317109693,14,0
1860,1156250.3,5.3103,21016497051,14,0
1890,1188553.1,5.417,20693715163,14,0
1920,1221551.0,5.5251,20363102521,14,0
1950,1251421.1,5.6275,20067721646,14,0
1980,1281059.0,5.7299,19774956654,14,0
2010,1309194.7,5.8317,19493267837,14,0
2040,1339529.3,5.9338,19181579020,14,0
2070,1371143.0,6.046,18869890203,14,0
2100,1399046.5,6.1462,18585585503,14,0
2130,1426717.7,6.2457,18303896686,14,0
2160,1451569.4,6.3354,18052207870,13,0
2190,1476577.3,6.4295,17800519053,13,0
2220,1504248.6,6.5451,17548830236,13,0
2250,1531919.8,6.6396,17267141419,13,0
2280,1559358.8,6.8054,17015452602,13,0
2310,1584946.6,6.969,16784616023,13,0
2340,1609954.5,7.123,16560311323,12,0
2370,1634962.3,7.2165,16336006623,12,0
2400,1659970.2,7.3083,16111701923,12,0
2430,1685210.3,7.3938,15884781339,12,0
2460,1710450.5,7.4776,15657860756,11,0
2490,1735690.6,7.5595,15430940172,11,0
2520,1760930.7,7.6408,15204019589,11,0
2550,1788834.2,7.8048,14977099006,11,0
2580,1813157.6,7.9183,14764279647,11,0
2610,1837933.3,8.0675,14556282889,11,0
2640,1860045.6,8.1207,14348286130,11,0
2670,1882157.9,8.1739,14140289371,11,0
2700,1906933.5,8.3117,13932292613,11,0
2730,1931709.2,8.4484,13724295854,11,0
2760,1956484.8,8.5851,13516299096,11,0
2790,1981260.5,8.7182,13308302337,11,0
2820,2006036.1,8.8147,13100305579,11,0
2850,2026414.0,8.8971,12917077054,11,0
2880,2046791.9,8.9796,12733848529,11,0
2910,2072496.5,9.0857,12520620004,11,0
2940,2092874.4,9.1658,12337391478,11,0
2970,2113252.2,9.2269,12154162953,11,0
3000,2136061.2,9.2899,11970934428,11,0
3030,2158047.2,9.357,11796976942,11,0
3060,2178425.1,9.4137,11641132533,10,0
3090,2196139.6,9.4779,11485288125,10,0
3120,2213854.1,9.5422,11329443717,10,0
3150,2231568.6,9.6109,11173599308,10,0
3180,2249283.2,9.6674,11017754900,10,0
3210,2266997.7,9.7231,10861910491,10,0
3240,2284712.2,9.7804,10706066083,10,0
3270,2302426.8,9.8376,10550221674,10,0
3300,2322804.6,9.8878,10394377266,10,0
3330,2342416.8,9.9418,10238532858,10,0
3360,2360131.3,9.9915,10082688449,10,0
3390,2377845.8,10.0418,9926844041,10,0
3420,2395560.4,10.092,9770999632,10,0
3450,2415938.2,10.1418,9615155224,10,0
3480,2436316.1,10.1832,9459310815,10,0
3510,2454030.6,10.229,9303466407,10,0
3540,2474408.5,10.2617,9147621999,10,0
3570,2497449.8,10.3152,8961777590,10,0
3600,2535774.4,9.3241,28399530279,18,0
3630,2570739.0,9.5335,28035689112,18,0
3660,2608366.9,9.7429,27671847945,18,0
3690,2646227.1,9.9447,27308006778,18,0
3720,2686750.7,10.1486,26914165611,18,0
3750,2729240.8,10.3027,26522940328,18,0
3780,2767619.9,10.453,26161715044,18,0
3810,2804783.4,10.6034,25800489761,18,0
3840,2839283.5,10.8026,25439264477,18,0
3870,2873783.6,11.001,25078039193,18,0
3900,2905852.6,11.1997,24730505968,18,0
3930,2937921.6,11.3981,24382972743,18,0
3960,2967791.7,11.5848,24060207751,18,0
3990,2995230.7,11.774,23751134817,18,0
4020,3022669.7,11.9521,23442061884,18,0
4050,3050711.3,12.1029,23132988950,18,0
4080,3078150.3,12.2645,22823916017,18,0
4110,3105589.3,12.4255,22514843083,18,0
4140,3133028.4,12.5858,22205770150,18,0
4170,3160467.4,12.7432,21896697216,18,0
4200,3187906.4,12.8982,21587624282,18,0
4230,3215475.2,13.0459,21278551349,18,0
4260,3240715.3,13.1781,20994246649,18,0
4290,3270812.5,13.3109,20685232519,18,0
4320,3298948.2,13.436,20398311935,18,0
4350,3327083.9,13.5588,20111391352,18,0
4380,3351518.5,13.6737,19851854885,18,0
4410,3379886.5,13.8,19562318418,18,0
4440,3408254.4,13.9254,19272781952,18,0
4470,3436622.3,14.0409,18983245485,18,0
4500,3464990.3,14.1521,18693709018,18,0
4530,3493358.2,14.2451,18404172551,18,0
4560,3514432.8,14.3284,18174636084,18,0
4590,3540137.4,14.4141,17915099618,18,0
4620,3565842.0,14.4992,17655563151,18,0
4650,3587845.5,14.572,17426026684,18,0
4680,3608223.4,14.6323,17196490217,17,0
4710,3626170.1,14.6885,16994337867,17,0
4740,3646780.3,14.7491,16762185517,17,0
4770,3667390.4,14.8098,16530033167,17,0
4800,3688000.5,14.8669,16297880817,17,0
4830,3708610.6,14.9213,16065728467,17,0
4860,3728886.1,14.9716,15837345160,17,0
4890,3746368.4,15.0142,15640424577,17,0
4920,3766514.1,15.1186,15413503993,17,0
4950,3786659.7,15.1634,15186583410,17,0
4980,3806805.4,15.2083,14959662826,17,0
5010,3826951.0,15.2531,14732742243,17,0
5040,3847096.7,15.2952,14505821659,17,0
5070,3867242.3,15.3946,14278901076,17,0
