t,link_id,type,node_a,node_b,dist_km,available,elevation_deg
0,0,ISL,0,1,11987.52,1,
0,1,ISL,1,2,11987.52,1,
0,2,ISL,2,0,11987.52,1,
0,3,ISL,3,4,11987.52,1,
0,4,ISL,4,5,11987.52,1,
0,5,ISL,5,3,11987.52,1,
0,6,ISL,0,3,11987.52,1,
0,7,ISL,1,4,11987.52,1,
0,8,ISL,2,5,7214.27,1,
0,45,GSL,0,6,11962.83,0,-62.99
0,46,GSL,1,6,1203.37,1,22.48
0,47,GSL,2,6,10996.01,0,-54.17
0,48,GSL,3,6,7053.06,0,-28.18
0,49,GSL,4,6,11962.83,0,-62.99
0,50,GSL,5,6,8521.43,0,-36.97
0,51,GSL,0,7,5742.82,0,-20.54
0,52,GSL,1,7,13086.05,0,-79.47
0,53,GSL,2,7,7825.91,0,-32.74
0,54,GSL,3,7,10487.14,0,-50.2
0,55,GSL,4,7,5742.82,0,-20.54
0,56,GSL,5,7,11068.4,0,-54.77
10,0,ISL,0,1,11987.52,1,
10,1,ISL,1,2,11987.52,1,
10,2,ISL,2,0,11987.52,1,
10,3,ISL,3,4,11987.52,1,
10,4,ISL,4,5,11987.52,1,
10,5,ISL,5,3,11987.52,1,
10,6,ISL,0,3,11938.72,1,
10,7,ISL,1,4,12035.52,1,
10,8,ISL,2,5,7215.29,1,
10,45,GSL,0,6,11932.46,0,-62.67
10,46,GSL,1,6,1147.27,1,24.21
10,47,GSL,2,6,11034.93,0,-54.49
10,48,GSL,3,6,7082.15,0,-28.35
10,49,GSL,4,6,11970.16,0,-63.06
10,50,GSL,5,6,8486.93,0,-36.76
10,51,GSL,0,7,5799.71,0,-20.87
10,52,GSL,1,7,13092.73,0,-79.64
10,53,GSL,2,7,7772.61,0,-32.42
10,54,GSL,3,7,10462.04,0,-50.02
10,55,GSL,4,7,5746.27,0,-20.56
10,56,GSL,5,7,11090.35,0,-54.95
20,0,ISL,0,1,11987.52,1,
20,1,ISL,1,2,11987.52,1,
20,2,ISL,2,0,11987.52,1,
20,3,ISL,3,4,11987.52,1,
20,4,ISL,4,5,11987.52,1,
