t_s,ground_station,serving_sat,serving_el_deg,src_sat,path,hops,prop_delay_ms,reachable
0,Tokyo,1,22.48,0,0→1→6,2,44.0,True
0,Sao-Paulo,,,0,UNREACHABLE,,,False
10,Tokyo,1,24.21,0,0→1→6,2,43.813,True
10,Sao-Paulo,,,0,UNREACHABLE,,,False
20,Tokyo,1,26.06,0,0→1→6,2,43.631,True
20,Sao-Paulo,,,0,UNREACHABLE,,,False
30,Tokyo,1,28.04,0,0→1→6,2,43.455,True
30,Sao-Paulo,,,0,UNREACHABLE,,,False
40,Tokyo,1,30.16,0,0→1→6,2,43.285,True
40,Sao-Paulo,,,0,UNREACHABLE,,,False
50,Tokyo,1,32.42,0,0→1→6,2,43.124,True
50,Sao-Paulo,,,0,UNREACHABLE,,,False
60,Tokyo,1,34.8,0,0→1→6,2,42.972,True
60,Sao-Paulo,,,0,UNREACHABLE,,,False
70,Tokyo,1,37.29,0,0→1→6,2,42.831,True
70,Sao-Paulo,,,0,UNREACHABLE,,,False
80,Tokyo,1,39.85,0,0→1→6,2,42.702,True
80,Sao-Paulo,,,0,UNREACHABLE,,,False
90,Tokyo,1,42.42,0,0→1→6,2,42.587,True
90,Sao-Paulo,,,0,UNREACHABLE,,,False
100,Tokyo,1,44.88,0,0→1→6,2,42.489,True
100,Sao-Paulo,,,0,UNREACHABLE,,,False
110,Tokyo,1,47.11,0,0→1→6,2,42.41,True
110,Sao-Paulo,,,0,UNREACHABLE,,,False
120,Tokyo,1,48.93,0,0→1→6,2,42.35,True
120,Sao-Paulo,,,0,UNREACHABLE,,,False
130,Tokyo,1,50.17,0,0→1→6,2,42.312,True
130,Sao-Paulo,,,0,UNREACHABLE,,,False
140,Tokyo,1,50.68,0,0→1→6,2,42.298,True
140,Sao-Paulo,,,0,UNREACHABLE,,,False
150,Tokyo,1,50.39,0,0→1→6,2,42.306,True
150,Sao-Paulo,,,0,UNREACHABLE,,,False
160,Tokyo,1,49.34,0,0→1→6,2,42.337,True
160,Sao-Paulo,,,0,UNREACHABLE,,,False
170,Tokyo,1,47.66,0,0→1→6,2,42.391,True
170,Sao-Paulo,,,0,UNREACHABLE,,,False
180,Tokyo,1,45.52,0,0→1→6,2,42.466,True
180,Sao-Paulo,,,0,UNREACHABLE,,,False
190,Tokyo,1,43.11,0,0→1→6,2,42.559,True
190,Sao-Paulo,,,0,UNREACHABLE,,,False
200,Tokyo,1,40.56,0,0→1→6,2,42.669,True
200,Sao-Paulo,,,0,UNREACHABLE,,,False
210,Tokyo,1,37.99,0,0→1→6,2,42.794,True
210,Sao-Paulo,,,0,UNREACHABLE,,,False
220,Tokyo,1,35.47,0,0→1→6,2,42.932,True
220,Sao-Paulo,,,0,UNREACHABLE,,,False
230,Tokyo,1,33.05,0,0→1→6,2,43.082,True
230,Sao-Paulo,,,0,UNREACHABLE,,,False
240,Tokyo,1,30.76,0,0→1→6,2,43.241,True
240,Sao-Paulo,,,0,UNREACHABLE,,,False
250,Tokyo,1,28.6,0,0→1→6,2,43.408,True
250,Sao-Paulo,,,0,UNREACHABLE,,,False
260,Tokyo,1,26.58,0,0→1→6,2,43.583,True
260,Sao-Paulo,,,0,UNREACHABLE,,,False
270,Tokyo,1,24.69,0,0→1→6,2,43.763,True
270,Sao-Paulo,,,0,UNREACHABLE,,,False
280,Tokyo,1,22.93,0,0→1→6,2,43.949,True
280,Sao-Paulo,,,0,UNREACHABLE,,,False
290,Tokyo,1,21.28,0,0→1→6,2,44.14,True
290,Sao-Paulo,,,0,UNREACHABLE,,,False
300,Tokyo,1,19.74,0,0→1→6,2,44.334,True
300,Sao-Paulo,,,0,UNREACHABLE,,,False
310,Tokyo,1,18.3,0,0→1→6,2,44.532,True
310,Sao-Paulo,,,0,UNREACHABLE,,,False
320,Tokyo,1,16.94,0,0→1→6,2,44.733,True
320,Sao-Paulo,,,0,UNREACHABLE,,,False
330,Tokyo,1,15.67,0,0→1→6,2,44.937,True
330,Sao-Paulo,,,0,UNREACHABLE,,,False
340,Tokyo,1,14.47,0,0→1→6,2,45.142,True
340,Sao-Paulo,,,0,UNREACHABLE,,,False
350,Tokyo,1,13.33,0,0→1→6,2,45.35,True
350,Sao-Paulo,,,0,UNREACHABLE,,,False
360,Tokyo,1,12.25,0,0→1→6,2,45.56,True
360,Sao-Paulo,,,0,UNREACHABLE,,,False
370,Tokyo,1,11.23,0,0→1→6,2,45.771,True
370,Sao-Paulo,,,0,UNREACHABLE,,,False
380,Tokyo,1,10.26,0,0→1→6,2,45.983,True
380,Sao-Paulo,,,0,UNREACHABLE,,,False
390,Tokyo,,,0,UNREACHABLE,,,False
390,Sao-Paulo,,,0,UNREACHABLE,,,False
400,Tokyo,,,0,UNREACHABLE,,,False
400,Sao-Paulo,,,0,UNREACHABLE,,,False
410,Tokyo,,,0,UNREACHABLE,,,False
410,Sao-Paulo,,,0,UNREACHABLE,,,False
420,Tokyo,,,0,UNREACHABLE,,,False
420,Sao-Paulo,,,0,UNREACHABLE,,,False
430,Tokyo,,,0,UNREACHABLE,,,False
430,Sao-Paulo,,,0,UNREACHABLE,,,False
440,Tokyo,,,0,UNREACHABLE,,,False
440,Sao-Paulo,,,0,UNREACHABLE,,,False
450,Tokyo,,,0,UNREACHABLE,,,False
450,Sao-Paulo,,,0,UNREACHABLE,,,False
460,Tokyo,,,0,UNREACHABLE,,,False
460,Sao-Paulo,,,0,UNREACHABLE,,,False
470,Tokyo,,,0,UNREACHABLE,,,False
470,Sao-Paulo,,,0,UNREACHABLE,,,False
480,Tokyo,,,0,UNREACHABLE,,,False
480,Sao-Paulo,,,0,UNREACHABLE,,,False
490,Tokyo,,,0,UNREACHABLE,,,False
490,Sao-Paulo,,,0,UNREACHABLE,,,False
500,Tokyo,,,0,UNREACHABLE,,,False
500,Sao-Paulo,,,0,UNREACHABLE,,,False
510,Tokyo,,,0,UNREACHABLE,,,False
510,Sao-Paulo,,,0,UNREACHABLE,,,False
520,Tokyo,,,0,UNREACHABLE,,,False
520,Sao-Paulo,,,0,UNREACHABLE,,,False
530,Tokyo,,,0,UNREACHABLE,,,False
530,Sao-Paulo,,,0,UNREACHABLE,,,False
540,Tokyo,,,0,UNREACHABLE,,,False
540,Sao-Paulo,,,0,UNREACHABLE,,,False
550,Tokyo,,,0,UNREACHABLE,,,False
550,Sao-Paulo,,,0,UNREACHABLE,,,False
560,Tokyo,,,0,UNREACHABLE,,,False
560,Sao-Paulo,,,0,UNREACHABLE,,,False
570,Tokyo,,,0,UNREACHABLE,,,False
570,Sao-Paulo,,,0,UNREACHABLE,,,False
580,Tokyo,,,0,UNREACHABLE,,,False
580,Sao-Paulo,,,0,UNREACHABLE,,,False
590,Tokyo,,,0,UNREACHABLE,,,False
590,Sao-Paulo,,,0,UNREACHABLE,,,False
600,Tokyo,,,0,UNREACHABLE,,,False
600,Sao-Paulo,,,0,UNREACHABLE,,,False
610,Tokyo,,,0,UNREACHABLE,,,False
610,Sao-Paulo,,,0,UNREACHABLE,,,False
620,Tokyo,,,0,UNREACHABLE,,,False
620,Sao-Paulo,,,0,UNREACHABLE,,,False
630,Tokyo,,,0,UNREACHABLE,,,False
630,Sao-Paulo,,,0,UNREACHABLE,,,False
640,Tokyo,,,0,UNREACHABLE,,,False
640,Sao-Paulo,,,0,UNREACHABLE,,,False
650,Tokyo,,,0,UNREACHABLE,,,False
650,Sao-Paulo,,,0,UNREACHABLE,,,False
660,Tokyo,,,0,UNREACHABLE,,,False
660,Sao-Paulo,,,0,UNREACHABLE,,,False
670,Tokyo,,,0,UNREACHABLE,,,False
670,Sao-Paulo,,,0,UNREACHABLE,,,False
680,Tokyo,,,0,UNREACHABLE,,,False
680,Sao-Paulo,,,0,UNREACHABLE,,,False
690,Tokyo,,,0,UNREACHABLE,,,False
690,Sao-Paulo,,,0,UNREACHABLE,,,False
700,Tokyo,,,0,UNREACHABLE,,,False
700,Sao-Paulo,,,0,UNREACHABLE,,,False
710,Tokyo,,,0,UNREACHABLE,,,False
710,Sao-Paulo,,,0,UNREACHABLE,,,False
720,Tokyo,,,0,UNREACHABLE,,,False
720,Sao-Paulo,,,0,UNREACHABLE,,,False
730,Tokyo,,,0,UNREACHABLE,,,False
730,Sao-Paulo,,,0,UNREACHABLE,,,False
740,Tokyo,,,0,UNREACHABLE,,,False
740,Sao-Paulo,,,0,UNREACHABLE,,,False
750,Tokyo,,,0,UNREACHABLE,,,False
750,Sao-Paulo,,,0,UNREACHABLE,,,False
760,Tokyo,,,0,UNREACHABLE,,,False
760,Sao-Paulo,,,0,UNREACHABLE,,,False
770,Tokyo,,,0,UNREACHABLE,,,False
770,Sao-Paulo,,,0,UNREACHABLE,,,False
780,Tokyo,,,0,UNREACHABLE,,,False
780,Sao-Paulo,,,0,UNREACHABLE,,,False
790,Tokyo,,,0,UNREACHABLE,,,False
790,Sao-Paulo,,,0,UNREACHABLE,,,False
800,Tokyo,,,0,UNREACHABLE,,,False
800,Sao-Paulo,,,0,UNREACHABLE,,,False
810,Tokyo,,,0,UNREACHABLE,,,False
810,Sao-Paulo,,,0,UNREACHABLE,,,False
820,Tokyo,,,0,UNREACHABLE,,,False
820,Sao-Paulo,,,0,UNREACHABLE,,,False
830,Tokyo,,,0,UNREACHABLE,,,False
830,Sao-Paulo,,,0,UNREACHABLE,,,False
840,Tokyo,,,0,UNREACHABLE,,,False
840,Sao-Paulo,,,0,UNREACHABLE,,,False
850,Tokyo,,,0,UNREACHABLE,,,False
850,Sao-Paulo,,,0,UNREACHABLE,,,False
860,Tokyo,,,0,UNREACHABLE,,,False
860,Sao-Paulo,,,0,UNREACHABLE,,,False
870,Tokyo,,,0,UNREACHABLE,,,False
870,Sao-Paulo,,,0,UNREACHABLE,,,False
880,Tokyo,,,0,UNREACHABLE,,,False
880,Sao-Paulo,,,0,UNREACHABLE,,,False
890,Tokyo,,,0,UNREACHABLE,,,False
890,Sao-Paulo,,,0,UNREACHABLE,,,False
